Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GMI 131E,Numerical Analy. of Eng.Syst.,Ata Bilgili,Salı,0900/1629,,50,50,GMI GMIE,30342,2020 - 2021 Yaz Dönemi
GMI 171E,Maritime English I,--,Pazartesi,1300/1759,,0,0,GMI GMIE,30336,2020 - 2021 Yaz Dönemi
GMI 213,Termodinamik,--,Çarşamba Perşembe,1500/1759 1300/1729,,0,0,GMI,30564,2020 - 2021 Yaz Dönemi
GMI 255,Gemi Elektrotekniği I,--,,,,0,0,GMI,30330,2020 - 2021 Yaz Dönemi
GMI 255E,Marine Electrotechnics I,Yasin Arslanoğlu,Pazartesi,0900/1629,,52,50,GMI GMIE,30554,2020 - 2021 Yaz Dönemi
GMI 261E,Fluid Mechanics,Ata Bilgili,Çarşamba,0900/1629,,5,75,GMI GMIE,30607,2020 - 2021 Yaz Dönemi
GMI 270E,Maritime English II,--,Salı,1300/1759,,0,0,GMI GMIE,30339,2020 - 2021 Yaz Dönemi
GMI 342E,Maritime Rules & Regulations,--,Cuma,0900/1359,,0,0,GMI GMIE,30344,2020 - 2021 Yaz Dönemi
GMI 405E,Shipping Finance,Sinan Çakır,Perşembe,1300/1759,,28,50,GMI GMIE,30345,2020 - 2021 Yaz Dönemi
GMI 434E,Refrigeration and HVAC Systems,Yasin Arslanoğlu,Çarşamba,0900/1359,,34,50,GMI GMIE,30333,2020 - 2021 Yaz Dönemi
GMI 454,Gemi Yardımcı Makineleri II,--,Cuma,0830/1559,,0,0,GMI,30563,2020 - 2021 Yaz Dönemi
GMI 455,Gemi Elektrotekniği II,Yasin Arslanoğlu,Salı,0900/1359,,31,50,GMI,30332,2020 - 2021 Yaz Dönemi
GMI 461,Buhar & Gaz Türbinleri Operas.,--,Pazartesi Salı Perşembe,1000/1259 1000/1259 0900/1259,,0,0,GMI,30335,2020 - 2021 Yaz Dönemi
GMI 473,Gemi Dizel Makineleri III,--,Pazartesi Salı,1500/1759 1500/1659,,0,0,GMI,30401,2020 - 2021 Yaz Dönemi
