Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BIL 100E,Intr.to Prog.Language(PYTHON),Erke Arıbaş,----,/,MED,7,7,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,26009,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),--,Cuma Cuma,1430/1529 1530/1729,,0,0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20546,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),--,Cuma Cuma,1430/1529 1530/1729,,0,0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20545,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Gülcihan Özdemir,Cuma,1030/1329,,72,71,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,25846,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Özgür Atalay,Cuma Cuma,1030/1129 1130/1329,,71,71,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20543,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ahmet Murat Akoğlu,Perşembe,1430/1729,,17,50,JEO JEOE,23636,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,1430/1529 1530/1729,,38,38,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20542,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Erke Arıbaş,Perşembe Perşembe,1430/1529 1530/1729,,38,39,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20540,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),--,Perşembe Perşembe,1030/1129 1130/1329,,0,0,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20544,2021 - 2022 Bahar Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,1030/1129 1130/1329,,67,67,ARC BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EFN EHB EHBE ELE ELH END ENDE ENTE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,20541,2021 - 2022 Bahar Dönemi
