Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CEV 102,Yer Bilimi,Erkan Bozkurtoğlu,----,/,INB,1,1,CEV,26070,2021 - 2022 Bahar Dönemi
CEV 104,Yer Bilimi,Erkan Bozkurtoğlu,Pazartesi,0930/1129,INB,86,90,CEV,20985,2021 - 2022 Bahar Dönemi
CEV 104E,Earth Science,Şaziye Özge Dinç Göğüş,Perşembe,1230/1429,INB,91,93,CEV CEVE,20986,2021 - 2022 Bahar Dönemi
CEV 202,Çevre Kimyası II,"İsmail Toröz, Börte Köse Mutlu",Pazartesi,0930/1229,INB,39,40,CEV,20992,2021 - 2022 Bahar Dönemi
CEV 202,Çevre Kimyası II,"Nuray Işık Kabdaşlı, Serdar Doğruel",Salı,0930/1229,INB,29,40,CEV,20988,2021 - 2022 Bahar Dönemi
CEV 202E,Enviromental Chemistry II,"Onur Yılmaz Özcan, Derya Yüksel İmer",Perşembe,0930/1229,INB,45,45,CEV CEVE,20996,2021 - 2022 Bahar Dönemi
CEV 202E,Enviromental Chemistry II,"Tuğba Ölmez Hancı, Serdar Doğruel",Pazartesi,0930/1229,INB,19,45,CEV CEVE,20994,2021 - 2022 Bahar Dönemi
CEV 202EL,Enviromental Chemistry II Lab.,Derya Yüksel İmer,Cuma,1030/1229,INB,28,30,CEV CEVE,21006,2021 - 2022 Bahar Dönemi
CEV 202EL,Enviromental Chemistry II Lab.,"Tuğba Ölmez Hancı, Derya Yüksel İmer",Perşembe,1530/1729,INB,14,30,CEV CEVE,25759,2021 - 2022 Bahar Dönemi
CEV 202EL,Enviromental Chemistry II Lab.,Serdar Doğruel,Salı,1230/1429,INB,30,30,CEV CEVE,21004,2021 - 2022 Bahar Dönemi
CEV 202L,Çevre Kimyası II Lab.,Börte Köse Mutlu,Cuma,0830/1029,INB,17,30,CEV,21012,2021 - 2022 Bahar Dönemi
CEV 202L,Çevre Kimyası II Lab.,Serdar Doğruel,Pazartesi,1330/1529,INB,28,30,CEV,21010,2021 - 2022 Bahar Dönemi
CEV 203E,Environmental Microbiology,Ebru Dülekgürgen,----,/,INB,1,1,CEV CEVE,26071,2021 - 2022 Bahar Dönemi
CEV 204,Çevre Müh. Bilg. Uyg.,"Alpaslan Ekdal, Onur Yılmaz Özcan",Cuma,0830/1229,,63,80,CEV,21016,2021 - 2022 Bahar Dönemi
CEV 204E,Comp. App. İn Environm. Eng.,Alpaslan Ekdal,----,/,INB,3,3,CEV CEVE,26072,2021 - 2022 Bahar Dönemi
CEV 204E,Comp. App. İn Environm. Eng.,"Alpaslan Ekdal, Onur Yılmaz Özcan",Pazartesi,1330/1729,,65,80,CEVE,21017,2021 - 2022 Bahar Dönemi
CEV 211,Çevre Kimyası I,Serdar Doğruel,----,/,INB,1,1,BIO CEV,26073,2021 - 2022 Bahar Dönemi
CEV 212E,Enviromental Chemistry II,İdil Arslan Alaton,----,/,INB,1,1,BIOE CEV CEVE,26074,2021 - 2022 Bahar Dönemi
CEV 221,Mikrobiyoloji,Süleyman Övez,----,/,INB,1,1,CEV,26075,2021 - 2022 Bahar Dönemi
CEV 234E,Soil Mechanics,--,Çarşamba,0930/1129,,0,0,CEV CEVE,21019,2021 - 2022 Bahar Dönemi
CEV 242E,Hydrlgy.for Environmental Eng.,Alpaslan Ekdal,----,/,INB,5,5,CEV CEVE,26076,2021 - 2022 Bahar Dönemi
CEV 243E,Environmental Chemistry,Umut Kıvanç Şahin,Pazartesi,0830/1129,MKB,50,50,TEK TEKE,22308,2021 - 2022 Bahar Dönemi
CEV 246E,Marine and Lake Sciences,Melike Gürel,----,/,INB,1,1,CEV CEVE,26077,2021 - 2022 Bahar Dönemi
CEV 246E,Marine and Lake Sciences,"Melike Gürel, Elif Pehlivanoğlu Mantaş",Perşembe,1330/1529,,38,45,CEV CEVE,21021,2021 - 2022 Bahar Dönemi
