Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Perşembe,0830/1229,DZB,18,120,DUI GMI,22742,2021 - 2022 Bahar Dönemi
DFH 112,Denizde Güvenlik II,Yusuf Nejat Koçar,Cuma,1500/1759,DZB,41,120,DUI GMI,22661,2021 - 2022 Bahar Dönemi
DFH 112,Denizde Güvenlik II,Sinan Çakır,Çarşamba,1230/1529,DZB,141,155,DUI GMI,22706,2021 - 2022 Bahar Dönemi
DFH 172E,Maritime English I,Halime Ceren Göktaş,Cuma,1330/1529,DZB,44,55,DUI,22664,2021 - 2022 Bahar Dönemi
DFH 172E,Maritime English I,Halime Ceren Göktaş,Cuma,1030/1229,DZB,10,30,DUI,22663,2021 - 2022 Bahar Dönemi
DFH 172E,Maritime English I,Halime Ceren Göktaş,Cuma,0830/1029,DZB,33,55,DUI,22662,2021 - 2022 Bahar Dönemi
DFH 172E,Maritime English I,Halime Ceren Göktaş,Çarşamba,1330/1529,DZB,16,25,DUI,22665,2021 - 2022 Bahar Dönemi
DFH 184,Denizcilik Gelenekleri,Özcan Arslan,Perşembe,1430/1729,DZB,38,50,DUI,22667,2021 - 2022 Bahar Dönemi
DFH 186,Gemicilik Uygulamaları,Orhan Gönel,Cuma,1430/1729,DZB,28,45,DUI DUIE,25095,2021 - 2022 Bahar Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,----,/,DZB,1,1,DUI GMI,25600,2021 - 2022 Bahar Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Orhan Gönel,Salı,0830/1029,DZB,35,45,DUI GMI,22668,2021 - 2022 Bahar Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Orhan Gönel,Salı,1330/1529,DZB,33,35,DUI GMI,22670,2021 - 2022 Bahar Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Orhan Gönel,Salı,1030/1229,DZB,25,30,DUI GMI,22669,2021 - 2022 Bahar Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Orhan Gönel,Pazartesi,0830/1029,DZB,42,100,DUI GMI,25763,2021 - 2022 Bahar Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Sinan Çakır,Pazartesi,0830/1029,DZB,100,100,DUI GMI,22673,2021 - 2022 Bahar Dönemi
DFH 203,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Cuma,0830/1029,,10,10,DUI GMI,25850,2021 - 2022 Bahar Dönemi
DFH 222E,Maritime English II,Halime Ceren Göktaş,Cuma,1530/1729,DZB,11,30,DUI DUIE,22666,2021 - 2022 Bahar Dönemi
DFH 225,Türk Denizcilik Tarihi&Kültürü,Muhsin Kadıoğlu,Perşembe,1530/1729,DZB,11,30,DUI,22747,2021 - 2022 Bahar Dönemi
DFH 225,Türk Denizcilik Tarihi&Kültürü,Muhsin Kadıoğlu,Çarşamba,1130/1329,DZB,0,30,DUI,22748,2021 - 2022 Bahar Dönemi
DFH 254E,Maritime Conventions,Fırat Bolat,Salı,1530/1729,DZB,118,120,DUI,22749,2021 - 2022 Bahar Dönemi
DFH 278E,Maritime Economics,Levent Kırval,Çarşamba,1330/1529,,90,110,DUI,22751,2021 - 2022 Bahar Dönemi
DFH 278E,Maritime Economics,Levent Kırval,Çarşamba,0830/1029,,39,60,DUI,22750,2021 - 2022 Bahar Dönemi
DFH 282,Akışkanlar Mekaniği,Melek Ertogan,Salı,1030/1229,DZB,115,120,DUI,22752,2021 - 2022 Bahar Dönemi
DFH 414E,Port Management,Tanzer Satır,Salı,1230/1429,,33,60,DUI,23658,2021 - 2022 Bahar Dönemi
DFH 472E,Commercial Ship Management,Pelin Bolat,Perşembe,0830/1129,DZB,10,50,DUI,25752,2021 - 2022 Bahar Dönemi
DFH 474,Denizcilikte Yön.Dav.&Perf.,Leyla Tavacıoğlu,Salı,1330/1629,DZB,3,50,DUI,25819,2021 - 2022 Bahar Dönemi
DFH 486E,Chartering,Emre Akyüz,Perşembe,1330/1529,DZB,28,50,DUI,22745,2021 - 2022 Bahar Dönemi
DFH 494E,Intercult.Comm.in Marit.Domain,Alaaddin Yıldıray Ertaş,Perşembe,1330/1529,DZB,0,50,DUI,22776,2021 - 2022 Bahar Dönemi
