Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DNK 201,Dinamik,Cemil Kurtcebe,----,/,UUB,1,1,DUI EHB ELE ELH ELK FIZ INS JEO KOM MKN MTO TEK TEL UCK UCKM UZB UZBM,26158,2021 - 2022 Bahar Dönemi
DNK 201,Dinamik,Reha Artan,----,/,EEB,1,1,DUI EHB ELE ELH ELK FIZ INS JEO KOM MKN MTO TEK TEL UCK UCKM UZB UZBM,26159,2021 - 2022 Bahar Dönemi
DNK 201,Dinamik,--,,,,0,0,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,22753,2021 - 2022 Bahar Dönemi
DNK 201,Dinamik,Reha Artan,Salı,1330/1629,INB,83,116,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,21373,2021 - 2022 Bahar Dönemi
DNK 201,Dinamik,"Erol Demirkan, Abdullah Gedikli",Salı,1230/1529,EEB,47,60,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,23208,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Rahmiye Ergün,----,/,FEB,2,2,DEN DENE DUI DUIE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME MAD MAT MATE MKN MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,26164,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Semih Küçükarslan,----,/,INB,1,1,DEN DENE DUI DUIE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME MAD MAT MATE MKN MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,26163,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Bahar Ayhan,----,/,EEB,1,1,DEN DENE DUI DUIE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME MAD MAT MATE MKN MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,26162,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Mustafa Erden Yıldızdağ,----,/,GDB,3,3,DEN DENE DUI DUIE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME MAD MAT MATE MKN MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,26161,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Ceren Bilgin Güney,----,/,GDB,1,1,DEN DENE DUI DUIE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME MAD MAT MATE MKN MTO PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,26160,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Pelin Gündeş Bakır,Salı,1330/1629,INB,108,106,DEN DENE DUI DUIE DUIK EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,21377,2021 - 2022 Bahar Dönemi
DNK 201E,Dynamics,Bahar Ayhan,Pazartesi,0830/1129,EEB,60,80,DEN DENE DUI DUIE DUIK EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTO PETE TEK TEL UCK UCKE UZB UZBE,23209,2021 - 2022 Bahar Dönemi
