Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ETK 101,Mühendislik Etiği,Mustafa Doğan,----,/,EEB,2,2,BLG CHZ EHB IML JEF JEO KOM MAD MAK MTO PET TEK,26507,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Yeşim Beceren,----,/,MKB,1,1,BLG CHZ EHB IML JEF JEO KOM MAD MAK MTO PET TEK,26506,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Yüksel Örgün Tutay,----,/,MDB,2,2,BLG CHZ EHB IML JEF JEO KOM MAD MAK MTO PET TEK,26505,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Murat Çakan,----,/,MKB,2,2,BLG CHZ EHB IML JEF JEO KOM MAD MAK MTO PET TEK,26503,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Ali Bahadır,----,/,EEB,1,1,BLG CHZ EHB IML JEF JEO KOM MAD MAK MTO PET TEK,26504,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Ceyhan Kahya,Çarşamba,1430/1529,,70,70,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,22263,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Murat Çakan,Çarşamba,1430/1529,MKB,0,250,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,21994,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Yüksel Örgün Tutay,Çarşamba,1130/1229,MDB,25,60,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,22410,2021 - 2022 Bahar Dönemi
ETK 101,Mühendislik Etiği,Türker Hüdaverdi,Çarşamba,1330/1429,MDB,49,70,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,22400,2021 - 2022 Bahar Dönemi
ETK 101E,Engineering Ethics,Macid Fikret Suner,Perşembe,1630/1729,MDB,32,70,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,22411,2021 - 2022 Bahar Dönemi
ETK 101E,Engineering Ethics,Murat Çınar,Perşembe,0930/1029,MDB,75,80,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,22401,2021 - 2022 Bahar Dönemi
ETK 101E,Engineering Ethics,Yeşim Beceren,Çarşamba,1130/1229,MKB,7,60,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,22292,2021 - 2022 Bahar Dönemi
