Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAD 205,Mineraloji ve Petrografi,Şenel Özdamar,----,/,MDB,1,1,MAD,26784,2021 - 2022 Bahar Dönemi
MAD 243,Yeraltı Maden İşletmeciliği,"Cengiz Kuzu, Muhammet Mustafa Kahraman",Pazartesi,1130/1429,MDB,66,110,MAD MADM,22555,2021 - 2022 Bahar Dönemi
MAD 252E,Mining and Environment,Türker Hüdaverdi,Çarşamba,0830/1129,MDB,58,65,MAD MADE,22556,2021 - 2022 Bahar Dönemi
MAD 254E,Strngth of Mat.for Mining Eng.,Bahar Ayhan,----,/,MDB,2,2,MAD MADE,26786,2021 - 2022 Bahar Dönemi
MAD 254E,Strngth of Mat.for Mining Eng.,Bahar Ayhan,Salı,1530/1729,MDB,48,50,MAD MADE,22557,2021 - 2022 Bahar Dönemi
MAD 308,Cevher Hazırlama II,Alim Gül,Çarşamba Perşembe,1130/1229 1130/1329,MDB MDB,52,60,MAD,22404,2021 - 2022 Bahar Dönemi
MAD 308E,Mineral Processing II,--,Çarşamba Perşembe,1130/1229 1130/1329,MDB MDB,0,0,MADE,22606,2021 - 2022 Bahar Dönemi
MAD 311,Jeofizik,Seda Yolsal Çevikbilen,----,/,MDB,1,1,MAD,26788,2021 - 2022 Bahar Dönemi
MAD 313E,Drilling Techniques,Hasan Ergin,Salı,0830/1129,MDB,41,55,MAD MADE MADM,22573,2021 - 2022 Bahar Dönemi
MAD 314,Topoğrafya,Serdar Erol,----,/,MDB,1,1,MAD,26791,2021 - 2022 Bahar Dönemi
MAD 314,Topoğrafya,Serdar Erol,Perşembe,1330/1729,INB,61,75,MAD,20919,2021 - 2022 Bahar Dönemi
MAD 314E,Surveying,Hande Demirel,Perşembe,1330/1729,INB,0,35,MAD,20920,2021 - 2022 Bahar Dönemi
MAD 318,Endüstriyel Hammaddeler,Murat Olgaç Kangal,----,/,MDB,1,1,CHZ MAD MADM,26792,2021 - 2022 Bahar Dönemi
MAD 319,Doğal Taş Üretim Teknolojisi,Deniz Tumaç,Pazartesi,0930/1129,MDB,8,20,MAD MADM,25287,2021 - 2022 Bahar Dönemi
MAD 322,Maden ve Tünel. Tah.Tasarımı,Hakan Tunçdemir,----,/,MDB,1,1,MAD MADM,26796,2021 - 2022 Bahar Dönemi
MAD 322E,Dsgn of Sup in Mines & Tunnels,Hakan Tunçdemir,Pazartesi,1430/1729,MDB,48,60,MAD MADE,22402,2021 - 2022 Bahar Dönemi
MAD 327,Madenlerde Ulaşım ve Su Atımı,Cemal Balcı,----,/,MDB,2,2,MAD MADM,26798,2021 - 2022 Bahar Dönemi
MAD 342E,Hydraulic Power Sys in Mining,Deniz Tumaç,Salı,1130/1329,MDB,52,55,MAD MADE,22559,2021 - 2022 Bahar Dönemi
MAD 342E,Hydraulic Power Sys in Mining,Deniz Tumaç,----,/,MDB,1,1,MAD MADE,26800,2021 - 2022 Bahar Dönemi
MAD 354,Cevher Hazırlama II,Alim Gül,----,/,MDB,1,1,MAD,26802,2021 - 2022 Bahar Dönemi
MAD 361,Maden Yatakları,Mustafa Kumral,----,/,MDB,1,1,MAD,26805,2021 - 2022 Bahar Dönemi
MAD 408,Madenlerde İş Sağlığı ve Güv.,Abdullah Fişne,Salı,1330/1629,MDB,38,50,MAD,22568,2021 - 2022 Bahar Dönemi
MAD 413E,Tunneling,Hanifi Çopur,----,/,MDB,2,2,MAD MADE MADM,26807,2021 - 2022 Bahar Dönemi
MAD 420,Madenlerde İş Sağl & Güvenli,Abdullah Fişne,----,/,MDB,1,1,MAD,26809,2021 - 2022 Bahar Dönemi
MAD 422,Maden Planlaması ve Tasarımı,Cüneyt Atilla Öztürk,----,/,MDB,3,3,MAD,25716,2021 - 2022 Bahar Dönemi
MAD 422E,Mine Planing and Design,Cüneyt Atilla Öztürk,Cuma,1430/1729,MDB,48,55,MAD MADE,22569,2021 - 2022 Bahar Dönemi
MAD 425E,Applied Rock Mechanics,Cüneyt Atilla Öztürk,Perşembe,1030/1229,MDB,29,50,MAD MADE,22571,2021 - 2022 Bahar Dönemi
MAD 431,Kömür Hazırlama ve Teknolojisi,Fırat Burat,----,/,MDB,3,3,MAD,26810,2021 - 2022 Bahar Dönemi
MAD 432,Maden. ve Tünellerde Kazı Mek.,"Hanifi Çopur, Cemal Balcı",Cuma,0830/1129,MDB,39,60,MAD,22406,2021 - 2022 Bahar Dönemi
