Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MEN 202,Marine Diesel Engines II,Cumali Seçkin Mengeçin,Pazartesi,0830/1129,DZB,26,60,GMIK MEN MENM,24309,2021 - 2022 Bahar Dönemi
MEN 211,Workshop Training-I,Cumali Seçkin Mengeçin,----,/,DZB,24,60,GMIK MEN,24303,2021 - 2022 Bahar Dönemi
MEN 212,Marine Auxialiary Machinery I,Osman Azmi Özsoysal,Perşembe,0830/1229,GDB,13,50,GEMK GMIK MEN MENM NAE NAEM,24168,2021 - 2022 Bahar Dönemi
MEN 212,Marine Auxialiary Machinery I,"Kemal Demirel, Cumali Seçkin Mengeçin",Salı,0830/1229,DZB,28,60,GEMK GMIK MEN MENM NAE NAEM,24314,2021 - 2022 Bahar Dönemi
MEN 302,Onboard Training,Cumali Seçkin Mengeçin,----,/,DZB,30,60,GMIK MEN MENM,24308,2021 - 2022 Bahar Dönemi
MEN 331,Workshop Training-II,Cumali Seçkin Mengeçin,----,/,DZB,24,60,GMIK MEN,24304,2021 - 2022 Bahar Dönemi
MEN 401,Oper.of Steam & Gas Turbines,--,Salı,1330/1729,DZB,0,0,GMIK MEN MENM,25840,2021 - 2022 Bahar Dönemi
MEN 402,Graduation Design Project,Cumali Seçkin Mengeçin,----,/,DZB,15,60,GMIK MEN,24330,2021 - 2022 Bahar Dönemi
MEN 411,Marine Auxialiary Machinery II,Cumali Seçkin Mengeçin,----,/,DZB,1,1,GEMK GMIK MEN MENM NAE,25987,2021 - 2022 Bahar Dönemi
MEN 412,Engine Room Simulator (ERS) II,Kemal Demirel,Perşembe,0830/1129,DZB,10,60,GMIK MEN,24329,2021 - 2022 Bahar Dönemi
MEN 421,Marine Diesel Engines III,--,Pazartesi,1330/1629,DZB,0,0,GMIK MEN MENM,25841,2021 - 2022 Bahar Dönemi
