Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MET 214,Çözelti Termodinamiğinin Tem.,Nuri Solak,Salı Salı,1130/1329 1630/1729,KMB KMB,94,95,MET,21033,2021 - 2022 Bahar Dönemi
MET 214E,Fund. of Sol. Thermodynamics,Nuri Solak,Perşembe,1430/1729,KMB,86,90,MET METE,21034,2021 - 2022 Bahar Dönemi
MET 224,Faz Denge Diyagramları,Nuri Solak,Perşembe,1030/1329,KMB,110,130,MET,21035,2021 - 2022 Bahar Dönemi
MET 224E,Phase Equilibrium Diagrams,Nuri Solak,Salı,1330/1629,KMB,101,100,MET METE,21036,2021 - 2022 Bahar Dönemi
MET 228,Malzeme Kimyası,Servet İbrahim Timur,----,/,KMB,1,1,MET,26270,2021 - 2022 Bahar Dönemi
MET 228,Malzeme Kimyası,Servet İbrahim Timur,Pazartesi,1330/1529,KMB,104,110,MET,21037,2021 - 2022 Bahar Dönemi
MET 228E,Materials Chemistry,Mehmet Şeref Sönmez,Perşembe,0830/1029,KMB,80,90,METE,21038,2021 - 2022 Bahar Dönemi
MET 246,Malzeme Fiziği,Muhammet Kürşat Kazmanlı,Çarşamba,1330/1529,,107,115,MET,21039,2021 - 2022 Bahar Dönemi
MET 246E,Materials Physics,Hüseyin Kızıl,Çarşamba,1330/1529,KMB,76,100,METE,21040,2021 - 2022 Bahar Dönemi
MET 248E,Mass & Energy Balance,Mehmet Şeref Sönmez,Pazartesi,1530/1729,KMB,76,95,MET,21042,2021 - 2022 Bahar Dönemi
MET 248E,Mass & Energy Balance,Cevat Bora Derin,Pazartesi,1130/1329,KMB,94,95,MET METE,21041,2021 - 2022 Bahar Dönemi
MET 252,Mlz.Sta. ve Dinamik Mukavemeti,Murat Baydoğan,Cuma,0930/1229,KMB,110,125,MET,21043,2021 - 2022 Bahar Dönemi
