Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MRE 330,Long Term Sea Training,Ata Bilgili,----,/,DZB,0,200,SGM,22728,2021 - 2022 Bahar Dönemi
MRE 383,Ship Management,Metin Çelik,Salı,1430/1729,DZB,2,10,SGM,22697,2021 - 2022 Bahar Dönemi
MRE 386,Engineering Design Process,Ata Bilgili,Pazartesi,0830/1129,DZB,0,10,SGM,22676,2021 - 2022 Bahar Dönemi
MRE 387,Hydraulic & Pneumatic Syst,Vural Ateş,Perşembe,1430/1729,DZB,2,10,SGM,22720,2021 - 2022 Bahar Dönemi
MRE 388,Organizational Management,Kadir Çiçek,Salı,0830/1029,DZB,0,10,SGM,22686,2021 - 2022 Bahar Dönemi
MRE 432,Maritime Law,Hakan Muran,Salı,1130/1429,DZB,2,10,SGM,22691,2021 - 2022 Bahar Dönemi
MRE 442,Surveying Procedures,Fırat Bolat,Pazartesi,1230/1529,DZB,0,10,SGM,22679,2021 - 2022 Bahar Dönemi
MRE 443,Ship Sys.IV:Mar. Disl Eng.II,Cengiz Deniz,Çarşamba,1130/1529,DZB,2,10,SGM,22705,2021 - 2022 Bahar Dönemi
MRE 453,Ship Sys.V:Mar.Auxl. Mach. III,Vural Ateş,Perşembe,0830/1229,DZB,2,10,SGM,22711,2021 - 2022 Bahar Dönemi
MRE 454,Ship Sys.VI:Steam&GasTurbines,Yalçın Durmuşoğlu,Çarşamba,0830/1129,DZB,0,10,SGM,22702,2021 - 2022 Bahar Dönemi
MRE 463,Marine Engineering Materials,Yasin Arslanoğlu,Pazartesi,0830/1129,DZB,2,10,SGM,22675,2021 - 2022 Bahar Dönemi
MRE 471,Automatic Control Systems,İsmail Çiçek,Salı,0830/1129,DZB,2,10,SGM,22687,2021 - 2022 Bahar Dönemi
MRE 472,Engine Room Simulator II,Cengiz Deniz,Salı,1230/1729,DZB,0,10,SGM,22692,2021 - 2022 Bahar Dönemi
MRE 492,Design Project,Ata Bilgili,----,/,DZB,0,10,SGM,22729,2021 - 2022 Bahar Dönemi
