Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PAZ 104,Fabric Development,"Cevza Candan, Fatma Kalaoğlu",Pazartesi,1330/1729,MKB,9,30,STP,23039,2021 - 2022 Bahar Dönemi
PAZ 106,Color Creat.&Sustainable Appl.,Nevin Çiğdem Gürsoy,Pazartesi,0830/1229,MKB,7,30,STP,23040,2021 - 2022 Bahar Dönemi
PAZ 108,Excel for Business,Nazan Okur,Çarşamba,0930/1229,MKB,7,30,STP,23042,2021 - 2022 Bahar Dönemi
PAZ 110,America At Home:1900-Contemp.,"Şükriye Yüksel Filiz, Belgin Görgün",Cuma,0930/1229,MKB,7,30,STP,23043,2021 - 2022 Bahar Dönemi
PAZ 132,Apparel/Home Tex.Prod.Mfg.,Fatma Kalaoğlu,Salı,1330/1629,MKB,7,30,STP,23038,2021 - 2022 Bahar Dönemi
PAZ 208,Internship-Career Exploration,Osman Bülent Özipek,Perşembe,1330/1729,MKB,9,30,STP,23050,2021 - 2022 Bahar Dönemi
PAZ 210,The Forensics of Fiber Analy.,Hale Karakaş,Çarşamba,0830/1229,MKB,10,30,STP,23046,2021 - 2022 Bahar Dönemi
PAZ 214,Textile Value Chain Marketing,Canan Sarıçam,Cuma,1400/1659,MKB,9,30,STP,23044,2021 - 2022 Bahar Dönemi
PAZ 216,Performance Textiles,Nazan Okur,Cuma,0830/1229,MKB,9,30,STP,23048,2021 - 2022 Bahar Dönemi
PAZ 217,Public Speaking,Pelin Gökalp Yılmazer,Cuma,0830/1129,MKB,0,30,SMT STP,23063,2021 - 2022 Bahar Dönemi
PAZ 231,Macroeconomics,Ahmet Atıl Aşıcı,Perşembe,1330/1629,MKB,7,30,SMT STP,23051,2021 - 2022 Bahar Dönemi
PAZ 331,Nonwovens,İlkay Özsev Yüksek,Perşembe,1030/1229,MKB,9,30,STP,23041,2021 - 2022 Bahar Dönemi
