Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Tanzer Satır,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25984,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Yavuz Selim Güçlü,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25974,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Muammer Altan Çakır,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25981,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Emine Yaylalı,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25979,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Tuba Yılmaz Abdolsaheb,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25980,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Canan Sarıçam,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25983,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Ata Bilgili,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25978,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,İsmail Dabanlı,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25975,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Gaye Karaçay Aydın,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25982,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Hatice Camgöz Akdağ,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25977,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Mustafa Evren Erşahin,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25976,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Osman Bülent Özipek,Pazartesi,1830/2029,MED,5,5,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25972,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Cevza Candan,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25973,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Şule Itır Satoğlu,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25971,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Melek Mümine Erol Taygun,Pazartesi,1830/2029,MED,5,5,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25970,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Mehmet Baysan,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25969,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Mahmut Altınbaş,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25968,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Ahmet Duran Şahin,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25967,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Hale Özgün,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25966,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Esra Ece Bayat,Pazartesi,1830/2029,MED,4,4,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,25965,2021 - 2022 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Mustafa Kumral,Pazartesi,1830/2029,MED,5,5,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,20911,2021 - 2022 Bahar Dönemi
ULP 103,Global Issues in Engineering,Yılmaz Akkaya,Perşembe,1330/1629,INB,11,50,SIN,21575,2021 - 2022 Bahar Dönemi
ULP 104,English Communication,Yasemin Yılmaz Yüksek,Perşembe,1130/1429,MED,3,20,SED,25835,2021 - 2022 Bahar Dönemi
ULP 104,English Communication,Duygu Özkan,Pazartesi,0830/1129,MED,12,20,SIN,25017,2021 - 2022 Bahar Dönemi
