Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CHZ 103,Cevher Haz. Müh. Giriş ve Etik,Ali Güney,Cuma,0930/1129,MDB,77,85,CHZ,13215,2021 - 2022 Güz Dönemi
CHZ 224E,Surface and Colloid Chemistry,Ayhan Ali Sirkeci,Çarşamba,1030/1329,MDB,58,65,CHZ CHZE CHZM,13216,2021 - 2022 Güz Dönemi
CHZ 232,Zenginlstirme Önc.Haz. İşlml.,Ali Güney,Pazartesi Perşembe,1330/1529 1030/1229,MDB MDB,57,65,CHZ CHZM,13218,2021 - 2022 Güz Dönemi
CHZ 310,Cevher Haz. Tesis Otomasyonu,Kudret Tahsin Perek,Çarşamba,0830/1029,MDB,36,40,CHZ CHZM,13221,2021 - 2022 Güz Dönemi
CHZ 311,Fiziksel Zeng. Yöntemleri,Alim Gül,Salı Salı,1030/1229 1330/1529,MDB MDB,18,50,CHZ,13222,2021 - 2022 Güz Dönemi
CHZ 312E,Metallurgy I,Fatma Arslan,Pazartesi,1330/1529,MDB,27,50,CHZ CHZE,13225,2021 - 2022 Güz Dönemi
CHZ 318E,Industrial Raw Materials,Fırat Burat,Pazartesi,1330/1629,MDB,0,0,CHZE MADE,13241,2021 - 2022 Güz Dönemi
CHZ 323,Maden Yatakları,Demet Yıldırım,Pazartesi,0830/1129,MDB,30,40,CHZ,13226,2021 - 2022 Güz Dönemi
CHZ 323E,Ore Deposits,--,Salı,1330/1629,MDB,0,0,CHZ CHZE,13228,2021 - 2022 Güz Dönemi
CHZ 325,Kömür Hazırlama,"Feridun Boylu, Mustafa Özer",Perşembe,1330/1629,MDB,43,50,CHZ CHZM MAD,13229,2021 - 2022 Güz Dönemi
CHZ 348E,Bulk Materials Handling,Ayhan Ali Sirkeci,Salı,1330/1529,MDB,35,50,CHZ CHZE,13231,2021 - 2022 Güz Dönemi
CHZ 421,Cevher Haz. Proses Tasarımı,Abdullah Ekrem Yüce,Cuma,0830/1129,MDB,38,50,CHZ CHZM,13232,2021 - 2022 Güz Dönemi
CHZ 437,Kömür Hazırlamada Model.&Sim.,Feridun Boylu,Çarşamba,1330/1529,,24,30,CHZ,13233,2021 - 2022 Güz Dönemi
CHZ 439,Çimento Hammad. ve Tekn.,Şükriye Beste Aydın,Çarşamba,1330/1529,,25,30,CHZ,13234,2021 - 2022 Güz Dönemi
CHZ 443E,Boron Processing and Applic.,"Gülay Bulut, Şükriye Beste Aydın",Salı,1030/1229,,23,50,CHZ CHZE,13235,2021 - 2022 Güz Dönemi
CHZ 447,Flotasyon,Gülay Bulut,Çarşamba,0830/1029,MDB,0,0,MAD,13098,2021 - 2022 Güz Dönemi
CHZ 452E,Mineral Process. & Environment,Fırat Burat,Pazartesi,1030/1229,MDB,29,50,CHZ CHZE,13236,2021 - 2022 Güz Dönemi
CHZ 4901,Cevher Hazırl. Müh. Tasarımı I,Feridun Boylu,----,/,MDB,19,500,CHZ,13238,2021 - 2022 Güz Dönemi
CHZ 4902,Cevher Hazırl. Müh.Tasarımı II,Feridun Boylu,----,/,MDB,2,500,CHZ,14674,2021 - 2022 Güz Dönemi
CHZ 492,Bitirme Çalışması,Feridun Boylu,----,/,MDB,7,500,CHZ,13239,2021 - 2022 Güz Dönemi
CHZ 492E,Graduation Thesis,--,----,/,MDB,0,0,CHZ CHZE,13240,2021 - 2022 Güz Dönemi
