Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DUI 103E,Seamanship,--,Pazartesi,1330/1729,DZB,0,61,DUI,15225,2021 - 2022 Güz Dönemi
DUI 103E,Seamanship,Orhan Gönel,Cuma,0830/1229,DZB,91,100,DUI,11532,2021 - 2022 Güz Dönemi
DUI 103E,Seamanship,Orhan Gönel,Perşembe,1330/1729,DZB,34,45,DUI,11534,2021 - 2022 Güz Dönemi
DUI 113E,Int.toMarit.Trnsp.Mng.Eng.&Eth,Özcan Arslan,Salı,1530/1729,DZB,121,130,DUI,11531,2021 - 2022 Güz Dönemi
DUI 213E,Ship Constrct.and Stability,Melek Ertogan,Çarşamba,1230/1529,DZB,70,75,DUI,11560,2021 - 2022 Güz Dönemi
DUI 213E,Ship Constrct.and Stability,Melek Ertogan,Çarşamba,0830/1129,DZB,50,60,DUI,11559,2021 - 2022 Güz Dönemi
DUI 215E,Terrestrial Navigation,Tuba Keçeci,Pazartesi,0830/1129,DZB,98,105,DUI,11563,2021 - 2022 Güz Dönemi
DUI 215E,Terrestrial Navigation,Tuba Keçeci,Çarşamba,0830/1129,DZB,26,45,DUI,11562,2021 - 2022 Güz Dönemi
DUI 231E,Marine Communication,Alaaddin Yıldıray Ertaş,Çarşamba,0830/1029,,63,72,DUI DUIE,11564,2021 - 2022 Güz Dönemi
DUI 231E,Marine Communication,Alaaddin Yıldıray Ertaş,Çarşamba,1330/1529,,70,72,DUI DUIE,11566,2021 - 2022 Güz Dönemi
DUI 251,Meteoroloji,Ayşe Nak,Salı,1430/1729,DZB,30,50,DUI,11571,2021 - 2022 Güz Dönemi
DUI 251,Meteoroloji,Ayşe Nak,Salı,1130/1429,DZB,68,80,DUI,11569,2021 - 2022 Güz Dönemi
DUI 251,Meteoroloji,Ayşe Nak,Pazartesi,1030/1329,DZB,9,35,DUI,11570,2021 - 2022 Güz Dönemi
DUI 305E,Ship Hndl.and Manouvering,Emre Akyüz,Pazartesi,1430/1729,DZB,12,45,DUI,11603,2021 - 2022 Güz Dönemi
DUI 305E,Ship Hndl.and Manouvering,Emre Akyüz,Pazartesi,0830/1129,DZB,86,90,DUI,11601,2021 - 2022 Güz Dönemi
DUI 311E,Celestial Navigation,Orhan Gönel,Pazartesi,0830/1129,DZB,13,45,DUI DUIE,11606,2021 - 2022 Güz Dönemi
