Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ENR 201,Fluid Mechanics,Burcu Erbaş,Pazartesi,1430/1729,GDB,24,50,DUIK GEMK GMIK MEN MTM NAE NAEM,13900,2021 - 2022 Güz Dönemi
ENR 201,Fluid Mechanics,Münir Süner,Pazartesi,1330/1629,,43,50,DUIK GEMK GMIK MEN MTM NAE NAEM,13730,2021 - 2022 Güz Dönemi
ENR 211,Engineering Mechanics,Özgür Özgüç,Salı,0830/1129,GDB,18,50,DUIK GEMK GMIK MEN MTM NAE,13800,2021 - 2022 Güz Dönemi
ENR 211,Engineering Mechanics,Banu Tansel Büyükçelebi,Cuma,1600/1859,DZB,53,60,DUIK GEMK GMIK MEN MTM NAE,13735,2021 - 2022 Güz Dönemi
ENR 212,Strength of Materials I,Özgür Özgüç,Çarşamba,0830/1129,GDB,15,50,GEMK GMIK MEN NAE NAEM,13912,2021 - 2022 Güz Dönemi
ENR 212,Strength of Materials I,Erdem Üçer,Salı,1430/1729,,49,60,GEMK GMIK MEN NAE NAEM,13741,2021 - 2022 Güz Dönemi
ENR 221,Num.Analysis of Eng.Sys,Serdar Turgut İnce,Salı,1130/1329,GDB,15,50,GEMK GMIK MEN NAE,13906,2021 - 2022 Güz Dönemi
ENR 221,Num.Analysis of Eng.Sys,Ata Bilgili,Salı,1230/1429,DZB,34,50,GEMK GMIK MEN NAE,13727,2021 - 2022 Güz Dönemi
ENR 301,Heat Transfer,Münir Süner,Pazartesi,0830/1129,,30,50,GEMK GMIK MEN MENM NAE,13745,2021 - 2022 Güz Dönemi
ENR 301,Heat Transfer,Murat Emre Demir,Pazartesi,1630/1929,GDB,20,50,GEMK GMIK MEN MENM NAE,13907,2021 - 2022 Güz Dönemi
ENR 311,Machinery Elements,Tanju Kurtuluş,Perşembe,1030/1329,DZB,23,50,GEMK GMIK MEN MENM NAE,13746,2021 - 2022 Güz Dönemi
ENR 321,Otomatic Control Systems,İsmail Çiçek,Pazartesi,1630/1929,DZB,28,50,GEMK GMIK MEN MENM NAE,13740,2021 - 2022 Güz Dönemi
ENR 361,Statics,İsmail Yalçın,Cuma,1430/1729,GDB,6,50,GEMK NAE,13802,2021 - 2022 Güz Dönemi
