Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ICM 119E,Int.to Interior Archit.&Ethics,"Ethem Gürer, Ahmet Gün, Ervin Garip",Çarşamba,1330/1529,MMB,100,120,ICM,14619,2021 - 2022 Güz Dönemi
ICM 215,Taşıyıcı Sistem İlkeleri,"Gülseren Erol Soyöz, Haluk Sesigür",Cuma,1400/1659,,3,40,ICM,14596,2021 - 2022 Güz Dönemi
ICM 217E,Intr.to Interior Architecture,--,Çarşamba,1230/1529,MMB,0,0,ICM ICME,14622,2021 - 2022 Güz Dönemi
ICM 227,"Iç Mim.Tarih,Kuram &Eleştri II",Deniz Çalışır Pençe,Pazartesi,0830/1029,MMB,70,80,ICM,14591,2021 - 2022 Güz Dönemi
ICM 233,Yapı Malzemesi,Mehmet Serkan Yatağan,Çarşamba Cuma,0830/1029 1400/1559,MMB MMB,64,80,ICM,14593,2021 - 2022 Güz Dönemi
ICM 242E,Advanced Representation Tech.,Zeynep Birgönül,Salı,0830/1229,,13,40,ICM,14597,2021 - 2022 Güz Dönemi
ICM 246E,Interior Arch. Design Studio I,F. Ceyda Güney Yüksel,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,1,5,ICM ICMM,14629,2021 - 2022 Güz Dönemi
ICM 246E,Interior Arch. Design Studio I,Emine Görgül,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,2,5,ICM ICMM,14628,2021 - 2022 Güz Dönemi
ICM 305E,Statistics,Ahmet Gün,Salı,0830/1129,,55,80,ICM,14616,2021 - 2022 Güz Dönemi
ICM 325,"Iç Mim.Tarih,Kuram &Elştri IV",Deniz Çalışır Pençe,Pazartesi,1030/1229,,62,80,ICM,14592,2021 - 2022 Güz Dönemi
ICM 333E,Design Culture,Emine Görgül,Pazartesi,0830/1129,,64,75,ENTE EUTE ICM PEME,14625,2021 - 2022 Güz Dönemi
ICM 349E,Interior Arch.Design Studio II,F. Ceyda Güney Yüksel,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,31,31,ICM ICMM,14633,2021 - 2022 Güz Dönemi
ICM 349E,Interior Arch.Design Studio II,Emine Görgül,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,31,31,ICM ICMM,14632,2021 - 2022 Güz Dönemi
ICM 351E,Space And Furniture,Kemal Can Atalayer,Salı,1330/1729,MMB,34,33,ICM ICMM,14602,2021 - 2022 Güz Dönemi
ICM 351E,Space And Furniture,Çiğdem Eren,Salı,1330/1729,MMB,34,33,ICM ICMM,14599,2021 - 2022 Güz Dönemi
ICM 355E,Invstg.Colr&Light in Int.Arch,Ethem Gürer,Çarşamba,0830/1129,MMB,74,80,ICM ICMM,14612,2021 - 2022 Güz Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Sema Yalçıntaş,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,3,5,ICM,14637,2021 - 2022 Güz Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Ece Gülağaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,2,5,ICM,14636,2021 - 2022 Güz Dönemi
ICM 447E,Prdgms&Cse Std in Adpt.Re-Use,Özge Cordan,Perşembe,0830/1129,MMB,61,80,ICM ICMM,14617,2021 - 2022 Güz Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Sema Yalçıntaş,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,17,26,ICM,14641,2021 - 2022 Güz Dönemi
ICM 449E,Interior Arch.Desgn Studio IV,Ece Gülağaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,26,25,ICM,14639,2021 - 2022 Güz Dönemi
ICM 4902,Diploma Projesi,"Emine Görgül, Deniz Çalışır Pençe",----,/,MMB,21,500,ICM,14643,2021 - 2022 Güz Dönemi
ICM 4902E,Graduation Project,"Emine Görgül, Deniz Çalışır Pençe",----,/,MMB,10,500,ICM,14645,2021 - 2022 Güz Dönemi
