Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MET 101E,Int.toMet.&Mat.Engn.&Eng.Ethic,Mehmet Şeref Sönmez,Çarşamba,1330/1529,KMB,166,190,MET METE,11120,2021 - 2022 Güz Dönemi
MET 213,Malzeme Biliminin Temelleri,"Gültekin Göller, İpek Akın Karadayı",Pazartesi,1330/1629,KMB,103,110,MET,11121,2021 - 2022 Güz Dönemi
MET 213E,Fund.of Materials Science,"Gültekin Göller, İpek Akın Karadayı",Çarşamba,0930/1229,KMB,92,90,METE,11122,2021 - 2022 Güz Dönemi
MET 215,Metalurji Termodinamiğ. Tem.,Nuri Solak,Çarşamba,0930/1229,KMB,98,105,MET,11123,2021 - 2022 Güz Dönemi
MET 215E,Fund.of Metall.Thermodynamics,Nuri Solak,Perşembe,1030/1329,KMB,105,100,MET METE,11124,2021 - 2022 Güz Dönemi
MET 313,Kimyasal Metalurji I,"Servet İbrahim Timur, Mahmut Ercan Açma",Pazartesi,1530/1729,KMB,64,70,MET,11125,2021 - 2022 Güz Dönemi
MET 313E,Chemical Metallugry I,"Onuralp Yücel, Cevat Bora Derin, Mehmet Şeref Sönmez",Pazartesi,1530/1729,KMB,74,75,METE,11126,2021 - 2022 Güz Dönemi
MET 315E,Fund. of Physical Metallurgy,Mustafa Lutfi Öveçoğlu,Pazartesi,1230/1529,KMB,95,92,MET METE,11127,2021 - 2022 Güz Dönemi
MET 315E,Fund. of Physical Metallurgy,Burak Özkal,Pazartesi,0830/1129,KMB,59,92,MET METE,11128,2021 - 2022 Güz Dönemi
MET 317E,Fund. of Transport Phenomena,Güldem Kartal Şireli,Salı,1030/1329,KMB,160,160,MET METE,11129,2021 - 2022 Güz Dönemi
MET 335,Mlz.Elekt. Many.&Optk Özellik.,Hüseyin Kızıl,Perşembe,0830/1129,KMB,84,90,MET,11130,2021 - 2022 Güz Dönemi
MET 335E,"Elect.,Magn.,Optic.Prop.ofMat.",Muhammet Kürşat Kazmanlı,Cuma,1400/1659,,90,100,METE,11131,2021 - 2022 Güz Dönemi
MET 337,Malzeme Karakterizasyon Met.,"Gültekin Göller, Özgül Keleş",Perşembe,1330/1629,KMB,99,100,MET,11132,2021 - 2022 Güz Dönemi
MET 337E,Materials Characteriz. Meth.,"Duygu Ağaoğulları, Cevat Bora Derin, Murat Baydoğan",Çarşamba,0830/1129,KMB,67,80,METE,11133,2021 - 2022 Güz Dönemi
MET 339,Malzeme Karakterizasyon Lab.,"Duygu Ağaoğulları, Cem Örnek, Cevat Fahir Arısoy, Filiz Şahin, Güldem Kartal Şireli, Gültekin Göller, Mahmut Ercan Açma, Mohammadreza Nofar, Muhammet Kürşat Kazmanlı, Sebahattin Gürmen, Servet İbrahim Timur, İpek Akın Karadayı",Salı,0830/1029,KMB,88,85,MET,11134,2021 - 2022 Güz Dönemi
MET 339E,Materials Characterization Lab,"Duygu Ağaoğulları, Cem Örnek, Cevat Bora Derin, Cevat Fahir Arısoy, Cüneyt Arslan, Hüseyin Kızıl, Hüseyin Çimenoğlu, Mohammadreza Nofar, Nuri Solak, Onuralp Yücel, Ömer Serdar Özgen, Özgül Keleş",Salı,1330/1529,KMB,65,75,METE,11135,2021 - 2022 Güz Dönemi
MET 353,Müh.Uyg.Tasar.Pren&Malz.Seç.,Bihter Zeytuncu,Cuma,0830/1029,,84,85,MET,11136,2021 - 2022 Güz Dönemi
MET 353E,Dsn.Prnc.&Mat.Sel for Eng.App.,Özgül Keleş,Salı,1530/1729,KMB,71,86,METE,11137,2021 - 2022 Güz Dönemi
MET 435,PÇT ve Prje. Yön. ve İnovasyon,Bihter Zeytuncu,Çarşamba,1130/1329,,0,0,MET,11138,2021 - 2022 Güz Dönemi
MET 435E,PST Desg.&Prj.Mng. and Innov.,Özgül Keleş,Perşembe,1130/1329,KMB,28,70,MET METE,11139,2021 - 2022 Güz Dönemi
MET 437E,Princip.of Corros.&Corros.Prot,Cem Örnek,Pazartesi,1030/1229,KMB,40,80,MET METE,11141,2021 - 2022 Güz Dönemi
MET 437E,Princip.of Corros.&Corros.Prot,Muhammet Kürşat Kazmanlı,Pazartesi,1130/1329,,116,105,MET METE,11140,2021 - 2022 Güz Dönemi
MET 439E,Engineering Polymers,Mohammadreza Nofar,Cuma,0830/1029,KMB,150,148,MET METE,11142,2021 - 2022 Güz Dönemi
MET 453E,Fund. of Ceramics Materials,Filiz Şahin,Perşembe,0930/1129,KMB,88,84,MET METE,11144,2021 - 2022 Güz Dönemi
MET 453E,Fund. of Ceramics Materials,İpek Akın Karadayı,Perşembe,0930/1129,KMB,43,85,MET METE,11143,2021 - 2022 Güz Dönemi
MET 455,Malzeme Proses Lab.,"İpek Akın Karadayı, Bihter Zeytuncu, Burak Özkal, Filiz Şahin, Gültekin Göller, Mahmut Ercan Açma, Muhammet Kürşat Kazmanlı, Murat Baydoğan, Sebahattin Gürmen, Servet İbrahim Timur",Salı,1330/1529,KMB,60,70,MET,11145,2021 - 2022 Güz Dönemi
