Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MRE 101,Maritime Eng. Drawing and Des,--,Cuma,0830/1229,DZB,0,0,SGM,12117,2021 - 2022 Güz Dönemi
MRE 105,Professional Studies,--,Salı,0830/1229,DZB,0,0,SGM,12118,2021 - 2022 Güz Dönemi
MRE 107,English for Eng. Officers,--,Çarşamba,1330/1529,DZB,0,0,SGM,12119,2021 - 2022 Güz Dönemi
MRE 311,Marine Electronics,Gazi Koçak,Perşembe,1330/1729,DZB,2,10,SGM,12120,2021 - 2022 Güz Dönemi
MRE 313,Numerical Analysis&Comp.Prog.,Ata Bilgili,Salı,0830/1229,DZB,2,10,SGM,12121,2021 - 2022 Güz Dönemi
MRE 321,Fluid Mechanics,Ata Bilgili,Çarşamba,1230/1529,DZB,2,10,SGM,12122,2021 - 2022 Güz Dönemi
MRE 330,Long Term Sea Training,--,----,/,DZB,0,0,SGM,12123,2021 - 2022 Güz Dönemi
MRE 342,Maritime Conventions,Fırat Bolat,Cuma,0830/1129,DZB,2,10,SGM,12124,2021 - 2022 Güz Dönemi
MRE 343,Ship Sys.III:Mar. Disl Eng.I,Fırat Bolat,Pazartesi,1330/1729,DZB,2,10,SGM,12125,2021 - 2022 Güz Dönemi
MRE 361,Naval Arch.&Ship Construction,Melek Ertogan,Salı,1430/1729,DZB,2,10,SGM,12126,2021 - 2022 Güz Dönemi
MRE 371,Engine Room Simulator I,Cengiz Deniz,Perşembe,0830/1329,DZB,2,10,SGM,12127,2021 - 2022 Güz Dönemi
MRE 381,Engineering Economics,Kadir Çiçek,Pazartesi,0830/1229,DZB,2,10,SGM,12129,2021 - 2022 Güz Dönemi
MRE 383,Ship Management,--,Cuma,1430/1729,DZB,0,0,SGM,12132,2021 - 2022 Güz Dönemi
MRE 387,Hydraulic & Pneumatic Syst,--,Perşembe,1130/1429,DZB,0,0,SGM,12142,2021 - 2022 Güz Dönemi
MRE 432,Maritime Law,--,Pazartesi,1030/1329,DZB,0,0,SGM,12144,2021 - 2022 Güz Dönemi
MRE 443,Ship Sys.IV:Mar. Disl Eng.II,--,Çarşamba,0830/1229,DZB,0,0,SGM,12145,2021 - 2022 Güz Dönemi
MRE 453,Ship Sys.V:Mar.Auxl. Mach. III,--,Salı,1230/1629,DZB,0,0,SGM,12147,2021 - 2022 Güz Dönemi
MRE 463,Marine Engineering Materials,--,Cuma,0830/1129,DZB,0,0,SGM,12151,2021 - 2022 Güz Dönemi
MRE 471,Automatic Control Systems,--,Salı,0830/1129,DZB,0,0,SGM,12152,2021 - 2022 Güz Dönemi
MRE 492,Design Project,--,----,/,DZB,0,0,SGM,12153,2021 - 2022 Güz Dönemi
