Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTO 101,Meteoroloji Müh. Giriş ve Etik,Ahmet Duran Şahin,Perşembe,1530/1629,UUB,93,95,MTO,12181,2021 - 2022 Güz Dönemi
MTO 111E,Intr. to Atmospheric Sciences,Mikdat Kadıoğlu,Pazartesi,1430/1729,UUB,83,90,MTO MTOE,12182,2021 - 2022 Güz Dönemi
MTO 223,Bilgisayar Grafiğine Giriş,Barış Önol,Salı,1430/1729,UUB,82,90,MTO,12201,2021 - 2022 Güz Dönemi
MTO 225,Güneş ve Yer Radyasyonu,Hatice Sema Topçu,Perşembe,1430/1729,UUB,36,50,FIZ MTO,12199,2021 - 2022 Güz Dönemi
MTO 225E,Solar & Terrestrial Radiation,"Deniz Demirhan Barı, Filiz Türk Katırcıoğlu",Perşembe,1430/1729,UUB,40,50,FIZ FIZE MTO MTOE,12193,2021 - 2022 Güz Dönemi
MTO 227,Ekosistem Ekolojisi,Barış Çaldağ,Pazartesi,1430/1729,,24,30,MTO,12239,2021 - 2022 Güz Dönemi
MTO 229E,Physics of Clouds&Precipitatio,Sevinç Asilhan,Salı,1430/1729,UUB,48,60,MTO MTOE MTOM,12235,2021 - 2022 Güz Dönemi
MTO 311E,Data Analysis,Kasım Koçak,Çarşamba Perşembe,1330/1529 0830/1129,UUB UUB,65,75,MTO,12198,2021 - 2022 Güz Dönemi
MTO 313,Meteo.Uzaktan Algılamanın Tem.,Ahmet Öztopal,Cuma,0930/1229,UUB,61,70,MTO,12185,2021 - 2022 Güz Dönemi
MTO 317E,Comput.Fluid Dyn.in Meteo.Eng.,Elçin Tan,Çarşamba,0830/1129,UUB,27,60,MTO,12231,2021 - 2022 Güz Dönemi
MTO 323,Atmosfer Kimyası,Ceyhan Kahya,Perşembe,1130/1429,,35,35,MTO,12186,2021 - 2022 Güz Dönemi
MTO 337,Atmosfer Dinamiği I,Ali Deniz,Salı Perşembe,1130/1329 1230/1429,UUB UUB,36,40,MTO MTOM,12195,2021 - 2022 Güz Dönemi
MTO 337E,Atmospheric Dynamics I,Yurdanur Ünal,Salı Perşembe,1130/1329 1230/1429,UUB UUB,36,40,MTO,12196,2021 - 2022 Güz Dönemi
MTO 344E,Wheather Analy. &Prediction I,Mikdat Kadıoğlu,Pazartesi Salı,1130/1329 0830/1129,UUB UUB,19,40,MTO MTOE,12191,2021 - 2022 Güz Dönemi
MTO 350E,Air Pollution Fundamentals,Ceyhan Kahya,Pazartesi,1130/1429,,24,25,MTO,12188,2021 - 2022 Güz Dönemi
MTO 351E,Hydrometeorology,"Sevinç Asilhan, Elçin Tan",Perşembe,0830/1129,,8,15,MTO MTOE,13893,2021 - 2022 Güz Dönemi
MTO 353,Tarım ve Orman Meteorolojisi I,Levent Şaylan,Pazartesi,0830/1129,,18,25,MTO,12189,2021 - 2022 Güz Dönemi
MTO 357E,Physics of Upper Atmosphere,Zerefşan Kaymaz,Perşembe,1430/1729,,22,30,FIZ FIZE MTO,12202,2021 - 2022 Güz Dönemi
MTO 359,Biyometeoroloji,Barış Çaldağ,Çarşamba,0830/1129,UUB,7,20,MTO,12236,2021 - 2022 Güz Dönemi
MTO 388E,Geographic Information Science,Filiz Türk Katırcıoğlu,Pazartesi,1430/1729,UUB,30,60,MTO,12230,2021 - 2022 Güz Dönemi
MTO 411E,Micrometeorology,Ceyhan Kahya,Çarşamba,0830/1129,UUB,15,35,MTO MTOE MTOM,12187,2021 - 2022 Güz Dönemi
MTO 445,Hava Analizi ve Öngörü II,Şükran Sibel Menteş,Pazartesi Salı,1130/1429 0830/1029,UUB UUB,25,40,MTO MTOM,12192,2021 - 2022 Güz Dönemi
MTO 451E,Oceanography,Elçin Tan,Cuma,1430/1729,,43,50,MTO,12229,2021 - 2022 Güz Dönemi
MTO 455,Hidrometri,Kasım Koçak,Salı,1430/1729,,0,0,MTO,12200,2021 - 2022 Güz Dönemi
MTO 464E,Climate Change,Yurdanur Ünal,Pazartesi,1430/1729,,16,25,MTO MTOE,12197,2021 - 2022 Güz Dönemi
MTO 466E,Atmospheric Optics & Acoustics,Deniz Demirhan Barı,Cuma,0930/1229,UUB,17,30,FIZ FIZE MTO MTOE,12194,2021 - 2022 Güz Dönemi
MTO 4901,Meteoroloji Müh. Tasarımı I,Ahmet Duran Şahin,----,/,UUB,33,500,MTO,12244,2021 - 2022 Güz Dönemi
MTO 492,Bitirme Çalışması,Ahmet Duran Şahin,----,/,UUB,6,500,MTO,12246,2021 - 2022 Güz Dönemi
MTO 492E,Graduation Project,Ahmet Duran Şahin,----,/,UUB,1,500,MTO MTOE,12248,2021 - 2022 Güz Dönemi
MTO 494,Araştırma Projesi,Şükran Sibel Menteş,Salı Çarşamba,1130/1329 0830/1129,UUB UUB,3,3,MTO,15407,2021 - 2022 Güz Dönemi
MTO 494,Araştırma Projesi,"Zerefşan Kaymaz, Kasım Koçak",Çarşamba Cuma,1130/1329 0830/1129,UUB UUB,3,3,MTO,15405,2021 - 2022 Güz Dönemi
MTO 494,Araştırma Projesi,"Deniz Demirhan Barı, Ceyhan Kahya, Filiz Türk Katırcıoğlu",Salı Perşembe,1130/1329 0830/1129,UUB UUB,3,3,MTO,15404,2021 - 2022 Güz Dönemi
MTO 494,Araştırma Projesi,"Elçin Tan, Hatice Sema Topçu, Hüseyin Toros",Salı Çarşamba,1130/1429 1130/1329,UUB UUB,4,4,MTO,15070,2021 - 2022 Güz Dönemi
