Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DAN 101,Akademik Danışmanlık,--,Çarşamba,1530/1729,MMB / ---,0,0,"MIM, MIME",21914,2022 - 2023 Bahar Dönemi
DAN 101,Akademik Danışmanlık,İkilem Göcek,Çarşamba,1530/1729,MKB / ---,5,200,"TEK, TEKE",24805,2022 - 2023 Bahar Dönemi
DAN 101,Akademik Danışmanlık,Seher Melike Aydoğan,Çarşamba,1530/1729,FEB / D200-A,1,10,MAT,25047,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Funda Akleman Yapar,Çarşamba,1530/1729,EEB / ---,420,500,"EEE, EHB, EHBE",20973,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Suat İlhan,Çarşamba,1530/1729,EEB / ---,326,400,"EEE, ELK, ELKE",20974,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,İlker Üstoğlu,Çarşamba,1530/1729,EEB / ---,296,400,"KOM, KOME",20975,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,"Mikdat Kadıoğlu, Barış Çaldağ",Çarşamba,1530/1729,UUB / D-Z08,102,120,MTO,21085,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Ömer Faruk Beyca,Çarşamba,1530/1729,MED / ---,329,400,"END, ENDE, IND",21115,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Resul Aydemir,Çarşamba,1530/1729,MED / ---,160,200,"ECNE, EFN",21163,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Yunus Emre Şenol,Çarşamba,1530/1729,DZB / ---,52,150,"DUI, DUIE",21164,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Emre Akyüz,Çarşamba,1530/1729,DZB / ---,50,150,"DUI, DUIE",21165,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Ekrem Cem Alppay,Çarşamba,1530/1729,MMB / 230,148,160,"ENTE, EUT, EUTE, EUTM",21206,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Elif Kısar Koramaz,Çarşamba,1530/1729,MMB / 213,104,120,"PEM, PEME",21328,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Mehmet Şeref Sönmez,Çarşamba,1530/1729,KMB / D301,286,300,"MET, METE",21404,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,"Derya Gültekin, Kaya Tokmakçıoğlu",Çarşamba,1530/1729,MED / ---,288,400,"ISL, ISLE",21461,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Fatma Elif Genceli Güner,Çarşamba,1530/1729,KMB / D201,194,300,KMM,21503,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Celale Kırkın Gözükırmızı,Çarşamba,1530/1729,KMB / D304,131,140,GID,21586,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Onur Tunçer,Çarşamba,1530/1729,UUB / D216,300,300,"UCK, UZBE",21604,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,İbrahim Özçeşmeci,Çarşamba,1530/1729,FEB / ---,141,300,"KIM, KIME",21756,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,İzzet Göksel,Çarşamba,1530/1729,MED / A11,169,218,MAT,21807,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Fethiye Ecem Edis,Çarşamba,1530/1729,MMB / 229,379,380,"ARC, MIM, MIME",21916,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Ahmet Levent Subaşı,Çarşamba,1530/1729,FEB / ---,123,300,"FIZ, FIZE, FIZM",21947,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Osman Atilla Arıkan,Çarşamba,1530/1729,INB / B103,254,260,"CEV, CEVE",22006,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Himmet Karaman,Çarşamba,1530/1729,INB / ---,217,225,"GEO, GEOE",22014,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Bülent Balta,Çarşamba,1530/1729,FEB / ---,132,300,"BIO, BIOE",22066,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Şafak Yılmaz,Çarşamba,1530/1729,MKB / ---,382,500,"IML, MAK",22080,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Nazan Okur,Çarşamba,1530/1729,MKB / ---,139,500,"TEK, TEKE",22167,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Sinan Çakır,Çarşamba,1530/1729,DZB / ---,68,150,"GMI, GMIE",22204,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Muhammet Mustafa Kahraman,Çarşamba,1530/1729,MDB / ---,93,300,MAD,22267,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Fazıl Emre Artun,Çarşamba,1530/1729,MDB / ---,98,150,"PET, PETE",22272,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Gürsel Sunal,Çarşamba,1530/1729,MDB / ---,93,100,"JEO, JEOE",22336,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Kudret Tahsin Perek,Çarşamba,1530/1729,MDB / ---,101,200,"CHZ, CHZE",22368,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Tuna Eken,Çarşamba,1530/1729,MDB / ---,78,80,"JEF, JEFE, JEFM",22384,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Ahmet Cüneyd Tantuğ,Çarşamba,1530/1729,EEB / ---,72,70,YZVE,23123,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Selma Ergin,Çarşamba,1530/1729,GDB / ---,120,250,GEM,23177,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Selim Aksoy,Çarşamba,1530/1729,DZB / ---,49,60,"MEN, MTM",23860,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Hüseyin Onur Tezcan,Çarşamba,1530/1729,INB / ---,419,500,"INS, INSE",24381,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Numan Kılınç,Çarşamba,1530/1729,MMB / 231,192,300,"SBP, SBPE",24383,2022 - 2023 Bahar Dönemi
DAN 102,Girişimcilik & Kariyer Danış.,Murat Durmaz,Çarşamba,1530/1729,GDB / ---,66,75,"ARC, CEN, EEE, EFN, IAD, IND, MEN, MMD, MTM, NAE",24496,2022 - 2023 Bahar Dönemi
