Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FIZ 113,Genel Fizik I,Haluk Özbek,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / D205
D205
D203",49,60,"FIZ, FIZM",21910,2022 - 2023 Bahar Dönemi
FIZ 116,Genel Fizik II,Sevtap Yıldız Özbek,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / D102
D102
D102",102,129,FIZ,22076,2022 - 2023 Bahar Dönemi
FIZ 116EL,General Physics II Laboratory,--,Çarşamba,0930/1129,FEB / ---,0,0,FIZ,22077,2022 - 2023 Bahar Dönemi
FIZ 116EL,General Physics II Laboratory,Sevtap Yıldız Özbek,Çarşamba,1130/1329,FEB / ---,64,64,FIZ,22078,2022 - 2023 Bahar Dönemi
FIZ 116EL,General Physics II Laboratory,Sevtap Yıldız Özbek,Çarşamba,1330/1529,FEB / ---,65,65,FIZ,22079,2022 - 2023 Bahar Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Cuma,1430/1729,FEB / D304,86,85,"CHZ, DEN, EHB, ELE, ELH, ELK, FIZM, GEM, JEF, JEO, KOM, MAD, MET, MTO, PET, TEL, UCK, UCKM, UZB",21917,2022 - 2023 Bahar Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Pazartesi,1430/1729,FEB / D102,90,90,"CHZ, CHZE, DEN, DENE, EEE, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, FIZM, GEM, GEME, GEMK, JEF, JEO, JEOE, KOM, KOME, MAD, MADE, METE, MTO, MTOE, PET, PETE, TEL, UCK, UCKE, UZB, UZBE, UZBM",21918,2022 - 2023 Bahar Dönemi
FIZ 214,Dalgalar Fiziği,Seda Aksoy Esinoğlu,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / D103
D202
D103",77,85,"FIZ, FIZM",21919,2022 - 2023 Bahar Dönemi
FIZ 215,Modern Fizik,Neşe Özdemir,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / B4_Z05
D204
D202",15,75,FIZ,22072,2022 - 2023 Bahar Dönemi
FIZ 215EL,Modern Physics Laboratory,Neşe Özdemir,Pazartesi,1330/1529,FEB / ---,24,27,FIZ,22073,2022 - 2023 Bahar Dönemi
FIZ 215EL,Modern Physics Laboratory,Neşe Özdemir,Salı,1530/1729,FEB / ---,19,20,FIZ,22074,2022 - 2023 Bahar Dönemi
FIZ 215EL,Modern Physics Laboratory,Neşe Özdemir,Perşembe,1330/1529,FEB / ---,14,20,FIZ,22075,2022 - 2023 Bahar Dönemi
FIZ 272E,Computatnl Methods in Physics,Mehmet Nazmi Postacıoğlu,"Pazartesi
Çarşamba","1330/1529
1330/1529","FEB
FEB / OBL3
OBL3",26,40,"FIZ, FIZE, FIZM",21920,2022 - 2023 Bahar Dönemi
FIZ 272E,Computatnl Methods in Physics,Tolga Birkandan,"Salı
Perşembe","0830/1029
0830/1029","FEB
FEB / OBL1
OBL1",78,80,"FIZ, FIZE, FIZM",21921,2022 - 2023 Bahar Dönemi
FIZ 274,Fizikçiler için Termodinamik,Sevim İşçi Turutoğlu,"Salı
Perşembe","1130/1329
1130/1329","FEB
FEB / D104
D102",73,75,FIZ,21922,2022 - 2023 Bahar Dönemi
FIZ 284,Klasik Mekanik I,Mehmet Nazmi Postacıoğlu,"Pazartesi
Salı","1130/1329
1530/1729","FEB
FEB / D103
D103",105,120,"FIZ, FIZM",21923,2022 - 2023 Bahar Dönemi
FIZ 310,İstatistik Fizik,Yaşar Yılmaz,"Salı
Çarşamba
Perşembe","1130/1329
1130/1229
1130/1329","FEB
FEB
FEB / D204
D202
D204",96,95,"FIZ, FIZM",21924,2022 - 2023 Bahar Dönemi
FIZ 314,Kuantum Mekaniği I,Ömer Faruk Dayı,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / D104
D104
D104",68,75,"FIZ, FIZM",21925,2022 - 2023 Bahar Dönemi
FIZ 316E,Quantum Mechanics II,Cem Özgür Servantie,"Pazartesi
Çarşamba
Cuma","0830/1029
0830/1029
0830/0929","FEB
FEB
FEB / D204
D101
D105",62,80,"FIZ, FIZE, FIZM",24834,2022 - 2023 Bahar Dönemi
FIZ 323E,Mathematical Meth.in Physics I,Ahmet Levent Subaşı,"Salı
Çarşamba
Perşembe","0830/1029
1030/1129
0830/1029","FEB
FEB
FEB / D204
D102
D103",44,75,FIZ,24802,2022 - 2023 Bahar Dönemi
FIZ 362E,Mathematical Mthds in Physc II,Meltem Güngörmez,"Perşembe
Cuma","1530/1729
1430/1729","FEB
FEB / D202
D102",29,55,"FIZ, FIZE",21926,2022 - 2023 Bahar Dönemi
FIZ 374E,Methods of Experim.Physics I,Ali Gelir,"Salı
Perşembe","1330/1529
1330/1529","FEB
FEB / D202
D202",75,84,"FIZ, FIZE",21927,2022 - 2023 Bahar Dönemi
FIZ 374EL,Methods of Exp. Physics Lab.,Ali Gelir,Salı,1530/1729,FEB / ---,14,22,"FIZ, FIZE",21928,2022 - 2023 Bahar Dönemi
FIZ 374EL,Methods of Exp. Physics Lab.,Ali Gelir,Perşembe,1530/1729,FEB / ---,22,24,"FIZ, FIZE",21929,2022 - 2023 Bahar Dönemi
FIZ 374EL,Methods of Exp. Physics Lab.,Ali Gelir,Cuma,1530/1729,FEB / ---,9,20,"FIZ, FIZE",21930,2022 - 2023 Bahar Dönemi
FIZ 411E,Electromagnetik Theory I,Hakan Özgür Özer,"Salı
Perşembe
Cuma","0830/1029
0830/1029
0930/1029","FEB
FEB
FEB / D104
D203
D104",70,75,"FIZ, FIZE",21931,2022 - 2023 Bahar Dönemi
FIZ 421,İleri Fizik Proje Laboratuarı,Berna Morova,"Pazartesi
Salı","0830/1029
1030/1229","FEB
FEB / ---
---",1,0,FIZ,25107,2022 - 2023 Bahar Dönemi
FIZ 421,İleri Fizik Proje Laboratuarı,--,Cuma,0930/1329,FEB / ---,1,0,FIZ,25195,2022 - 2023 Bahar Dönemi
FIZ 421E,Advanced Physics Project Lab.,Mehmet Kerim Ramazanoğlu,"Pazartesi
Pazartesi","0830/1129
1630/1729","FEB
--- / ---
---",1,0,"FIZ, FIZE",25196,2022 - 2023 Bahar Dönemi
