Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GID 204E,Momentum Transfer,Filiz Altay,Perşembe,1330/1629,KMB / D104,67,95,GID,21618,2022 - 2023 Bahar Dönemi
GID 212,Termodinamik,Aslı Can Karaça,Çarşamba,0830/1229,KMB / D102,36,50,GID,21629,2022 - 2023 Bahar Dönemi
GID 214,Termodinamik,Fatma Ebru Fıratlıgil,Çarşamba,0830/1129,KMB / D104,58,100,GID,21628,2022 - 2023 Bahar Dönemi
GID 222E,Microbiology,Fatih Ortakcı,Salı,1330/1629,KMB / D204,37,50,"GID, GIDE",21617,2022 - 2023 Bahar Dönemi
GID 224,"Gıda Toksik.,Kontamin.&Katk.","Beraat Özçelik, Aslı Can Karaça, Esra Çapanoğlu Güven",Salı,0830/1129,KMB / D201,78,95,"GID, GIDM",21627,2022 - 2023 Bahar Dönemi
GID 226E,Microbiology,Pervin Başaran Akocak,Salı,1330/1529,KMB / D202,64,95,"GID, GIDE",21616,2022 - 2023 Bahar Dönemi
GID 314,Duyusal Analiz,"Beraat Özçelik, Esra Çapanoğlu Güven",Çarşamba,0930/1229,KMB / D203,51,43,"GID, GIDM",21626,2022 - 2023 Bahar Dönemi
GID 316E,Food Packaging,Gürbüz Güneş,Perşembe,1330/1629,KMB / D302,13,40,"GID, GIDE",21615,2022 - 2023 Bahar Dönemi
GID 322,Gıda Müh Temel İşlemler II,Fatma Ebru Fıratlıgil,Perşembe,0930/1229,KMB / D102,86,95,"GID, GIDM",21625,2022 - 2023 Bahar Dönemi
GID 324E,"Food Safety,Sanitat.&Preserv.",Hatice Funda Karbancıoğlu Güler,Cuma,0830/1129,KMB / D302,83,95,GID,21614,2022 - 2023 Bahar Dönemi
GID 332,Gıda Mühendisliği Laboratuarı,"Fatma Ebru Fıratlıgil, Celale Kırkın Gözükırmızı, Filiz Altay",Pazartesi,0830/1229,KMB / G114,40,40,GID,21623,2022 - 2023 Bahar Dönemi
GID 332,Gıda Mühendisliği Laboratuarı,"Fatma Ebru Fıratlıgil, Celale Kırkın Gözükırmızı, Filiz Altay",Pazartesi,1300/1659,KMB / G114,42,40,GID,21624,2022 - 2023 Bahar Dönemi
GID 402,Gıda Mühendisliği Tasarım II,Meral Kılıç Akyılmaz,Salı,0830/1329,KMB / ---,1,15,GID,21622,2022 - 2023 Bahar Dönemi
GID 408E,Statistical Methods,Aslı Can Karaça,"Pazartesi
Pazartesi","0830/1029
1030/1229","KMB
KMB / D303
BIL.LAB1",70,80,"GID, GIDE",21613,2022 - 2023 Bahar Dönemi
GID 416E,Shelf Life of Foods,Meral Kılıç Akyılmaz,Perşembe,1330/1629,KMB / D106,24,40,"GID, GIDE, GIDM",21601,2022 - 2023 Bahar Dönemi
GID 418E,Biochem.Chan.During Food Proc.,Neşe Şahin Yeşilçubuk,Pazartesi,1330/1629,KMB / D205,32,40,"GID, GIDE, GIDM",21599,2022 - 2023 Bahar Dönemi
GID 421E,Food Technology,"Esra Çapanoğlu Güven, Beraat Özçelik, Derya Kahveci Karıncaoğlu, Gürbüz Güneş, Meral Kılıç Akyılmaz, Neşe Şahin Yeşilçubuk",Cuma,1400/1659,KMB / D104,79,95,"GID, GIDE, GIDM",21588,2022 - 2023 Bahar Dönemi
GID 450,Gıda Müh. Özel Konular,"Meral Kılıç Akyılmaz, Aslı Can Karaça, Beraat Özçelik, Celale Kırkın Gözükırmızı, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven, Fatma Ebru Fıratlıgil, Filiz Altay, Gürbüz Güneş, Hatice Funda Karbancıoğlu Güler, Neşe Şahin Yeşilçubuk, Pervin Başaran Akocak",----,/,KMB / ---,42,85,GID,21621,2022 - 2023 Bahar Dönemi
GID 4902,Gıda Mühendisliği Tasarımı II,"Gürbüz Güneş, Celale Kırkın Gözükırmızı, Derya Kahveci Karıncaoğlu, Fatma Ebru Fıratlıgil, Filiz Altay","Salı
Perşembe","0830/1329
1230/1329","KMB
KMB / D303
D301",62,90,GID,21619,2022 - 2023 Bahar Dönemi
GID 492,Bitirme Çalışması,Meral Kılıç Akyılmaz,----,/,KMB / ---,3,500,GID,21620,2022 - 2023 Bahar Dönemi
GID 492E,Graduation Project,Meral Kılıç Akyılmaz,----,/,KMB / ---,1,50,"GID, GIDE",21587,2022 - 2023 Bahar Dönemi
