Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ICM 104,İç Mimarlıkta Tarih ve Kuram I,Deniz Çalışır Pençe,Cuma,1400/1659,MMB / 231,55,100,ICM,21264,2022 - 2023 Bahar Dönemi
ICM 104E,History&Theo.in Inte. Archit.I,Betül Yanılmaz Ekimci,Cuma,1400/1659,---- / ----,13,30,IAD,24672,2022 - 2023 Bahar Dönemi
ICM 205,İç Mimarlıkta Tarih &Kuram III,Deniz Çalışır Pençe,Salı,0830/1129,MMB / 213,80,100,ICM,21265,2022 - 2023 Bahar Dönemi
ICM 206E,Surv andRepr.Tch.in Intr.Arch.,Zeynep Birgönül,Cuma,0830/1229,MMB / 213,82,85,ICM,21266,2022 - 2023 Bahar Dönemi
ICM 209E,Inter.Arch.Design Fund.Studio,Ervin Garip,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",0,5,ICM,21305,2022 - 2023 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Emine Görgül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",26,26,ICM,21277,2022 - 2023 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Özge Cordan,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",25,26,ICM,21278,2022 - 2023 Bahar Dönemi
ICM 246E,Interior Arch. Design Studio I,Zeynep Birgönül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203C
203C",25,26,ICM,21279,2022 - 2023 Bahar Dönemi
ICM 319,Mimari Üsluplar,Deniz Çalışır Pençe,Cuma,0830/1129,MMB / 317,16,20,"EUT, ICM, PEM",21273,2022 - 2023 Bahar Dönemi
ICM 329,İç Mimarlıkta Tekstil,Belgin Görgün,Salı,0830/1129,MMB / 302,20,21,"ICM, PEM",21274,2022 - 2023 Bahar Dönemi
ICM 346,Yapı Malzemesi II,Mehmet Serkan Yatağan,Çarşamba,0830/1229,MMB / 229,2,80,ICM,21271,2022 - 2023 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,Emine Görgül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",1,2,ICM,21299,2022 - 2023 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,Özge Cordan,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",1,2,ICM,21303,2022 - 2023 Bahar Dönemi
ICM 349E,Interior Arch.Design Studio II,Zeynep Birgönül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203C
203C",1,2,ICM,21304,2022 - 2023 Bahar Dönemi
ICM 360E,"Social Transform.,Gender&Space",Emine Görgül,Salı,1330/1629,MMB / 315,16,28,"EUT, EUTE, ICM, MIM, PEM, SBP",21276,2022 - 2023 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Ervin Garip,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",22,22,ICM,21306,2022 - 2023 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Orkan Zeynel Güzelci,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",10,10,ICM,21307,2022 - 2023 Bahar Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Seniye Banu Garip,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",21,22,ICM,21308,2022 - 2023 Bahar Dönemi
ICM 368E,Dsgn Prins of Intr. Fins. Sys,Mehmet Serkan Yatağan,Perşembe,0830/1329,MMB / 215,63,80,ICM,21270,2022 - 2023 Bahar Dönemi
ICM 374,Meslek Pratiği,Gülfer Oraz,Pazartesi,0830/1229,MMB / 215,61,80,ICM,21268,2022 - 2023 Bahar Dönemi
ICM 4039E,Sustainability in Inter.Arch.,Seniye Banu Garip,Salı,1330/1529,MMB / 309,20,20,"ICM, MIM",24132,2022 - 2023 Bahar Dönemi
