Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ISL 114E,Engineering Ethics,Zeynep Erden Bayazıt,Çarşamba,0930/1129,MED / B35,9,40,"ISL, ISLE",21417,2022 - 2023 Bahar Dönemi
ISL 214E,Statistics II,Raziye Selim,Salı,1430/1729,MED / A31,110,110,"ISL, ISLE",21420,2022 - 2023 Bahar Dönemi
ISL 214E,Statistics II,Raziye Selim,Çarşamba,1130/1429,MED / A15,91,100,"ISL, ISLE",21421,2022 - 2023 Bahar Dönemi
ISL 224E,Cost Accounting,Oktay Taş,Pazartesi,0830/1129,---- / ----,114,105,"EFN, END, ENDE, ISL, ISLE",21423,2022 - 2023 Bahar Dönemi
ISL 233E,Microeconomics,İbrahim Öner Günçavdı,Pazartesi,1130/1429,MED / A31,89,90,"ISL, ISLE, MMD",21425,2022 - 2023 Bahar Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Pazartesi,1430/1729,MED / A15,61,90,"ECNE, GID, GIDE, ISL, ISLE",21427,2022 - 2023 Bahar Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Salı,1130/1429,INB / B103,87,90,"ECNE, GID, GIDE, ISL, ISLE",21428,2022 - 2023 Bahar Dönemi
ISL 244E,Macroeconomics,"İpek İlkkaracan Ajas, Derya Gültekin",Salı,1430/1729,KMB / D103,62,90,"ISL, ISLE, MMD",21429,2022 - 2023 Bahar Dönemi
ISL 244E,Macroeconomics,"İpek İlkkaracan Ajas, Derya Gültekin",Çarşamba,1130/1429,MED / A16,74,90,"ISL, ISLE, MMD",21430,2022 - 2023 Bahar Dönemi
ISL 333E,Finance,"Cumhur Enis Ekinci, Oktay Taş",Perşembe,0830/1129,MED / A16,65,90,"ISL, ISLE",21432,2022 - 2023 Bahar Dönemi
ISL 333E,Finance,"Kaya Tokmakçıoğlu, Ahmet Göncü",Perşembe,1130/1429,MED / A31,117,105,"ISL, ISLE",21433,2022 - 2023 Bahar Dönemi
ISL 343E,Management Information Syst.,Nihan Yıldırım,Perşembe,1430/1729,---- / ----,162,170,"ECNE, ISL, ISLE",21434,2022 - 2023 Bahar Dönemi
ISL 353E,Marketing,Adnan Veysel Ertemel,Pazartesi,0830/1129,INB / A305,125,155,"ECNE, ENTE, EUT, EUTE, ISL, ISLE",21435,2022 - 2023 Bahar Dönemi
ISL 354E,Managerial Decision Making,Tolga Kaya,Çarşamba,1130/1429,MED / A31,56,55,"ISL, ISLE",21436,2022 - 2023 Bahar Dönemi
ISL 360E,Quantitative Rsrch&DataAnlys.,Elif Karaosmanoğlu,Salı,1130/1529,UUB / BIL1,68,90,"ISL, ISLE",21437,2022 - 2023 Bahar Dönemi
