Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAK 101,Makine Müh. Giriş ve Etik,İsmail Yalçın Uralcan,Çarşamba,1330/1529,MKB / D355,86,250,MAK,22156,2022 - 2023 Bahar Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Bülent Bölat,Pazartesi,0830/1129,MKB / 404,25,60,"IML, MAK",22157,2022 - 2023 Bahar Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Atakan Altınkaynak,Pazartesi,0830/1129,MKB / 406,60,60,"IML, MAK",22158,2022 - 2023 Bahar Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Hülya Yalçın,Pazartesi,0830/1129,MKB / 409,39,60,"IML, MAK",22159,2022 - 2023 Bahar Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Kubilay Yay,Perşembe,0830/1129,MKB / 406,71,70,"IML, MAK",22160,2022 - 2023 Bahar Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Bülent Bölat,Perşembe,1330/1629,MKB / 406,42,60,"IML, MAK",22161,2022 - 2023 Bahar Dönemi
MAK 105,Makine Tasarımına Giriş,--,"Salı
Perşembe","0830/1029
0830/1129","MKB
MKB / ---
---",0,0,"IML, MAK",22162,2022 - 2023 Bahar Dönemi
MAK 105,Makine Tasarımına Giriş,--,"Salı
Perşembe","0830/1029
0830/1129","MKB
MKB / ---
---",0,0,"IML, MAK",22163,2022 - 2023 Bahar Dönemi
MAK 105,Makine Tasarımına Giriş,"Yusuf Ziya Kocabal, Cevat Erdem İmrak","Salı
Perşembe","0830/1029
0830/1129","MKB
MKB / R362
R362",42,60,"IML, MAK",22164,2022 - 2023 Bahar Dönemi
MAK 105,Makine Tasarımına Giriş,Yusuf Ziya Kocabal,"Çarşamba
Cuma","0830/1029
0830/1129","MKB
MKB / R358
R358",61,60,"IML, MAK",22165,2022 - 2023 Bahar Dönemi
MAK 110E,Comput.Aided Technical Drawing,Ali İmre Aydeniz,Çarşamba,0830/1229,MKB / 409,25,80,"IML, MAK, MKN",22174,2022 - 2023 Bahar Dönemi
MAK 110E,Comput.Aided Technical Drawing,Ali İmre Aydeniz,Perşembe,0830/1229,MKB / 409,49,80,"IML, MAK, MKN",22178,2022 - 2023 Bahar Dönemi
MAK 110E,Comput.Aided Technical Drawing,Erkan Günpınar,Cuma,0830/1229,MKB / 409,80,80,"IML, MAK, MKN",22179,2022 - 2023 Bahar Dönemi
MAK 114,Lineer Cebir ve Uygulamaları,Merve Acer,Salı,0830/1129,MKB / A363,80,80,"IML, MAK",22180,2022 - 2023 Bahar Dönemi
MAK 114,Lineer Cebir ve Uygulamaları,Zeki Yağız Bayraktaroğlu,Salı,0830/1129,MKB / A501,80,80,"IML, MAK",24135,2022 - 2023 Bahar Dönemi
MAK 114,Lineer Cebir ve Uygulamaları,Bülent Bölat,Salı,0830/1129,MKB / D331,67,80,"IML, MAK",24138,2022 - 2023 Bahar Dönemi
MAK 118,Statik,Emrecan Söylemez,Salı,1330/1629,MKB / R362,77,80,"MAK, MKN",22182,2022 - 2023 Bahar Dönemi
MAK 118,Statik,Mehmet Salih Dokuz,Salı,1330/1629,MKB / A201,80,80,"MAK, MKN",22183,2022 - 2023 Bahar Dönemi
MAK 118,Statik,Sevinç Ayşe Zaloğlu,Salı,1330/1629,MKB / A501,80,80,"MAK, MKN",22184,2022 - 2023 Bahar Dönemi
MAK 200,Atölye,Serpil Kurt Habiboğlu,----,/,MKB / ---,71,80,"IML, MAK",22186,2022 - 2023 Bahar Dönemi
MAK 200,Atölye,Yusuf Ziya Kocabal,----,/,MKB / ---,80,80,"IML, MAK",22188,2022 - 2023 Bahar Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Alper Tolga Çalık,Pazartesi,0830/1129,MKB / D351,76,80,"IML, MAK",22191,2022 - 2023 Bahar Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Hikmet Arslan,Pazartesi,0830/1129,MKB / D353,24,80,"IML, MAK",22193,2022 - 2023 Bahar Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Alper Tolga Çalık,Pazartesi,1430/1729,MKB / D355,56,80,"IML, MAK",22194,2022 - 2023 Bahar Dönemi
MAK 210E,Engineering Mathematics,Barış Doğru,"Çarşamba
Perşembe","1330/1529
1330/1529","MKB
MKB / R354
R354",48,80,"IML, IMLE, MAK, MAKE",22196,2022 - 2023 Bahar Dönemi
MAK 210E,Engineering Mathematics,Merve Acer,"Çarşamba
Perşembe","1330/1529
1330/1529","MKB
MKB / A363
A363",80,80,"IML, IMLE, MAK, MAKE",22198,2022 - 2023 Bahar Dönemi
MAK 210E,Engineering Mathematics,--,"Çarşamba
Perşembe","1330/1529
1330/1529","MKB
MKB / ---
---",0,0,"IML, IMLE, MAK, MAKE",24382,2022 - 2023 Bahar Dönemi
MAK 211E,Probability and Statistics,Hakan Öksüzoğlu,Salı,0830/1129,MKB / D359,28,80,"IML, MAK",22202,2022 - 2023 Bahar Dönemi
MAK 213,Malzeme Bilimi,Celaletdin Ergun,"Pazartesi
Cuma","1530/1729
1600/1759","MKB
MKB / A201
A201",79,80,"IML, MAK",22208,2022 - 2023 Bahar Dönemi
MAK 215,Termodinamik I,Yakup Erhan Böke,"Salı
Cuma","1530/1729
1500/1559","MKB
MKB / A363
A201",70,70,MAK,22222,2022 - 2023 Bahar Dönemi
