Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MST 202,Maritime English II,Seda Çınar Alabay,Perşembe,0830/1029,DZB / ---,25,60,"DUIK, MTM, MTTM",24007,2022 - 2023 Bahar Dönemi
MST 211,Maritime Conventions,Tanju Kurtuluş,Çarşamba,1330/1529,DZB / ---,62,70,"DUIK, GEMK, GMIK, MEN, MTM, MTTM, NAE",23967,2022 - 2023 Bahar Dönemi
MST 212,Ship Emergency Response,Tanju Kurtuluş,Çarşamba,1030/1229,DZB / ---,55,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24051,2022 - 2023 Bahar Dönemi
MST 222,Marine Electronics,Ali Sinan Çabuk,"Salı
Salı
Cuma","1230/1329
1730/1829
1130/1229","EEB
EEB
EEB / 5305
5305
5305",24,50,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24332,2022 - 2023 Bahar Dönemi
MST 222,Marine Electronics,Zuhal Er,Salı,1530/1829,DZB / ---,45,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24030,2022 - 2023 Bahar Dönemi
MST 252,Radio Watchkeeping,Alaaddin Yıldıray Ertaş,Perşembe,1430/1729,DZB / ---,39,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",23962,2022 - 2023 Bahar Dönemi
MST 261,Rowing and Canoe-Kayak Sports,Yunus Emre Şenol,"Cuma
Cuma","0830/1029
1600/1659","DZB
DZB / ---
---",8,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24014,2022 - 2023 Bahar Dönemi
MST 262,Maritime English II,Seda Çınar Alabay,Salı,1830/2029,GDB / D308,26,50,"GEMK, GMIK, MEN, NAE",24275,2022 - 2023 Bahar Dönemi
MST 262,Maritime English II,Müjgan Özenir,Çarşamba,0830/1029,DZB / ---,27,60,"GEMK, GMIK, MEN, NAE",24047,2022 - 2023 Bahar Dönemi
MST 272,Marit. Human Resources Manag.,Leyla Tavacıoğlu,Perşembe,1130/1329,DZB / ---,17,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24123,2022 - 2023 Bahar Dönemi
MST 301,Technical Ship Management,Özcan Arslan,Salı,1130/1329,DZB / ---,28,60,"DUIK, GEMK, GMIK, MEN, MTM, MTTM, NAE",24048,2022 - 2023 Bahar Dönemi
MST 302,Corros. & Foul. in Marine Env.,Metin Taylan,Perşembe,1330/1529,GDB / D308,9,50,"GEMK, GMIK, MEN, NAE, NAEM",24277,2022 - 2023 Bahar Dönemi
MST 321,Org.Mang.&Behavior in Maritime,Dilek Mürüvvet Görgüç,Salı,1330/1529,DZB / ---,11,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24031,2022 - 2023 Bahar Dönemi
MST 341,Ship Supply Chain Management,Selim Aksoy,Perşembe,1830/2029,DZB / ---,14,40,"MEN, MTM, NAE",24989,2022 - 2023 Bahar Dönemi
MST 402,Mar.Sec. & Quality Manag. Sys,Yunus Emre Şenol,Cuma,1030/1229,DZB / ---,50,60,"DUIK, GMIK, MEN, MENM, MTM, MTTM",24107,2022 - 2023 Bahar Dönemi
MST 412,Ship Surveying Procedures,Bülent İbrahim Turan,Pazartesi,1530/1729,---- / ----,12,50,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24316,2022 - 2023 Bahar Dönemi
MST 412,Ship Surveying Procedures,Tanju Kurtuluş,Cuma,1400/1559,DZB / ---,48,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24148,2022 - 2023 Bahar Dönemi
MST 413,Shipyard Organization,Erdem Üçer,Salı,1330/1529,GDB / D304,26,50,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24323,2022 - 2023 Bahar Dönemi
MST 421,Meteorology and Oceanography,Ayşe Nak,Perşembe,1730/1929,DZB / ---,12,30,MTM,24990,2022 - 2023 Bahar Dönemi
MST 422,Maritime Law II,Nuri Koray Kurun,Çarşamba,0830/1129,DZB / ---,34,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24113,2022 - 2023 Bahar Dönemi
MST 422,Maritime Law II,Nuri Koray Kurun,Cuma,0830/1129,GDB / D309,26,50,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24310,2022 - 2023 Bahar Dönemi
MST 432,Commercial Ship Management,Özcan Arslan,Salı,1530/1729,DZB / ---,19,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24799,2022 - 2023 Bahar Dönemi
MST 441,Deck Machinery,Tolga Köse,Cuma,0830/1029,DZB / ---,39,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24129,2022 - 2023 Bahar Dönemi
MST 451,Marine Insurance,Sinan Çakır,Salı,1330/1529,DZB / ---,29,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24146,2022 - 2023 Bahar Dönemi
MST 452,Port Management,Üstün Atak,Cuma,1700/1859,DZB / ---,45,50,"MEN, MTM, NAE",24991,2022 - 2023 Bahar Dönemi
MST 461,Terminal & Tanker Operations,Üstün Atak,Perşembe,1530/1729,DZB / ---,10,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24073,2022 - 2023 Bahar Dönemi
MST 462,Seafarer's Health and Safety,Tuba Keçeci,Pazartesi,1230/1429,DZB / ---,18,60,"DUIK, GEMK, GMIK, MEN, MTM, NAE",24140,2022 - 2023 Bahar Dönemi
