Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
NAE 102,Ship Geometry,Murat Durmaz,Salı,1430/1729,GDB / R403,28,48,NAE,24895,2022 - 2023 Bahar Dönemi
NAE 201,Practical Training-I,Murat Durmaz,----,/,GDB / ---,14,50,"GEMK, NAE",24327,2022 - 2023 Bahar Dönemi
NAE 202,Ship Construction,İbrahim Tuğrul Ardıç,Perşembe,0930/1329,GDB / D311,16,50,"GEMK, NAE, NAEM",24281,2022 - 2023 Bahar Dönemi
NAE 232,Hydrodynamic Design of Ships,Şakir Bal,Cuma,1030/1229,GDB / D401,13,50,"GEMK, MEN, NAE",24335,2022 - 2023 Bahar Dönemi
NAE 242,Stability of Ships,Metin Taylan,Cuma,0830/1029,GDB / D308,2,50,"GEMK, MEN, NAE",24314,2022 - 2023 Bahar Dönemi
NAE 301,Practical Training-II,Murat Durmaz,----,/,GDB / ---,15,50,"GEMK, NAE",24329,2022 - 2023 Bahar Dönemi
NAE 302,Strength of Ships,Ahmet Ergin,"Pazartesi
Çarşamba","1030/1229
1330/1529","GDB
GDB / D309
D309",26,50,"GEMK, NAE",24282,2022 - 2023 Bahar Dönemi
NAE 312,Ship Design,Burcu Erbaş Ünal,Pazartesi,1430/1729,GDB / D309,18,50,"GEMK, NAE, NAEM",24303,2022 - 2023 Bahar Dönemi
NAE 401,Practical Training-III,Murat Durmaz,----,/,GDB / ---,18,50,"GEMK, NAE",24330,2022 - 2023 Bahar Dönemi
NAE 402,Graduation Design Project,Murat Durmaz,----,/,GDB / ---,26,50,"GEMK, NAE",24325,2022 - 2023 Bahar Dönemi
NAE 412,Ship Design Project II,Murat Durmaz,Çarşamba,1030/1229,GDB / R409,39,48,"GEMK, NAE",24278,2022 - 2023 Bahar Dönemi
NAE 461,Mechanics of Marine Structures,Ömer Kemal Kınacı,Perşembe,0830/1029,GDB / D303,6,50,"GEMK, MEN, NAE",24318,2022 - 2023 Bahar Dönemi
