Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
THO 110,Oyun Ritim Bilgisi II,Eyüp Uzunkaya,Salı,1530/1729,TMB / ---,11,20,THO,22690,2022 - 2023 Bahar Dönemi
THO 111,Hareket Anatomisi I,Nihal Cömert,Perşembe,1330/1529,TMB / ---,1,5,THO,25189,2022 - 2023 Bahar Dönemi
THO 1116,Türk Halk Oyunları II,Cenap Güngör,"Pazartesi
Salı
Çarşamba","0830/1029
0830/1029
0830/1029","TMB
TMB
TMB / ---
---
---",0,5,THO,25125,2022 - 2023 Bahar Dönemi
THO 112,Hareket Anatomisi II,Nihal Cömert,Salı,1330/1529,TMB / ---,10,20,THO,22692,2022 - 2023 Bahar Dönemi
THO 1121,Bale,Yurıy Mezokh,"Çarşamba
Cuma","1030/1229
1030/1229","TMB
TMB / ---
---",0,5,THO,25126,2022 - 2023 Bahar Dönemi
THO 114,Oyun Tekniği II,İlknur Demirbağ,"Çarşamba
Cuma","1330/1529
1400/1559","TMB
TMB / ---
---",11,25,THO,22693,2022 - 2023 Bahar Dönemi
THO 116,Bale II,Funda Bozkurt,"Çarşamba
Cuma","1030/1229
1030/1229","TMB
TMB / ---
---",4,8,"THMB, THO",22694,2022 - 2023 Bahar Dönemi
THO 116,Bale II,Yurıy Mezokh,"Çarşamba
Cuma","1030/1229
1030/1229","TMB
TMB / ---
---",7,8,"THMB, THO",22696,2022 - 2023 Bahar Dönemi
THO 118,Kondisyon Ve Esneme II (Krdsz),Funda Bozkurt,"Çarşamba
Cuma","0830/1029
0830/1029","TMB
TMB / ---
---",6,8,"THMB, THMD, THO",22697,2022 - 2023 Bahar Dönemi
THO 118,Kondisyon Ve Esneme II (Krdsz),Yurıy Mezokh,"Çarşamba
Cuma","0830/1029
0830/1029","TMB
TMB / ---
---",7,8,"THMB, THMD, THO",22698,2022 - 2023 Bahar Dönemi
THO 120,Halk Oyunları Bilgisi,Eyüp Uzunkaya,Pazartesi,0830/1129,TMB / ---,9,20,"THMA, THMH, THMK, THMN, THMR, THMT, THMZ, THO",22699,2022 - 2023 Bahar Dönemi
THO 202,Oyun Ritim Bilgisi IV,Salim Sınar,Salı,0830/1029,TMB / ---,6,20,THO,22700,2022 - 2023 Bahar Dönemi
THO 204,Türk Halk Oyunları II,Salim Sınar,"Pazartesi
Çarşamba","1030/1229
0830/1029","TMB
TMB / ---
---",13,20,THO,22701,2022 - 2023 Bahar Dönemi
THO 206,Oyunda Yöresel Tavırlar II,Eyüp Uzunkaya,"Pazartesi
Çarşamba","1530/1729
1030/1229","TMB
TMB / ---
---",6,20,THO,22704,2022 - 2023 Bahar Dönemi
THO 208,Oyun Repertuvarı II,Cumhur Sevinç,"Pazartesi
Perşembe","0830/1029
0830/1029","TMB
TMB / ---
---",18,20,THO,22705,2022 - 2023 Bahar Dönemi
THO 2647,Dilsiz Kaval II,Haydar Tanrıverdi,Çarşamba,1330/1529,TMB / ---,0,5,THO,25127,2022 - 2023 Bahar Dönemi
THO 304,Türk Halk Oyunları IV,Cenap Güngör,"Salı
Çarşamba","1330/1529
1030/1229","TMB
TMB / ---
---",19,20,THO,22707,2022 - 2023 Bahar Dönemi
THO 306,Oyunda Yöresel Tavırlar IV,Aydın Balcı,"Pazartesi
Perşembe","1330/1529
0830/1029","TMB
TMB / ---
---",10,20,THO,22708,2022 - 2023 Bahar Dönemi
THO 308,Oyun Repertuvarı IV,Serdar Bombacı,"Pazartesi
Cuma","1030/1229
1400/1559","TMB
TMB / ---
---",21,25,THO,22710,2022 - 2023 Bahar Dönemi
THO 309,Halk Oyunları Sahne Bilgisi,İlknur Demirbağ,"Çarşamba
Cuma","1030/1229
0830/0929","TMB
TMB / ---
---",3,5,THO,24792,2022 - 2023 Bahar Dönemi
THO 3112,Dikte Deşifre II,Göktan Ay,"Pazartesi
Perşembe","1530/1729
0830/1029","TMB
TMB / ---
---",0,5,THO,25128,2022 - 2023 Bahar Dönemi
THO 312,Oyun Analizi II,Eyüp Uzunkaya,Salı,0930/1229,TMB / ---,13,20,THO,22711,2022 - 2023 Bahar Dönemi
THO 314,Koreoloji II,Nihal Cömert,"Salı
Perşembe","1530/1729
0830/1029","TMB
TMB / ---
---",1,5,THO,24830,2022 - 2023 Bahar Dönemi
THO 314,Koreoloji II,Nihal Cömert,"Çarşamba
Perşembe","1330/1529
1030/1229","TMB
TMB / ---
---",5,20,THO,22713,2022 - 2023 Bahar Dönemi
THO 318,Sahne Projesi II (Kredisiz),Cenap Güngör,Perşembe,1330/1729,TMB / ---,5,5,THO,22714,2022 - 2023 Bahar Dönemi
THO 318,Sahne Projesi II (Kredisiz),Cumhur Sevinç,Perşembe,1330/1729,TMB / ---,2,5,THO,22715,2022 - 2023 Bahar Dönemi
THO 318,Sahne Projesi II (Kredisiz),Funda Bozkurt,Perşembe,1330/1729,TMB / ---,3,5,THO,22717,2022 - 2023 Bahar Dönemi
THO 318,Sahne Projesi II (Kredisiz),Salim Sınar,Perşembe,1330/1729,TMB / ---,0,5,THO,22718,2022 - 2023 Bahar Dönemi
THO 318,Sahne Projesi II (Kredisiz),Yurıy Mezokh,Perşembe,1330/1729,TMB / ---,5,5,THO,22720,2022 - 2023 Bahar Dönemi
THO 372,Sahne ve Beden Dili II,Kemal Akdoğan,Pazartesi,1530/1729,TMB / ---,12,20,SES,22721,2022 - 2023 Bahar Dönemi
THO 412,Geleneksel Giyim Kuşam II,İlknur Demirbağ,Cuma,1600/1759,TMB / ---,26,25,THO,22723,2022 - 2023 Bahar Dönemi
THO 418,Sahne Projesi IV (Kredisiz),İlknur Demirbağ,Perşembe,1330/1729,TMB / ---,3,10,THO,22724,2022 - 2023 Bahar Dönemi
THO 422,Azeri Oyun Repertuvarı II,Salim Sınar,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",0,10,"THMA, THO",22726,2022 - 2023 Bahar Dönemi
THO 426,Halay Oyun Repertuvarı II,Cenap Güngör,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",3,10,"THMH, THO",22727,2022 - 2023 Bahar Dönemi
THO 428,Horon Oyun Repertuvarı II,Aydın Balcı,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",1,10,"THMN, THO",22728,2022 - 2023 Bahar Dönemi
THO 430,Karşılama- Hora Oyun Rep II,Serdar Bombacı,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",6,10,"THMK, THO",22729,2022 - 2023 Bahar Dönemi
THO 432,Kaşıklı Oyunlar II,Funda Bozkurt,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",2,10,THO,22730,2022 - 2023 Bahar Dönemi
THO 436,Zeybek Oyun Repertuvarı II,Cumhur Sevinç,"Salı
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",2,10,"THMZ, THO",22731,2022 - 2023 Bahar Dönemi
THO 444,Denge Performans II,Cumhur Sevinç,"Pazartesi
Çarşamba","1030/1229
1330/1529","TMB
TMB / ---
---",0,5,"THMB, THMD, THO",22732,2022 - 2023 Bahar Dönemi
THO 446,Köy Seyirlik Oyunları II,Eyüp Uzunkaya,"Çarşamba
Perşembe","1330/1529
0830/1029","TMB
TMB / ---
---",6,8,THO,22733,2022 - 2023 Bahar Dönemi
THO 446,Köy Seyirlik Oyunları II,Eyüp Uzunkaya,"Perşembe
Cuma","1030/1229
1400/1559","TMB
TMB / ---
---",3,5,THO,24537,2022 - 2023 Bahar Dönemi
THO 448,Modern Dans II,Yurıy Mezokh,"Çarşamba
Perşembe","1330/1529
0830/1029","TMB
TMB / ---
---",5,8,"THMD, THO",22734,2022 - 2023 Bahar Dönemi
THO 460,Geleneksel Takı ve Aksesuarlar,İlknur Demirbağ,Pazartesi,0830/1029,TMB / ---,9,10,THO,22735,2022 - 2023 Bahar Dönemi
THO 462,Koreografi II,Yurıy Mezokh,Salı,0830/1029,TMB / ---,6,10,"THMB, THMD, THO",22736,2022 - 2023 Bahar Dönemi
THO 472,Türk Halk Oyunları II,Cenap Güngör,Pazartesi,1030/1229,TMB / ---,19,20,SES,22737,2022 - 2023 Bahar Dönemi
THO 492,Bitirme Çalışması,Eyüp Uzunkaya,----,/,TMB / ---,17,100,THO,22738,2022 - 2023 Bahar Dönemi
