Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DNK 201,Dinamik,Abdullah Gedikli,Cuma,1430/1729,INB,0,0,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,11351,2022 - 2023 Güz Dönemi
DNK 201,Dinamik,Abdullah Gedikli,Salı,1230/1529,EEB,0,0,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,14919,2022 - 2023 Güz Dönemi
DNK 201,Dinamik,Fethi Kadıoğlu,Pazartesi,0930/1229,INB,0,0,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UZB,11341,2022 - 2023 Güz Dönemi
DNK 201,Dinamik,Özge Özdemir,Pazartesi,1430/1729,UUB,0,0,DUI EHB ELE ELH ELK FIZ INS JEO KOM KON MTO TEK TEL UCK UCKM UZB UZBM,12195,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Akif Kutlu,Cuma,1430/1729,INB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UZB UZBE,11365,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Abdul Hayır,Cuma,1430/1729,INB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UZB UZBE,11361,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Cemil Kurtcebe,Pazartesi,1430/1729,UUB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,12193,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Ceren Bilgin Güney,Perşembe,0930/1229,GDB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UZB UZBE,13181,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Saliha Banu Yılmaz,Pazartesi,1430/1729,UUB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UCKM UZB UZBE UZBM,12198,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,Teoman Özer,Pazartesi,0930/1229,INB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UZB UZBE,11364,2022 - 2023 Güz Dönemi
DNK 201E,Dynamics,--,Pazartesi,0930/1229,INB,0,0,DEN DENE DUI DUIE DUIK EEE EHB EHBE EHS ELE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GMI GMIE INS INSE JEO JEOE KOM KOME KON KONE MAD MADE MAT MATE MTM MTO NAE PETE TEK TEL UCK UCKE UZB UZBE,14111,2022 - 2023 Güz Dönemi
