Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FIZ 113,Genel Fizik I,Haluk Özbek,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,0,0,FIZ FIZM,11485,2022 - 2023 Güz Dönemi
FIZ 113EL,General Physics I Laboratory,Haluk Özbek,Cuma,1400/1559,FEB,0,0,FIZ,11487,2022 - 2023 Güz Dönemi
FIZ 113EL,General Physics I Laboratory,Haluk Özbek,Çarşamba,1030/1229,FEB,0,0,FIZ,11486,2022 - 2023 Güz Dönemi
FIZ 115,Fizik Müh. Giriş & Etik,Gönül Eryürek,Çarşamba,1330/1529,FEB,0,0,FIZ,11488,2022 - 2023 Güz Dönemi
FIZ 116,Genel Fizik II,Sevtap Yıldız Özbek,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,0,0,FIZ,13785,2022 - 2023 Güz Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Salı,1430/1729,FEB,0,0,CHZ FIZM GEM JEF MAD MTO UCK,11490,2022 - 2023 Güz Dönemi
FIZ 201E,Modern Physics,Deniz Türkpençe,Çarşamba,1230/1529,EEB,0,0,EEE EHB EHBE EHS ELE ELH ELK ELKE KOM KOME,12150,2022 - 2023 Güz Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Perşembe,1430/1729,FEB,0,0,MET METE UCK,11491,2022 - 2023 Güz Dönemi
FIZ 201E,Modern Physics,--,Çarşamba,1230/1529,EEB,0,0,EEE EHB EHBE EHS ELE ELH ELK ELKE KOM KOME,12148,2022 - 2023 Güz Dönemi
FIZ 201E,Modern Physics,Mehmet Murat Sunar,Pazartesi,1430/1729,FEB,0,0,CHZ CHZE FIZM GEM JEF JEFE MTO MTOE UCK UZBE,11492,2022 - 2023 Güz Dönemi
FIZ 210,Fizikte Matematik. Yönt.Giriş,Ali Yıldız,Pazartesi Cuma,1030/1229 0930/1129,FEB FEB,0,0,FIZ FIZM,11504,2022 - 2023 Güz Dönemi
FIZ 214,Dalgalar Fiziği,Seda Aksoy Esinoğlu,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,0,0,FIZ FIZM,11493,2022 - 2023 Güz Dönemi
FIZ 214EL,Wave Physics Laboratory,Seda Aksoy Esinoğlu,Çarşamba,1030/1229,FEB,0,0,FIZ FIZE,11494,2022 - 2023 Güz Dönemi
FIZ 214EL,Wave Physics Laboratory,Seda Aksoy Esinoğlu,Çarşamba,1330/1529,FEB,0,0,FIZ FIZE,11496,2022 - 2023 Güz Dönemi
FIZ 215,Modern Fizik,Neşe Özdemir,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/0929,FEB FEB FEB,0,0,FIZ,13787,2022 - 2023 Güz Dönemi
FIZ 215EL,Modern Physics Laboratory,--,Perşembe,1330/1529,FEB,0,0,FIZ,13790,2022 - 2023 Güz Dönemi
FIZ 215EL,Modern Physics Laboratory,--,Salı,1530/1729,FEB,0,0,FIZ,13789,2022 - 2023 Güz Dönemi
FIZ 215EL,Modern Physics Laboratory,--,Salı,1330/1529,FEB,0,0,FIZ,13788,2022 - 2023 Güz Dönemi
FIZ 233E,Electronics I,Özgün Girgin,Salı Çarşamba,1330/1529 1030/1129,MDB FEB,0,0,FIZ FIZE,11497,2022 - 2023 Güz Dönemi
