Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GID 111E,Int.to Food Eng.and Ethics,--,Çarşamba,1230/1529,KMB,0,0,GID GIDE,11859,2022 - 2023 Güz Dönemi
GID 113E,Int.to Food Eng. and Ethics,Aslı Can Karaça,Çarşamba,1230/1429,KMB,0,0,GID GIDE,11863,2022 - 2023 Güz Dönemi
GID 211E,Mass and Energy Balances,Celale Kırkın Gözükırmızı,Salı,0930/1229,KMB,0,0,GID GIDE,11864,2022 - 2023 Güz Dönemi
GID 216E,Mass and Energy Balances,Meral Kılıç Akyılmaz,Salı,0930/1229,KMB,0,0,GID GIDE,11865,2022 - 2023 Güz Dönemi
GID 221E,Food Chemistry,Aslı Can Karaça,Cuma,0930/1229,KMB,0,0,GID GIDE GIDM,11866,2022 - 2023 Güz Dönemi
GID 223E,Food Chemistry,"Esra Çapanoğlu Güven, Neşe Şahin Yeşilçubuk",Cuma,0930/1229,KMB,0,0,GID GIDE GIDM,11867,2022 - 2023 Güz Dönemi
GID 311,Gıda Mikrobiyolojisi I,Pervin Başaran Akocak,Perşembe,0930/1229,KMB,0,0,GID GIDM,11868,2022 - 2023 Güz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,Hatice Funda Karbancıoğlu Güler,Salı,1330/1729,KMB,0,0,GID,11870,2022 - 2023 Güz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,Hatice Funda Karbancıoğlu Güler,Salı,0830/1229,KMB,0,0,GID,11869,2022 - 2023 Güz Dönemi
GID 331E,Food Eng Unit Operations I,Fatma Ebru Fıratlıgil,Cuma,1400/1659,KMB,0,0,GID GIDE,11871,2022 - 2023 Güz Dönemi
GID 341,Isı Aktarımı,Fatma Ebru Fıratlıgil,Perşembe,1330/1629,KMB,0,0,GID,11872,2022 - 2023 Güz Dönemi
GID 351,Kütle Aktarımı,Filiz Altay,Pazartesi,1430/1729,KMB,0,0,GID,11873,2022 - 2023 Güz Dönemi
GID 411E,Food Engineering Design I,Gürbüz Güneş,Çarşamba,0830/1129,KMB,0,0,GID GIDE,11874,2022 - 2023 Güz Dönemi
GID 413,Biyoteknoloji,Neşe Şahin Yeşilçubuk,Perşembe,1330/1629,KMB,0,0,GID GIDM,11875,2022 - 2023 Güz Dönemi
GID 415E,Cold Storage Technology,Filiz Altay,Salı,0930/1229,KMB,0,0,GID GIDE,11876,2022 - 2023 Güz Dönemi
GID 419E,Enzymes in Food Production,Derya Kahveci Karıncaoğlu,Perşembe,0930/1229,KMB,0,0,GID GIDE,11877,2022 - 2023 Güz Dönemi
GID 424,Gıda Kalite Kontrol,"Beraat Özçelik, Derya Kahveci Karıncaoğlu, Neşe Şahin Yeşilçubuk",Salı,1330/1629,KMB,0,0,GID GIDM,11878,2022 - 2023 Güz Dönemi
GID 433,Gıda Kalite Kontrol Lab,"Neşe Şahin Yeşilçubuk, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven",Pazartesi,1330/1729,KMB,0,0,GID,11880,2022 - 2023 Güz Dönemi
GID 433,Gıda Kalite Kontrol Lab,"Neşe Şahin Yeşilçubuk, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven",Pazartesi,0830/1229,KMB,0,0,GID,11879,2022 - 2023 Güz Dönemi
GID 441,Proses Kontrol,Filiz Altay,Cuma,0930/1229,KMB,0,0,FIZ GID,11881,2022 - 2023 Güz Dönemi
GID 450,Gıda Müh. Özel Konular,"Meral Kılıç Akyılmaz, Aslı Can Karaça, Beraat Özçelik, Celale Kırkın Gözükırmızı, Derya Kahveci Karıncaoğlu, Esra Çapanoğlu Güven, Fatma Ebru Fıratlıgil, Filiz Altay, Gürbüz Güneş, Hatice Funda Karbancıoğlu Güler, Neşe Şahin Yeşilçubuk, Pervin Başaran Akocak",----,/,KMB,0,0,GID,11884,2022 - 2023 Güz Dönemi
GID 4901E,Food Engineering Design I,Celale Kırkın Gözükırmızı,Çarşamba,0830/1329,KMB,0,0,GID GIDE,11892,2022 - 2023 Güz Dönemi
GID 492,Bitirme Çalışması,Meral Kılıç Akyılmaz,----,/,KMB,0,0,GID,11893,2022 - 2023 Güz Dönemi
GID 492E,Graduation Project,Meral Kılıç Akyılmaz,----,/,KMB,0,0,GID GIDE,11895,2022 - 2023 Güz Dönemi
