Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GMI 114,Malz.Bilgisi ve Üretim Yöntem.,Hakan Demirel,Salı,1530/1729,DZB,0,0,GMI,12333,2022 - 2023 Güz Dönemi
GMI 114E,Materials Scie.&Manufact.Mth.,Yasin Arslanoğlu,Çarşamba,1330/1529,DZB,0,0,MEN,14711,2022 - 2023 Güz Dönemi
GMI 118,Gemi Mak. İşl.Müh.Gir.veEtik,Kadir Çiçek,Pazartesi,0830/1129,DZB,0,0,GMI,12334,2022 - 2023 Güz Dönemi
GMI 118E,Intr. to Marine Eng.& Ethics,Tolga Köse,Pazartesi,1330/1629,DZB,0,0,MEN,14635,2022 - 2023 Güz Dönemi
GMI 206,Atölye,Yalçın Durmuşoğlu,Pazartesi,1130/1429,DZB,0,0,GMI,12336,2022 - 2023 Güz Dönemi
GMI 206,Atölye,Yalçın Durmuşoğlu,Pazartesi,1430/1729,DZB,0,0,GMI,12338,2022 - 2023 Güz Dönemi
GMI 233,Gemi Dizel Makineleri II,--,Çarşamba,1230/1529,DZB,0,0,GMI,12339,2022 - 2023 Güz Dönemi
GMI 233,Gemi Dizel Makineleri II,--,Perşembe,1230/1529,DZB,0,0,GMI,12341,2022 - 2023 Güz Dönemi
GMI 243,Denizel Çevre Kimyası,Yasin Arslanoğlu,Çarşamba,1030/1329,DZB,0,0,DUI GMI,14952,2022 - 2023 Güz Dönemi
GMI 254,Gemi Yardımcı Makineleri I,Kadir Çiçek,Çarşamba,0830/1129,DZB,0,0,GMI,12342,2022 - 2023 Güz Dönemi
GMI 261E,Fluid Mechanics,Ata Bilgili,Cuma,1000/1259,DZB,0,0,GMI GMIE,15078,2022 - 2023 Güz Dönemi
GMI 270E,Maritime English II,Müjgan Özenir,Çarşamba,1000/1159,DZB,0,0,GMI GMIE,12343,2022 - 2023 Güz Dönemi
GMI 301,Deniz Hukuku,Hakan Muran,Cuma,1030/1229,DZB,0,0,GMI,12346,2022 - 2023 Güz Dönemi
GMI 301,Deniz Hukuku,Hakan Muran,Cuma,0830/1029,DZB,0,0,GMI,12344,2022 - 2023 Güz Dönemi
GMI 313,Gemi Buhar Kazanları & Operas.,Tanju Kurtuluş,Perşembe,1030/1229,DZB,0,0,GMI,12347,2022 - 2023 Güz Dönemi
GMI 315,Deniz Ekolojisi,--,Salı,0930/1229,DZB,0,0,GMI,12349,2022 - 2023 Güz Dönemi
GMI 320,Gemi İnşaatı ve Stabilite,Hakan Demirel,Salı,1230/1429,DZB,0,0,GMI,12350,2022 - 2023 Güz Dönemi
GMI 320,Gemi İnşaatı ve Stabilite,Gazi Koçak,Pazartesi,1230/1429,DZB,0,0,GMI,15195,2022 - 2023 Güz Dönemi
GMI 324,Gemi Mak. Operasyon&Bakımı,Burak Zincir,Perşembe,1530/1729,DZB,0,0,GMI,12353,2022 - 2023 Güz Dönemi
GMI 324,Gemi Mak. Operasyon&Bakımı,Burak Zincir,Pazartesi,0930/1129,DZB,0,0,GMI,12352,2022 - 2023 Güz Dönemi
GMI 325E,Marine Insurance,Sinan Çakır,Cuma,1400/1559,DZB,0,0,GMI,14622,2022 - 2023 Güz Dönemi
GMI 341E,Automatic Control Systems,İsmail Çiçek,Salı,1130/1429,DZB,0,0,GMI GMIE,12355,2022 - 2023 Güz Dönemi
GMI 342E,Maritime Rules & Regulations,Burak Zincir,Perşembe,0830/1029,DZB,0,0,GMI GMIE,12358,2022 - 2023 Güz Dönemi
GMI 352,Isı Geçişi,Yalçın Durmuşoğlu,Salı,1430/1729,DZB,0,0,GMI,12360,2022 - 2023 Güz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,Metin Çelik,Çarşamba,1130/1429,DZB,0,0,GMI GMIE,12365,2022 - 2023 Güz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,Kadir Çiçek,Salı,0830/1129,DZB,0,0,GMI GMIE,12363,2022 - 2023 Güz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,İsmail Çiçek,Pazartesi,1430/1729,DZB,0,0,GMI GMIE,12362,2022 - 2023 Güz Dönemi
GMI 392E,Long Term Sea Training,İsmail Çiçek,----,/,DZB,0,0,GMI GMIE,12366,2022 - 2023 Güz Dönemi
GMI 405E,Shipping Finance,Sinan Çakır,Pazartesi,0930/1129,DZB,0,0,GMI GMIE,14623,2022 - 2023 Güz Dönemi
GMI 422E,Surveying Procedures,Cengiz Deniz,Çarşamba,0930/1129,DZB,0,0,GMI GMIE,12368,2022 - 2023 Güz Dönemi
GMI 434E,Refrigeration and HVAC Systems,Gazi Koçak,Perşembe,1530/1729,DZB,0,0,GMI GMIE,12369,2022 - 2023 Güz Dönemi
GMI 454,Gemi Yardımcı Makineleri II,Kadir Çiçek,Çarşamba,1230/1529,DZB,0,0,GMI,12371,2022 - 2023 Güz Dönemi
GMI 455,Gemi Elektrotekniği II,Gazi Koçak,Perşembe,1230/1429,DZB,0,0,GMI,12372,2022 - 2023 Güz Dönemi
GMI 473,Gemi Dizel Makineleri III,Yalçın Durmuşoğlu,Salı,0930/1129,DZB,0,0,GMI,12373,2022 - 2023 Güz Dönemi
GMI 484E,Engine Room Simulator (ERS) II,Burak Zincir,Pazartesi,1130/1429,DZB,0,0,GMI,14868,2022 - 2023 Güz Dönemi
GMI 4901,Gemi Mak. İşl. Müh. Tasarımı I,Yalçın Durmuşoğlu,----,/,DZB,0,0,GMI,12375,2022 - 2023 Güz Dönemi
GMI 4902,Gemi Mak. İşl. Müh.Tasarımı II,Yalçın Durmuşoğlu,----,/,DZB,0,0,GMI,12376,2022 - 2023 Güz Dönemi
GMI 492,Tasarım Projesi,Yalçın Durmuşoğlu,----,/,DZB,0,0,GMI,12378,2022 - 2023 Güz Dönemi
GMI 492E,Design Project,--,----,/,DZB,0,0,GMIE,12379,2022 - 2023 Güz Dönemi
