Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
INS 101,Teknik Resim,Sibel Gürel,Salı,1430/1729,INB,0,0,INS,11368,2022 - 2023 Güz Dönemi
INS 101,Teknik Resim,Sibel Gürel,Çarşamba,0830/1129,INB,0,0,INS,11366,2022 - 2023 Güz Dönemi
INS 101,Teknik Resim,Medine İspir Arslan,Salı,0830/1129,INB,0,0,INS,11369,2022 - 2023 Güz Dönemi
INS 101,Teknik Resim,Sabahat Topuz Kiremitçi,Pazartesi,0830/1129,INB,0,0,INS,11367,2022 - 2023 Güz Dönemi
INS 101E,Technical Drawing,Çağlar Akkaya,Perşembe,0830/1129,INB,0,0,INS INSE,11371,2022 - 2023 Güz Dönemi
INS 101E,Technical Drawing,Çağlar Akkaya,Cuma,0830/1129,INB,0,0,INS INSE,11370,2022 - 2023 Güz Dönemi
INS 102,Statik,Reha Artan,Salı Çarşamba,1030/1229 1030/1229,INB INB,0,0,INS,11372,2022 - 2023 Güz Dönemi
INS 102E,Statics,Hale Ergün,Salı Çarşamba,0830/1029 0830/1029,INB INB,0,0,INS INSE,11373,2022 - 2023 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Tolga Yılmaz Özüdoğru,Cuma,1430/1729,,0,0,INS INSE,13581,2022 - 2023 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Cem Demir,Cuma,1430/1729,,0,0,INS INSE,13580,2022 - 2023 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Erol Lale,Cuma,1430/1729,,0,0,INS INSE,13578,2022 - 2023 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Tolga Yılmaz Özüdoğru,Pazartesi,1430/1729,,0,0,INS INSE,13576,2022 - 2023 Güz Dönemi
INS 107E,Int. to Prog. Lang. (Python),Nilay Çelik Muhtaroğlu,Pazartesi,1430/1729,,0,0,INS INSE,13577,2022 - 2023 Güz Dönemi
INS 111,İnşaat Müh. Giriş ve Etik,"Engin Orakdöğen, Hüseyin Onur Tezcan",Çarşamba,1330/1429,MED,0,0,INS,11374,2022 - 2023 Güz Dönemi
INS 111E,Int. to Civil Eng. & Ethics,"Engin Orakdöğen, Hüseyin Onur Tezcan",Çarşamba,1430/1529,MED,0,0,INSE,11375,2022 - 2023 Güz Dönemi
INS 112,İnşaat Müh. İçin Yerbilimi,Yılmaz Mahmutoğlu,Salı,1330/1529,INB,0,0,INS,13617,2022 - 2023 Güz Dönemi
INS 112E,Earth Science for Civil Engin.,Kayhan Develi,Perşembe,0830/1029,INB,0,0,INS INSE,13618,2022 - 2023 Güz Dönemi
INS 202,İnşaat Müh. Sayısal Yöntemler,Mehmet Günhan Aksoylu,Çarşamba,1030/1229,INB,0,0,INS,11378,2022 - 2023 Güz Dönemi
INS 202,İnşaat Müh. Sayısal Yöntemler,Yavuz Durgun,Çarşamba,1030/1229,INB,0,0,INS,11377,2022 - 2023 Güz Dönemi
INS 202,İnşaat Müh. Sayısal Yöntemler,Yıldır Akkaya,Pazartesi,1330/1529,INB,0,0,INS,11376,2022 - 2023 Güz Dönemi
INS 202E,Numerical Methods inCivil Eng.,Tuba Gürbüz Büyükkayıkcı,Çarşamba,1030/1229,INB,0,0,INS INSE,11380,2022 - 2023 Güz Dönemi
INS 202E,Numerical Methods inCivil Eng.,Atila Sezen,Pazartesi,1330/1529,INB,0,0,INS INSE,11379,2022 - 2023 Güz Dönemi
INS 210,İnşaat Müh. için Matematik,Erol Demirkan,Cuma,0830/1029,MED,0,0,INS,12892,2022 - 2023 Güz Dönemi
INS 210,İnşaat Müh. için Matematik,Erol Demirkan,Pazartesi,1530/1729,MED,0,0,INS,12891,2022 - 2023 Güz Dönemi
INS 210E,Mathematics in Civil Eng.,Mustafa Yavuz,Cuma,0830/1029,INB,0,0,INS INSE,13583,2022 - 2023 Güz Dönemi
INS 215,Malzeme Bilimi,Ünal Anıl Doğan,Perşembe,1330/1629,INB,0,0,INS,12272,2022 - 2023 Güz Dönemi
INS 215,Malzeme Bilimi,Hasan Yıldırım,Perşembe,1330/1629,INB,0,0,INS,12271,2022 - 2023 Güz Dönemi
INS 215,Malzeme Bilimi,Özkan Şengül,Salı,1330/1629,INB,0,0,INS,12270,2022 - 2023 Güz Dönemi
INS 215,Malzeme Bilimi,Yılmaz Akkaya,Salı,1330/1629,INB,0,0,INS,12269,2022 - 2023 Güz Dönemi
INS 215E,Materials Science,Özgür Ekincioğlu,Perşembe,1330/1629,INB,0,0,INS INSE,12273,2022 - 2023 Güz Dönemi
INS 217,Mukavemet I,Semih Küçükarslan,Çarşamba Perşembe,0830/1029 1030/1229,INB INB,0,0,INS,11384,2022 - 2023 Güz Dönemi
INS 217,Mukavemet I,Şenol Ataoğlu,Çarşamba Perşembe,0830/1029 1030/1229,INB INB,0,0,INS,11383,2022 - 2023 Güz Dönemi
INS 217,Mukavemet I,Abdul Hayır,Pazartesi Salı,1030/1229 1030/1229,INB INB,0,0,INS,11382,2022 - 2023 Güz Dönemi
INS 217,Mukavemet I,Nihal Eratlı,Pazartesi Salı,1030/1229 1030/1229,INB INB,0,0,INS,11381,2022 - 2023 Güz Dönemi
INS 217E,Strength of Materials I,Osman Bulut,Pazartesi Salı,1030/1229 1030/1229,INB INB,0,0,INS INSE,11385,2022 - 2023 Güz Dönemi
INS 228E,Building Materials,Oğuz Güneş,Salı Cuma,1330/1529 1030/1229,INB INB,0,0,INS INSE,12275,2022 - 2023 Güz Dönemi
