Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTH 101,Calculus I,Samet Yücel Kadıoğlu,Pazartesi Salı,1430/1729 0930/1129,EEB KMB,0,0,MBI SBL,14872,2022 - 2023 Güz Dönemi
MTH 101,Calculus I,--,Pazartesi Salı,1430/1729 1030/1229,MED MED,0,0,MBI SBL,14900,2022 - 2023 Güz Dönemi
MTH 103,Calculus I,Nurhan Çolakoğlu,Pazartesi Salı,1630/1829 0830/1129,FEB MED,0,0,SED,14808,2022 - 2023 Güz Dönemi
MTH 105,Calculus I,Güler Arsan,Salı,0830/1129,MED,0,0,SEK SIS,14915,2022 - 2023 Güz Dönemi
MTH 106,Calculus II,--,Salı,0830/1129,MED,0,0,SEK SIS,14916,2022 - 2023 Güz Dönemi
MTH 107,Calculus I,Sultan Erdoğan Demir,Pazartesi Salı,1430/1729 0830/1129,INB INB,0,0,SIN,14911,2022 - 2023 Güz Dönemi
MTH 121,Calculus I,Bayram Barış Kızılsaç,Salı,1330/1729,DZB,0,0,SDU SGM,12427,2022 - 2023 Güz Dönemi
MTH 123,Calculus,Sezgin Altay Demirbağ,Salı,0830/1129,FEB,0,0,STP,11599,2022 - 2023 Güz Dönemi
MTH 131,Mathematics I,Burak Yıldıran Stodolsky,Pazartesi Salı,1530/1729 0830/1129,EEB EEB,0,0,EHN SEH,13629,2022 - 2023 Güz Dönemi
MTH 203,Differential Equations,Sabire Cömert,Cuma,0830/1229,DZB,0,0,DUIK GEMK GMIK MEN MTM NAE,14645,2022 - 2023 Güz Dönemi
MTH 203,Differential Equations,Mehmet Ali Karaca,Perşembe,0830/1229,EEB,0,0,DUIK GEMK GMIK MEN MTM NAE,14602,2022 - 2023 Güz Dönemi
MTH 281,Linear Algebra and Applicat.,İbrahim Akduman,Cuma,0830/1129,EEB,0,0,EHN SEH,12134,2022 - 2023 Güz Dönemi
