Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
UCK 101,Uçak Müh. Giriş ve Etik,Cemil Kurtcebe,Cuma,1130/1229,UUB,0,0,UCK,12173,2022 - 2023 Güz Dönemi
UCK 203E,"Circuits, Signals and Systems",Ramazan Yeniçeri,Cuma,1430/1729,UUB,0,0,UCK UZB UZBE,12177,2022 - 2023 Güz Dönemi
UCK 207,Termodinamik,Baha Zafer,Salı,0830/1129,UUB,0,0,UCK UZB,12179,2022 - 2023 Güz Dönemi
UCK 207E,Thermodynamics,Onur Tunçer,Cuma,0930/1229,UUB,0,0,UCK UCKE UZB UZBE,12180,2022 - 2023 Güz Dönemi
UCK 207E,Thermodynamics,Ali Kodal,Cuma,0930/1229,UUB,0,0,UCK UCKE UZB UZBE,12191,2022 - 2023 Güz Dönemi
UCK 217E,Aerospace Materials,--,Pazartesi,0930/1229,UUB,0,0,UCK UZB UZBE,12230,2022 - 2023 Güz Dönemi
UCK 217E,Aerospace Materials,Hülya Cebeci,Salı,0830/1129,MED,0,0,UCK UZB UZBE,12231,2022 - 2023 Güz Dönemi
UCK 217E,Aerospace Materials,Hülya Cebeci,Çarşamba,0830/1129,UUB,0,0,UCK UZB UZBE,12232,2022 - 2023 Güz Dönemi
UCK 305,Aerodinamik,Baha Zafer,Çarşamba,1230/1529,UUB,0,0,UCK UCKM,12228,2022 - 2023 Güz Dönemi
UCK 305E,Aerodynamics,Aydın Mısırlıoğlu,Çarşamba,1230/1529,UUB,0,0,UZB UZBE UZBM,12229,2022 - 2023 Güz Dönemi
UCK 322E,Flight Mechanics,Barış Başpınar,Çarşamba,0830/1129,UUB,0,0,UCK UCKE UCKM,12248,2022 - 2023 Güz Dönemi
UCK 322E,Flight Mechanics,Barış Başpınar,Pazartesi,1130/1429,UUB,0,0,UCK UCKE UCKM,12247,2022 - 2023 Güz Dönemi
UCK 361E,Design of Machine Elements,Halit Süleyman Türkmen,Salı,0930/1229,UUB,0,0,UCK UCKE UZB UZBE,12233,2022 - 2023 Güz Dönemi
UCK 363E,Automatic Control II,Elbrus Caferov,Perşembe,1230/1429,UUB,0,0,UCK UZB UZBE,12251,2022 - 2023 Güz Dönemi
UCK 363E,Automatic Control II,İsmail Bayezit,Salı,0930/1129,UUB,0,0,UCK UZB UZBE,12253,2022 - 2023 Güz Dönemi
UCK 363E,Automatic Control II,Barış Başpınar,Salı,0930/1129,UUB,0,0,UCK UZB UZBE,12252,2022 - 2023 Güz Dönemi
UCK 419E,Computational Aerodynamics,Melike Nikbay,Çarşamba,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12235,2022 - 2023 Güz Dönemi
UCK 421E,Jet Propulsion Principles,Onur Tunçer,Perşembe,1130/1429,UUB,0,0,UCK UCKE UCKM,12237,2022 - 2023 Güz Dönemi
UCK 421E,Jet Propulsion Principles,Ali Kodal,Pazartesi,1430/1729,UUB,0,0,UCK UCKE UCKM,12236,2022 - 2023 Güz Dönemi
UCK 423E,Princip. of Aircraft Design I,Hayri Acar,Salı,1430/1729,UUB,0,0,UCK UCKE,12240,2022 - 2023 Güz Dönemi
UCK 423E,Princip. of Aircraft Design I,Hayri Acar,Salı,1130/1429,UUB,0,0,UCK UCKE,12239,2022 - 2023 Güz Dönemi
UCK 459E,Helicopter Theory,Özge Özdemir,Perşembe,1430/1729,UUB,0,0,UCK UCKE UZB UZBE,12241,2022 - 2023 Güz Dönemi
UCK 468E,"Guidance, Control & Navigation",İsmail Bayezit,Perşembe,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12242,2022 - 2023 Güz Dönemi
UCK 474E,Aircraft Engine Design,"Onur Tunçer, Mehmet Kahraman",Çarşamba,1130/1429,UUB,0,0,UCK UCKE UZB UZBE,12205,2022 - 2023 Güz Dönemi
UCK 4901,Uçak Müh. Tasarımı I,Cengiz Hacızade,----,/,UUB,0,0,UCK,12257,2022 - 2023 Güz Dönemi
UCK 4902,Uçak Müh. Tasarımı II,Cengiz Hacızade,----,/,UUB,0,0,UCK,12258,2022 - 2023 Güz Dönemi
UCK 492,Bitirme Çalışması,Cengiz Hacızade,----,/,UUB,0,0,UCK,12259,2022 - 2023 Güz Dönemi
UCK 492E,Graduation Project,--,----,/,UUB,0,0,UCK UCKE,12260,2022 - 2023 Güz Dönemi
