Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
UZB 101E,Int.to Astronaut.Eng. & Ethics,Aydın Mısırlıoğlu,Salı,1230/1329,UUB,0,0,UZB UZBE,12172,2022 - 2023 Güz Dönemi
UZB 112,Bilgisayarla Teknik Resim,Hüsnü Barbaros Soyer,Perşembe,1430/1729,UUB,0,0,UCK,12174,2022 - 2023 Güz Dönemi
UZB 112E,Computer Aided Drafting,Hüsnü Barbaros Soyer,Cuma,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12176,2022 - 2023 Güz Dönemi
UZB 112E,Computer Aided Drafting,Hüsnü Barbaros Soyer,Perşembe,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12175,2022 - 2023 Güz Dönemi
UZB 242E,Basic Astronomy,Cuma Yarım,Çarşamba,1230/1529,UUB,0,0,UZBE,12255,2022 - 2023 Güz Dönemi
UZB 318E,Finite Element Method,Vedat Ziya Doğan,Perşembe,1430/1729,UUB,0,0,UCK UCKE UZB UZBE,12206,2022 - 2023 Güz Dönemi
UZB 331,Hava Uzay Yapıları,Metin Orhan Kaya,Cuma,0830/1129,UUB,0,0,UCK UCKM,12209,2022 - 2023 Güz Dönemi
UZB 331E,Aerospace Structures,Demet Balkan,Cuma,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12214,2022 - 2023 Güz Dönemi
UZB 331E,Aerospace Structures,İbrahim Özkol,Cuma,0830/1129,UUB,0,0,UCK UCKE UZB UZBE,12212,2022 - 2023 Güz Dönemi
UZB 341,Ölçme Tekniği,Duygu Erdem,Perşembe,0930/1229,UUB,0,0,UCK UCKE,12217,2022 - 2023 Güz Dönemi
UZB 341,Ölçme Tekniği,Duygu Erdem,Pazartesi,1430/1729,UUB,0,0,UCK,12220,2022 - 2023 Güz Dönemi
UZB 341E,Measurement Techniques,Saliha Banu Yılmaz,Çarşamba,0830/1129,UUB,0,0,UZB UZBE,12225,2022 - 2023 Güz Dönemi
UZB 341E,Measurement Techniques,Nuriye Leman Okşan Çetiner Yıldırım,Salı,0930/1229,UUB,0,0,UZB UZBE,12222,2022 - 2023 Güz Dönemi
UZB 352E,Orbital Mechanics,Demet Çilden Güler,Pazartesi,1430/1729,UUB,0,0,UZB UZBE UZBM,12246,2022 - 2023 Güz Dönemi
UZB 411E,Space Environment,Zerefşan Kaymaz,Perşembe,0830/1129,UUB,0,0,MTO MTOE UZB UZBE UZBM,12234,2022 - 2023 Güz Dönemi
UZB 415E,Spacecraft Systems Design I,Alim Rüstem Aslan,Salı,0830/1129,UUB,0,0,UZB UZBE,12254,2022 - 2023 Güz Dönemi
UZB 441E,Rocket Propulsion,Fırat Oğuz Edis,Perşembe,1430/1729,UUB,0,0,UZB UZBE UZBM,12238,2022 - 2023 Güz Dönemi
UZB 487E,CAD/CAM,Hüsnü Barbaros Soyer,Cuma,1430/1729,UUB,0,0,UCK UCKE UZB UZBE,12243,2022 - 2023 Güz Dönemi
UZB 4901E,Astronautical Eng. Design I,Aydın Mısırlıoğlu,----,/,UUB,0,0,UZB UZBE,12261,2022 - 2023 Güz Dönemi
UZB 4902E,Astronautical Eng. Design II,Aydın Mısırlıoğlu,----,/,UUB,0,0,UZB UZBE,12262,2022 - 2023 Güz Dönemi
UZB 492,Bitirme Çalışması,Aydın Mısırlıoğlu,----,/,UUB,0,0,UZB,12263,2022 - 2023 Güz Dönemi
UZB 492E,Graduation Project,Aydın Mısırlıoğlu,----,/,UUB,0,0,UZB UZBE,12264,2022 - 2023 Güz Dönemi
