Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DEN 102,Bilgisayar Destek.Teknik Resim,Sevil Deniz Yakan Dündar,Cuma,0830/1029,KMB / GZ104,27,40,DEN,21228,2023 - 2024 Bahar Dönemi
DEN 102,Bilgisayar Destek.Teknik Resim,Münir Cansın Özden,Cuma,0830/1029,GDB / R409,40,40,DEN,21235,2023 - 2024 Bahar Dönemi
DEN 102,Bilgisayar Destek.Teknik Resim,Sevil Deniz Yakan Dündar,Cuma,1030/1229,KMB / GZ104,41,40,DEN,21234,2023 - 2024 Bahar Dönemi
DEN 208E,Const.of Ship&Offshore Strc.,Serdar Aytekin Köroğlu,Perşembe,0930/1129,GDB / 410,71,75,"DEN, DENE",21244,2023 - 2024 Bahar Dönemi
DEN 306E,Marine Vehicle Design,Burcu Erbaş,Çarşamba,0930/1129,GDB / D311,85,95,"DEN, DENE",21245,2023 - 2024 Bahar Dönemi
DEN 308E,Stability of Marine Vehicles,Hakan Akyıldız,Salı,1530/1729,GDB / D401,47,60,"DEN, DENE",21246,2023 - 2024 Bahar Dönemi
DEN 310E,Resistance and Propulsion,Ömer Kemal Kınacı,Pazartesi,1030/1329,GDB / D311,90,95,DEN,21247,2023 - 2024 Bahar Dönemi
DEN 328E,Oceanography,"Sevil Deniz Yakan Dündar, Deniz Bayraktar Bural",Perşembe,0830/1129,GDB / 409,73,80,"DEN, DENE",21248,2023 - 2024 Bahar Dönemi
DEN 330E,Marine Engines&Aux.,Ahmet Ergün Palaz,Çarşamba,1330/1529,GDB / 409,66,75,"DEN, DENE",21249,2023 - 2024 Bahar Dönemi
DEN 332,Deniz ve İş Hukuku,Hasan Murat Demirkıran,Pazartesi,1330/1529,GDB / D311,84,85,DEN,21250,2023 - 2024 Bahar Dönemi
DEN 334,Deniz Suyu Kimyası,Sevil Deniz Yakan Dündar,Perşembe,1230/1429,GDB / D311,42,60,DEN,21251,2023 - 2024 Bahar Dönemi
DEN 341E,Ship Theory,Hakan Akyıldız,Salı,1230/1529,GDB / D303,27,40,"DEN, DENE",23928,2023 - 2024 Bahar Dönemi
DEN 406E,Offshore Structural Analysis,Kadir Sarıöz,Perşembe,1430/1729,GDB / R409,59,60,"DEN, DENE",21254,2023 - 2024 Bahar Dönemi
DEN 414,Deniz Dibi Boru Döşeme Tekniği,Deniz Bayraktar Bural,Perşembe,1230/1429,GDB / R409,20,20,DEN,21261,2023 - 2024 Bahar Dönemi
DEN 418E,Marine Energy Technology,Şafak Nur Ertürk Bozkurtoğlu,Pazartesi,1530/1729,GDB / D406,16,20,"DEN, DENE",21258,2023 - 2024 Bahar Dönemi
DEN 424E,Computer Aided Ship Design,Kadir Sarıöz,Pazartesi,1530/1729,GDB / D309,24,20,"DEN, DENE",21259,2023 - 2024 Bahar Dönemi
DEN 446,Gemi Elektr.& Kontrol Sist.,Ali Saffet Altay,Perşembe,1230/1429,GDB / D303,37,40,DEN,21262,2023 - 2024 Bahar Dönemi
DEN 448E,Mechanics of Mooring Lines,--,Pazartesi,1530/1729,GDB / ---,0,0,"DEN, DENE",21260,2023 - 2024 Bahar Dönemi
DEN 451E,Ship Mod.Tst.&OceanographyLab.,"Ceren Bilgin Güney, Burcu Erbaş, Yalçın Ünsan",Salı,0930/1229,GDB / 409,66,75,"DEN, DENE",21253,2023 - 2024 Bahar Dönemi
DEN 454,Gem.Klaslanma. Plan Onay Sür.,Murat Kaplanoğlu,Çarşamba,1230/1529,GDB / D303,17,35,"DEN, SORM",21263,2023 - 2024 Bahar Dönemi
DEN 456,Klas.Faal.Deniz.Huk.&DenizSig.,Hasan Murat Demirkıran,Pazartesi,0830/1129,GDB / R403,10,35,"DEN, SORM",21264,2023 - 2024 Bahar Dönemi
DEN 458,Sörvey Faal.İş Sağ. ve Güven.,Cem Melikoğlu,Salı,1400/1659,GDB / R403,11,35,"DEN, SORM",21265,2023 - 2024 Bahar Dönemi
DEN 460,Sörv.Faal.Ulus.&Ulusl.Kur.&Dü.,Bekir Sıtkı Türkmen,Çarşamba,0830/1129,GDB / D303,1,35,"DEN, SORM",21266,2023 - 2024 Bahar Dönemi
DEN 462E,Motions&Control of Mar.Vehic.,Ömer Kemal Kınacı,Çarşamba,1330/1529,GDB / D407,21,20,"DEN, DENE",21267,2023 - 2024 Bahar Dönemi
DEN 482,Bireysel Proje,Kadir Sarıöz,----,/,GDB / ---,45,500,DEN,21256,2023 - 2024 Bahar Dönemi
DEN 4901E,Shipbuilding&Ocean Eng.Desig.I,"Hakan Akyıldız, Kadir Sarıöz","Cuma
Cuma","0930/1229
1430/1729","GDB
GDB / 410
410",26,500,"DEN, DENE",21268,2023 - 2024 Bahar Dönemi
DEN 4902E,Shipbuilding&Ocean Eng.Dsg.II,"Ömer Kemal Kınacı, Ceren Bilgin Güney, Serdar Aytekin Köroğlu","Cuma
Cuma","0930/1229
1430/1729","GDB
GDB / 409
409",44,500,"DEN, DENE",21255,2023 - 2024 Bahar Dönemi
DEN 492E,Graduation Project,Kadir Sarıöz,----,/,GDB / ---,1,500,DENE,21257,2023 - 2024 Bahar Dönemi
