Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ENT 211E,Industrial Design Studio,Ekrem Cem Alppay,"Salı
Cuma","1330/1729
1400/1759","MMB
MMB / CATI1
CATI1",2,20,"ENTE, ENTM, EUT, EUTE",23192,2023 - 2024 Bahar Dönemi
ENT 212E,Society&Sustain. in Ind.Design,Çiğdem Kaya,Pazartesi,0830/1229,MMB / 216,67,90,"ENTE, ENTM",23194,2023 - 2024 Bahar Dönemi
ENT 230E,Parametric Solid Model.&Design,Ekrem Cem Alppay,Perşembe,1430/1729,MMB / BIM2,31,25,"ENTE, EUT, EUTE",24883,2023 - 2024 Bahar Dönemi
ENT 334E,Design and Form,Aysun Ateş Akdeniz,Perşembe,1330/1629,MMB / 231,35,35,"ENTE, EUT, EUTE, EUTM, ICM, ISL, ISLE",23227,2023 - 2024 Bahar Dönemi
ENT 335E,Glass Design & Prod.Technology,Gökhan Toraman,Pazartesi,1430/1729,MMB / ---,30,30,"ENTE, EUT, EUTE, EUTM",25070,2023 - 2024 Bahar Dönemi
ENT 335E,Glass Design & Prod.Technology,Ayten Sinem Hallı,Perşembe,1330/1629,MMB / 305,30,30,"ENTE, ENTM, EUT, EUTE",24650,2023 - 2024 Bahar Dönemi
ENT 343E,Typography,Christopher Çolak,Cuma,0830/1129,MMB / 315,30,30,"ENTE, ENTM, EUT, EUTE, EUTM",23232,2023 - 2024 Bahar Dönemi
ENT 345E,Consumer Behavior,Naz Gürpınar,Cuma,0830/1129,MMB / 311,29,30,"ENTE, ENTM, EUT, EUTE, EUTM",23234,2023 - 2024 Bahar Dönemi
ENT 347E,Introduction to Jewelry Design,Nazire Öykü Kaya,Çarşamba,0830/1129,MMB / ---,15,15,"ENTE, ENTM, EUT, EUTE, EUTM",25062,2023 - 2024 Bahar Dönemi
ENT 350E,Contemporary Furniture Design,Layıka Ney Ece Arıburun Kırca,Salı,0830/1129,MMB / 311,30,30,"ENTE, EUT, EUTE, EUTM, ICM",23237,2023 - 2024 Bahar Dönemi
ENT 356E,Color in Design,--,Perşembe,1330/1629,MMB / 309,0,0,"ARC, ENTE, ENTM, EUT, EUTE, EUTM",23241,2023 - 2024 Bahar Dönemi
ENT 357E,Mech.&Mnfctrabl. in Prod. Dsgn,Dilcu Salihoğlu,Perşembe,1330/1629,MMB / ---,30,30,"ENTE, ENTM, EUT, EUTE, EUTM",25002,2023 - 2024 Bahar Dönemi
ENT 374E,Graphic Design,Koray Gelmez,Pazartesi,1330/1629,MMB / 303,29,30,"ENTE, ENTM, EUT, EUTE, EUTM",23244,2023 - 2024 Bahar Dönemi
ENT 374E,Graphic Design,--,Çarşamba,0830/1129,MMB / ---,0,0,"ENTE, ENTM, EUT, EUTE, EUTM",25054,2023 - 2024 Bahar Dönemi
ENT 456E,Fashion Accessories Design,Melike Şenel,Cuma,0830/1129,MMB / 303,29,30,"ENTE, EUT, EUTE, EUTM",24498,2023 - 2024 Bahar Dönemi
ENT 462E,Visual Merchndising&Retail Dsn,Ayten Sinem Hallı,Perşembe,0830/1129,MMB / 303,29,30,"ENTE, ENTM, EUT, EUTE",24651,2023 - 2024 Bahar Dönemi
ENT 475E,Intro. to Automotive Design,Ekrem Cem Alppay,Pazartesi,1330/1629,MMB / 307,16,25,"ENTE, ENTM, EUT, EUTE, EUTM",23246,2023 - 2024 Bahar Dönemi
ENT 475E,Intro. to Automotive Design,Ekrem Cem Alppay,Cuma,0830/1129,MMB / 307,7,25,"ENTE, ENTM, EUT, EUTE, EUTM",23248,2023 - 2024 Bahar Dönemi
