Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FRA 101,Fransızca I,Hilal Küçük,Pazartesi,0830/1229,---- / ----,24,25,Tüm Lisans ve Lisansüstü Programlar,20334,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Yelda Tavukçuoğlu,Salı,0830/1229,---- / ----,25,25,Tüm Lisans ve Lisansüstü Programlar,20340,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Ebru Yücetin Er,Salı,1300/1659,---- / ----,25,25,Tüm Lisans ve Lisansüstü Programlar,20336,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Ebru Yücetin Er,Çarşamba,0830/1229,---- / ----,25,25,Tüm Lisans ve Lisansüstü Programlar,20337,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Ebru Yücetin Er,Perşembe,0830/1229,---- / ----,25,25,Tüm Lisans ve Lisansüstü Programlar,20339,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Yelda Tavukçuoğlu,Perşembe,1300/1659,---- / ----,31,30,Tüm Lisans ve Lisansüstü Programlar,20341,2023 - 2024 Bahar Dönemi
FRA 101,Fransızca I,Hilal Küçük,Cuma,0830/1229,---- / ----,24,25,Tüm Lisans ve Lisansüstü Programlar,20342,2023 - 2024 Bahar Dönemi
FRA 102,Fransızca II,Hilal Küçük,Salı,0830/1229,---- / ----,23,25,Tüm Lisans ve Lisansüstü Programlar,20344,2023 - 2024 Bahar Dönemi
FRA 102,Fransızca II,Hilal Küçük,Perşembe,0830/1229,---- / ----,25,25,Tüm Lisans ve Lisansüstü Programlar,20345,2023 - 2024 Bahar Dönemi
FRA 201,Fransızca III,Yelda Tavukçuoğlu,Çarşamba,0830/1229,---- / ----,18,22,Tüm Lisans ve Lisansüstü Programlar,20346,2023 - 2024 Bahar Dönemi
FRA 202,Fransızca IV,Ebru Yücetin Er,Cuma,0830/1229,---- / ----,10,20,Tüm Lisans ve Lisansüstü Programlar,20348,2023 - 2024 Bahar Dönemi
