Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KIM 104,Organik Kimya,Okan Sirkecioğlu,Çarşamba,1230/1529,KMB / D102,51,50,"GID, KIMM, KMM",20662,2023 - 2024 Bahar Dönemi
KIM 104,Organik Kimya,Hacer Ayşen Önen,Çarşamba,1230/1529,KMB / D103,16,50,"GID, KIMM, KMM",20663,2023 - 2024 Bahar Dönemi
KIM 104,Organik Kimya,Nilgün Kızılcan,Çarşamba,1230/1529,KMB / D104,50,52,"GID, KIMM, KMM",20664,2023 - 2024 Bahar Dönemi
KIM 104,Organik Kimya,Yeşim Gürsel,Çarşamba,1230/1529,KMB / D105,52,52,"GID, KIMM, KMM",20665,2023 - 2024 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Yeşim Gürsel,Pazartesi,1330/1529,FEB / LAB-D,39,42,"GID, KMM",20666,2023 - 2024 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Nilgün Kızılcan,Pazartesi,1330/1529,FEB / LAB-G,38,42,"GID, KMM",20667,2023 - 2024 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Hacer Ayşen Önen,Pazartesi,1530/1729,FEB / LAB-D,25,50,"GID, KMM",20668,2023 - 2024 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Okan Sirkecioğlu,Salı,1330/1529,FEB / LAB-D,32,50,"GID, KMM",20669,2023 - 2024 Bahar Dönemi
KIM 111,Genel Kimya I,Zehra Bayır,"Çarşamba
Perşembe","1030/1229
1030/1229","FEB
FEB / D205
D202",32,40,"KIM, KIMM",21139,2023 - 2024 Bahar Dönemi
KIM 111L,Genel Kimya I Lab,Zehra Bayır,Pazartesi,1130/1329,FEB / LAB-F,23,40,KIM,21142,2023 - 2024 Bahar Dönemi
KIM 114,Genel Kimya II,Esin Hamuryudan,"Çarşamba
Perşembe","1030/1229
0830/1029","FEB
FEB / D104
D101",29,40,"KIM, KIMM",21144,2023 - 2024 Bahar Dönemi
KIM 114,Genel Kimya II,İsmail Yılmaz,"Çarşamba
Perşembe","1030/1229
0830/1029","FEB
FEB / D202
D105",40,40,"KIM, KIMM",21147,2023 - 2024 Bahar Dönemi
KIM 114L,Genel Kimya II Lab.,Esin Hamuryudan,Cuma,0930/1229,FEB / LAB-E,25,35,KIM,21149,2023 - 2024 Bahar Dönemi
KIM 114L,Genel Kimya II Lab.,İsmail Yılmaz,Cuma,0930/1229,FEB / LAB-F,35,35,KIM,21150,2023 - 2024 Bahar Dönemi
KIM 202,Fiziksel Kimya,--,Pazartesi,1430/1729,MED / ---,0,0,"BIO, CEV, CHZ, DEN, DUI, EHB, ELE, ELH, ELK, GEM, GID, GMI, INS, JEF, JEO, KIMM, KMM, KMMM, KYD, MAD, MET, PET, TEL",20671,2023 - 2024 Bahar Dönemi
