Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PET 212E,Rock Properties,Hasan Özgür Yıldız,Çarşamba,1230/1529,MDB / B206,67,80,"PET, PETE, PETM",21643,2023 - 2024 Bahar Dönemi
PET 310E,Drilling&Completion Fluids Lab,Yıldıray Palabıyık,Pazartesi,1130/1329,MDB / ---,14,14,"PET, PETE, PETM",21645,2023 - 2024 Bahar Dönemi
PET 310E,Drilling&Completion Fluids Lab,Yıldıray Palabıyık,Salı,1130/1329,MDB / ---,14,14,"PET, PETE, PETM",21646,2023 - 2024 Bahar Dönemi
PET 310E,Drilling&Completion Fluids Lab,Yıldıray Palabıyık,Çarşamba,1130/1329,MDB / A201,13,13,"PET, PETE, PETM",21648,2023 - 2024 Bahar Dönemi
PET 310E,Drilling&Completion Fluids Lab,Yıldıray Palabıyık,Perşembe,1130/1329,MDB / ---,12,13,"PET, PETE, PETM",21649,2023 - 2024 Bahar Dönemi
PET 310E,Drilling&Completion Fluids Lab,Yıldıray Palabıyık,Cuma,0930/1129,MDB / ---,11,13,"PET, PETE, PETM",21651,2023 - 2024 Bahar Dönemi
PET 332E,Prod. Eng.&Surface Facilities,Şenol Yamanlar,Perşembe,0830/1129,MDB / B208,75,80,"PET, PETE, PETM",21654,2023 - 2024 Bahar Dönemi
PET 338E,App.Subs.Geo.for Oil&Gas Res.,Yıldıray Palabıyık,Çarşamba,0830/1129,MDB / B208,45,80,"PET, PETE, PETM",21658,2023 - 2024 Bahar Dönemi
PET 346E,Safety & Envirnmntl Protection,İbrahim Metin Mıhçakan,Perşembe,1330/1629,MDB / B208,59,100,"PET, PETE, PETM",21656,2023 - 2024 Bahar Dönemi
PET 407E,Geothermal Engineering,Emine Didem Korkmaz Başel,Pazartesi,1330/1629,MDB / B208,58,70,"PET, PETE, PETM",21660,2023 - 2024 Bahar Dönemi
PET 417E,Flow Through Porous Media,Hasan Özgür Yıldız,Salı,0830/1129,MDB / A105,72,80,"PET, PETE, PETM",21659,2023 - 2024 Bahar Dönemi
PET 428E,Simulation of Geosystems,İhsan Burak Kulga,Çarşamba,0830/1129,MDB / A302,15,20,"PET, PETE, PETM",21663,2023 - 2024 Bahar Dönemi
PET 431E,Natural Gas Systems Eng.,İbrahim Metin Mıhçakan,Çarşamba,1230/1529,MDB / A101,57,70,"PET, PETE, PETM",21661,2023 - 2024 Bahar Dönemi
PET 433E,Well Control,Gürşat Altun,Pazartesi,0830/1129,MDB / B204,19,20,"PET, PETE, PETM",21662,2023 - 2024 Bahar Dönemi
PET 434E,Project Management in PANGE,Hamit Topuz,Salı,1330/1629,MDB / B204,13,50,"PET, PETE, PETM",21664,2023 - 2024 Bahar Dönemi
PET 440E,Geostatistics,Ömer İnanç Türeyen,Pazartesi,0830/1129,MDB / A105,59,80,"PET, PETE, PETM",21652,2023 - 2024 Bahar Dönemi
PET 457E,Individual Study,Yiğit Altunal,Çarşamba,0830/1129,MDB / A205,19,20,"PET, PETE",24893,2023 - 2024 Bahar Dönemi
PET 468E,Natural Gas Processing Eng.,Gültekin Çınar,Salı,0830/1129,MDB / A102,10,50,"PET, PETE, PETM",24892,2023 - 2024 Bahar Dönemi
PET 4902E,Petr. & Nat.Gas Eng. Design II,Ömer İnanç Türeyen,----,/,MDB / ---,50,50,"PET, PETE, PETM",21666,2023 - 2024 Bahar Dönemi
PET 492E,Graduation Project,Ömer İnanç Türeyen,----,/,MDB / ---,0,50,"PET, PETE, PETM",21665,2023 - 2024 Bahar Dönemi
