Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SES 106,Korrepetisyon II,"Erhan Uslu, Laçin Modiri",----,/,TMB / ---,2,5,"SEMH, SEMS, SES",21461,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Erhan Uslu, Alper Göçeri",----,/,TMB / ---,3,5,"SEMH, SEMS, SES",21465,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Erhan Uslu, Tuğçem Kar",----,/,TMB / ---,2,5,"SEMH, SEMS, SES",21467,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Erhan Uslu, Gülaram Baltayeva",----,/,TMB / ---,2,5,"SEMH, SEMS, SES",21469,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Sinem Özdemir, Laçin Modiri",----,/,TMB / ---,3,5,"SEMH, SEMS, SES",21472,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Sinem Özdemir, Alper Göçeri",----,/,TMB / ---,2,5,"SEMH, SEMS, SES",21474,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Sinem Özdemir, Tuğçem Kar",----,/,TMB / ---,3,5,"SEMH, SEMS, SES",21476,2023 - 2024 Bahar Dönemi
SES 106,Korrepetisyon II,"Sinem Özdemir, Gülaram Baltayeva",----,/,TMB / ---,3,5,"SEMH, SEMS, SES",21478,2023 - 2024 Bahar Dönemi
SES 114,Ses Eğitimi II,Laçin Modiri,----,/,TMB / ---,4,5,"SEMH, SEMS, SES",21479,2023 - 2024 Bahar Dönemi
SES 114,Ses Eğitimi II,Alper Göçeri,----,/,TMB / ---,5,5,"SEMH, SEMS, SES",21480,2023 - 2024 Bahar Dönemi
SES 114,Ses Eğitimi II,Gülaram Baltayeva,----,/,TMB / ---,5,5,"SEMH, SEMS, SES",21481,2023 - 2024 Bahar Dönemi
SES 114,Ses Eğitimi II,Tuğçem Kar,----,/,TMB / ---,5,5,"SEMH, SEMS, SES",21482,2023 - 2024 Bahar Dönemi
SES 132,THM Repertuvarı II,Erhan Uslu,"Pazartesi
Perşembe","1030/1229
1030/1229","TMB
TMB / ---
---",8,10,SES,21629,2023 - 2024 Bahar Dönemi
SES 134,TSM Repertuvarı II,Sinem Özdemir,"Salı
Perşembe","1330/1529
1530/1729","TMB
TMB / ---
---",11,11,SES,21632,2023 - 2024 Bahar Dönemi
