Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ATA 101,Atatürk İlk & İnkılap Trh I,Çağdaş Taylan Salın,Pazartesi,0930/1129,---- / ----,48,65,"SED, SIS",11359,2023 - 2024 Güz Dönemi
ATA 101,Atatürk İlk & İnkılap Trh I,Emin Alp Malkoç,Pazartesi,1130/1329,---- / ----,38,50,"MBI, SIN",11310,2023 - 2024 Güz Dönemi
ATA 101,Atatürk İlk & İnkılap Trh I,Burcu Kurt,Pazartesi,1130/1329,---- / ----,8,50,"EHN, SDU, SEH, SGM, SIS",11320,2023 - 2024 Güz Dönemi
ATA 101,Atatürk İlk & İnkılap Trh I,Pelin Helvacı,Pazartesi,1130/1329,---- / ----,10,45,"SBL, SIS",13335,2023 - 2024 Güz Dönemi
ATA 101,Atatürk İlk & İnkılap Trh I,Yusuf Ziya Altıntaş,Pazartesi,1130/1329,---- / ----,29,40,"SMT, STP",13696,2023 - 2024 Güz Dönemi
ATA 101,Atatürk İlk & İnkılap Trh I,İsmail Kandil,Cuma,0830/1029,---- / ----,9,15,"SDU, SGM",15341,2023 - 2024 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Barış Ertem,Çarşamba,1530/1729,---- / ----,15,35,SIS,13697,2023 - 2024 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Necdet Öz,Perşembe,1130/1329,---- / ----,3,30,"SDU, SGM, SMT, STP",11337,2023 - 2024 Güz Dönemi
ATA 103,Atatürk İlke ve Ink.Tarihi,Burcu Kurt,"Salı
Cuma","1530/1729
1400/1559","ISB
ISB / F236
F236",49,50,"BST, CAB, CEB, KMP, MTR, MUT, MUZ, MUZE, MZT, SES",11326,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Yusuf Ziya Altıntaş,Pazartesi,0830/1029,---- / ----,60,60,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",11366,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,İsmail Kandil,Pazartesi,1030/1229,---- / ----,59,60,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",11342,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Serhat Aslaner,Pazartesi,1030/1229,---- / ----,57,60,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",14752,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Emin Alp Malkoç,Pazartesi,1330/1529,---- / ----,64,70,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",11313,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,Burcu Kurt,Pazartesi,1330/1529,---- / ----,70,70,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",11324,2023 - 2024 Güz Dönemi
ATA 121,Atatürk İlk & İnkılap Trh I,İsmail Kandil,Pazartesi,1330/1529,---- / ----,60,60,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE",11343,2023 - 2024 Güz Dönemi
