Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEF 111,Jeofizik Mühendisliğine Giriş,Mustafa Emin Demirbağ,Çarşamba,1330/1529,MDB / A103,78,80,JEF,12224,2023 - 2024 Güz Dönemi
JEF 205E,Physics of the Earth,--,Pazartesi,0830/1129,MDB / ---,0,0,"JEF, JEFM",12239,2023 - 2024 Güz Dönemi
JEF 207E,Physics of the Earth,Seda Yolsal Çevikbilen,Pazartesi,0830/1029,MDB / A205,50,80,"JEF, JEFM",14827,2023 - 2024 Güz Dönemi
JEF 310E,Geodynamics,--,Çarşamba,1230/1529,MDB / ---,0,0,"JEF, JEFE, JEFM",12256,2023 - 2024 Güz Dönemi
JEF 311E,Seismology,Gonca Örgülü,"Salı
Perşembe","1330/1629
1530/1729","MDB
MDB / A204
A204",64,80,"JEF, JEFE, JEFM",12227,2023 - 2024 Güz Dönemi
JEF 320,Maden Jeofiziği,Ümit Avşar,Salı,0830/1129,MDB / B205,12,15,"JEF, JEFM",12266,2023 - 2024 Güz Dönemi
JEF 321,Elektrik Prospeksiyon,Ümit Avşar,Perşembe,0830/1229,MDB / A101,33,80,"JEF, JEFM",12230,2023 - 2024 Güz Dönemi
JEF 325,Jeofizikte Modelleme,Hüseyin Argun Kocaoğlu,"Pazartesi
Pazartesi","1330/1529
1530/1729","MDB
KMB / A205
BIL.LAB1",59,80,JEF,12253,2023 - 2024 Güz Dönemi
JEF 326,Jeotermal Aramalar,Doğa Doğan,Cuma,0830/1129,MDB / A204,14,15,"JEF, JEFM",12245,2023 - 2024 Güz Dönemi
JEF 425,Mühendislik Jeofiziği,Abdullah Karaman,"Çarşamba
Cuma","1030/1229
1430/1629","MDB
MDB / A203
A203",31,80,JEF,12232,2023 - 2024 Güz Dönemi
JEF 428E,Readings in Geophysics,Yasir Bashir,Çarşamba,1330/1629,MDB / A105,15,80,"JEF, JEFE, JEFM",12235,2023 - 2024 Güz Dönemi
JEF 438,Sismik Yorumlama,Hülya Kurt,Salı,1330/1629,MDB / A302,3,15,"JEF, JEFM",12251,2023 - 2024 Güz Dönemi
JEF 440,Paleomanyetizma,Turgay İşseven,Salı,0830/1129,MDB / A302,7,15,"JEF, JEFM",12262,2023 - 2024 Güz Dönemi
JEF 442,Arkeo-Jeofizik,--,Pazartesi,1430/1729,MDB / ---,0,0,"JEF, JEFM",12260,2023 - 2024 Güz Dönemi
JEF 451,Gravite&Manyetik Prospeksiyon,Turgay İşseven,"Çarşamba
Perşembe","0830/1029
1330/1529","MDB
MDB / A204
A204",38,80,"JEF, JEFM",12247,2023 - 2024 Güz Dönemi
JEF 4901,Jeofizik Müh.Tasarım Projesi I,Abdullah Karaman,----,/,MDB / ---,25,500,JEF,12275,2023 - 2024 Güz Dönemi
JEF 4902,Jeofizik Müh.Tasarım Proje. II,Abdullah Karaman,----,/,MDB / ---,8,500,JEF,12279,2023 - 2024 Güz Dönemi
JEF 492,Bitirme Çalışması,Abdullah Karaman,----,/,MDB / ---,2,500,JEF,12271,2023 - 2024 Güz Dönemi
JEF 492E,Graduation Project,Abdullah Karaman,----,/,MDB / ---,0,500,"JEF, JEFE",12273,2023 - 2024 Güz Dönemi
