Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
NAE 101,Int.to Nav.Arch.&Mar.Eng.&Eth.,Cihad Delen,Salı,1030/1229,GDB / R409,61,65,NAE,15064,2023 - 2024 Güz Dönemi
NAE 201,Practical Training-I,Murat Durmaz,----,/,GDB / ---,21,50,"GEMK, NAE",15035,2023 - 2024 Güz Dönemi
NAE 211,Ship Geometry,Murat Durmaz,Çarşamba,1230/1529,GDB / R402,9,40,"GEMK, MEN, NAE, NAEM",15162,2023 - 2024 Güz Dönemi
NAE 301,Practical Training-II,Murat Durmaz,----,/,GDB / ---,23,50,"GEMK, NAE",15036,2023 - 2024 Güz Dönemi
NAE 311,Ship Theory,Metin Taylan,"Salı
Cuma","1130/1329
1030/1229","GDB
GDB / D311
R409",28,50,"GEMK, NAE, NAEM",15037,2023 - 2024 Güz Dönemi
NAE 312,Ship Design,Cihad Delen,Salı,1330/1629,GDB / R402,5,40,"GEMK, NAE, NAEM",15042,2023 - 2024 Güz Dönemi
NAE 321,Ship Hydrodynamics,Emin Korkut,"Salı
Çarşamba","0830/1129
0830/1029","GDB
GDB / 410
D303",29,50,"GEMK, NAE, NAEM",15038,2023 - 2024 Güz Dönemi
NAE 341,Structural Design of Ships,İbrahim Tuğrul Ardıç,Perşembe,0930/1229,GDB / D303,9,50,"GEMK, NAE",15041,2023 - 2024 Güz Dönemi
NAE 401,Practical Training-III,Murat Durmaz,----,/,GDB / ---,15,50,"GEMK, NAE",15063,2023 - 2024 Güz Dönemi
NAE 402,Graduation Design Project,Murat Durmaz,----,/,GDB / ---,12,50,"GEMK, NAE",15062,2023 - 2024 Güz Dönemi
NAE 411,Ship Design Project I,Murat Durmaz,Çarşamba,1030/1229,GDB / R409,7,40,"GEMK, NAE",15054,2023 - 2024 Güz Dönemi
NAE 421,Ship Motions and Maneuvering,Erdem Üçer,Perşembe,1030/1429,GDB / D407,19,50,"GEMK, NAE, NAEM",15059,2023 - 2024 Güz Dönemi
NAE 431,Sailing Vessel Design,Şakir Bal,Cuma,0830/1029,GDB / D308,10,50,"GEMK, MEN, NAE",15060,2023 - 2024 Güz Dönemi
NAE 461,Mechanics of Marine Structures,Serdar Turgut İnce,Çarşamba,1430/1629,GDB / D407,5,50,"GEMK, MEN, NAE",15061,2023 - 2024 Güz Dönemi
