Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TES 111E,Project I,--,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / ---
---",5,650,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13535,2023 - 2024 Güz Dönemi
TES 111E,Project I,Belkıs Uluoğlu,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 3
CATI 3",25,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13536,2023 - 2024 Güz Dönemi
TES 111E,Project I,Mine Özkar Kabakçıoğlu,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 203
203",26,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13537,2023 - 2024 Güz Dönemi
TES 111E,Project I,Yüksel Demir,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",24,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13538,2023 - 2024 Güz Dönemi
TES 111E,Project I,Derya Güleç Özer,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",29,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13539,2023 - 2024 Güz Dönemi
TES 111E,Project I,Sema Alaçam,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 2
CATI 2",25,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13540,2023 - 2024 Güz Dönemi
TES 111E,Project I,Sevil Yazıcı,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 212
212",30,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13541,2023 - 2024 Güz Dönemi
TES 111E,Project I,İmdat As,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",23,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13542,2023 - 2024 Güz Dönemi
TES 111E,Project I,Ayşe Meltem Baslo,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 1
CATI 1",26,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13543,2023 - 2024 Güz Dönemi
TES 111E,Project I,Hakan Tong,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 2
CATI 2",26,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13544,2023 - 2024 Güz Dönemi
TES 111E,Project I,Aliye Ahu Gülümser,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",23,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13545,2023 - 2024 Güz Dönemi
TES 111E,Project I,Zeynep Günay,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",29,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13546,2023 - 2024 Güz Dönemi
TES 111E,Project I,Hasan Serdar Kaya,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 5
CATI 5",26,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13547,2023 - 2024 Güz Dönemi
TES 111E,Project I,Başak Demireş Özkul,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / CATI 1
CATI 1",26,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13548,2023 - 2024 Güz Dönemi
TES 111E,Project I,İmge Akçakaya Waite,"Pazartesi
Perşembe","0830/1229
0830/1229","MMB
MMB / 3400
3400",29,0,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",13549,2023 - 2024 Güz Dönemi
