Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAT 202,Sayısal Yöntemler,Birgül Benli,"Perşembe
Perşembe","0830/1229
1330/1629","MDB
MDB / ---
---",68,70,"CEV, CHZ, DEN, EHB, ELE, ELH, ELK, GEM, GEO, GID, IML, INS, ISL, JEF, JEO, KOM, KON, MAD, MAK, MET, MTO, PET, TEK, TEL",30179,2023 - 2024 Yaz Dönemi
MAT 210,Mühendislik Matematiği,Bayram Barış Kızılsaç,"Pazartesi
Pazartesi
Salı","0900/1229
1330/1729
0930/1129","DZB
DZB
DZB / ---
---
---",23,20,"DUI, GMI",30254,2023 - 2024 Yaz Dönemi
MAT 210E,Engineering Mathematics,--,"Pazartesi
Pazartesi
Çarşamba","0900/1229
1330/1729
1430/1629","DZB
DZB
DZB / ---
---
---",0,3,MTM,30396,2023 - 2024 Yaz Dönemi
MAT 271E,Probability and Statistics,Halil Bayraktar,"Salı
Çarşamba","0830/1229
1330/1629","FEB
FEB / D101
D101",31,34,"AIN, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",30198,2023 - 2024 Yaz Dönemi
MAT 271E,Probability and Statistics,Mustafa Sait Yazgan,"Salı
Çarşamba","0900/1159
1300/1659","INB
INB / A105
A105",45,40,"AIN, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",30287,2023 - 2024 Yaz Dönemi
MAT 271E,Probability and Statistics,Mustafa Sait Yazgan,"Salı
Perşembe","1300/1659
0900/1159","INB
INB / A105
A105",56,40,"AIN, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",30288,2023 - 2024 Yaz Dönemi
MAT 271E,Probability and Statistics,Halil Bayraktar,"Salı
Çarşamba","1330/1629
0830/1229","FEB
FEB / D101
D101",28,30,"AIN, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",30199,2023 - 2024 Yaz Dönemi
MAT 271E,Probability and Statistics,Mustafa Sait Yazgan,"Çarşamba
Perşembe","0900/1159
1300/1659","INB
INB / A105
A105",45,40,"AIN, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",30289,2023 - 2024 Yaz Dönemi
MAT 287,Matematik III,Kamil Oruçoğlu,"Pazartesi
Salı
Çarşamba","0830/1229
0830/1229
0830/1229","FEB
FEB
FEB / D206
D206
D206",62,80,"MAT, MATM",30123,2023 - 2024 Yaz Dönemi
MAT 345E,Complex Analysis,Kamil Oruçoğlu,"Pazartesi
Salı","1330/1659
1330/1659","FEB
FEB / D206
D206",75,90,"MAT, MATM",30134,2023 - 2024 Yaz Dönemi
