Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GMI 115,Bilgisayar Dest. Teknik Resim,Emre Kahramanoğlu,Wednesday,08:30/11:29,DZB / --,16,35,GMI_LS,24390,2024 - 2025 Bahar Dönemi
GMI 115,Bilgisayar Dest. Teknik Resim,Emre Kahramanoğlu,Wednesday,12:30/15:29,DZB / --,18,25,GMI_LS,24405,2024 - 2025 Bahar Dönemi
GMI 115,Bilgisayar Dest. Teknik Resim,Emre Kahramanoğlu,Thursday,08:30/11:29,DZB / --,30,35,GMI_LS,24413,2024 - 2025 Bahar Dönemi
GMI 118E,Introduction to Marine Engineering and Ethics,Burak Zincir,Monday,10:30/13:29,DZB / --,12,20,MEN_LS,25135,2024 - 2025 Bahar Dönemi
GMI 132E,Numerical Analy. of Eng.Syst.,Ata Bilgili,Monday,15:30/17:29,DZB / --,60,80,GMI_LS,24366,2024 - 2025 Bahar Dönemi
GMI 132E,Numerical Analy. of Eng.Syst.,Ata Bilgili,Wednesday,17:30/19:29,DZB / --,31,60,"MEN_LS, NAE_LS",24623,2024 - 2025 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Tuesday,10:30/12:29,DZB / --,16,30,GMI_LS,24374,2024 - 2025 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Tuesday,13:30/15:29,DZB / --,30,40,GMI_LS,24378,2024 - 2025 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Wednesday,10:30/12:29,DZB / --,9,30,GMI_LS,24397,2024 - 2025 Bahar Dönemi
GMI 171E,Maritime English I,"Veysi Başhan , / Murat Akpınar",Tuesday,15:30/17:29,DZB / --,46,60,MEN_LS,24625,2024 - 2025 Bahar Dönemi
GMI 209,Bilg. Destekli Katı Modelleme,Emre Kahramanoğlu,Thursday,15:30/17:29,DZB / --,14,20,GMI_LS,24419,2024 - 2025 Bahar Dönemi
GMI 210,Titreşimin Temelleri,İsmail Çiçek,Thursday,15:30/17:29,DZB / --,20,35,GMI_LS,24386,2024 - 2025 Bahar Dönemi
GMI 213,Termodinamik,Veysi Başhan,Tuesday,10:30/13:29,DZB / --,20,40,GMI_LS,24377,2024 - 2025 Bahar Dönemi
GMI 213,Termodinamik,Yalçın Durmuşoğlu,Thursday,12:30/15:29,DZB / --,43,45,GMI_LS,24418,2024 - 2025 Bahar Dönemi
GMI 213E,Thermodynamics,Veysi Başhan,Monday,13:30/16:29,DZB / --,16,60,MEN_LS,24641,2024 - 2025 Bahar Dönemi
GMI 214,Hidrolik ve Pnömatik,Ömer Berkehan İnal,Monday,14:30/17:29,DZB / --,47,50,GMI_LS,24362,2024 - 2025 Bahar Dönemi
GMI 214,Hidrolik ve Pnömatik,Ömer Berkehan İnal,Wednesday,12:30/15:29,DZB / --,18,50,GMI_LS,24406,2024 - 2025 Bahar Dönemi
GMI 214E,Hydraulic and Pneumatic,Kemal Demirel,Tuesday,13:30/16:29,DZB / --,37,60,MEN_LS,24642,2024 - 2025 Bahar Dönemi
GMI 223,Makine Elemanları,Çağlar Karatuğ,Tuesday,15:30/17:29,DZB / --,44,45,GMI_LS,24388,2024 - 2025 Bahar Dönemi
GMI 223E,Machine Elements,Ömer Berkehan İnal,Friday,10:30/12:29,DZB / --,14,60,MEN_LS,24649,2024 - 2025 Bahar Dönemi
GMI 225,Gemi Dizel Makineleri I,Burak Zincir,Monday,14:30/17:29,DZB / --,21,40,GMI_LS,24363,2024 - 2025 Bahar Dönemi
GMI 225,Gemi Dizel Makineleri I,Cengiz Deniz,Wednesday,12:30/15:29,DZB / --,48,47,GMI_LS,24402,2024 - 2025 Bahar Dönemi
GMI 225E,Marine Diesel Engines I,Cumali Seçkin Mengeçin,Monday,09:30/12:29,DZB / --,33,60,MEN_LS,24643,2024 - 2025 Bahar Dönemi
GMI 228,Temel Elektronik,Tayfun Uyanık,Monday,08:30/10:29,DZB / --,75,80,GMI_LS,24289,2024 - 2025 Bahar Dönemi
