Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEO 121,Yer Bilimlerinde Tas. Geometri,"Şenel Özdamar , / Gökhan Şans",Friday,08:30/11:29,MDB / A301,44,60,JEF_LS,21560,2024 - 2025 Bahar Dönemi
JEO 204E,Petrog. of Magmatic Rocks,Mehmet Keskin,Tuesday,08:30/11:29,MDB / A105,26,40,"JEO_LS, JEO_YD, JEOE_LS",21678,2024 - 2025 Bahar Dönemi
JEO 204E,Petrog. of Magmatic Rocks,"Şafak Altunkaynak , / Alp Ünal",Tuesday,13:30/16:29,MDB / A102,40,40,"JEO_LS, JEO_YD, JEOE_LS",21680,2024 - 2025 Bahar Dönemi
JEO 211,Mineraloji,"Şenel Özdamar , / Bala Ekinci Şans",Monday,08:30/11:29,MDB / A302,33,30,"JEO_LS, JEO_YD",21683,2024 - 2025 Bahar Dönemi
JEO 211,Mineraloji,"Zekiye Karacık , / Fatma Gülmez Yıldırım",Thursday,14:30/17:29,MDB / A202,18,30,JEO_LS,21684,2024 - 2025 Bahar Dönemi
JEO 222,Jeomekanik,Yılmaz Mahmutoğlu,-,-/-,- / -,1,0,-,25340,2024 - 2025 Bahar Dönemi
JEO 254,Yapısal Jeolojiye Giriş,İrem Elitez,Thursday,13:30/15:29,MDB / A302,14,60,JEF_LS,21583,2024 - 2025 Bahar Dönemi
JEO 256E,Structural Geology,Borıs Natalın,Wednesday,12:30/15:29,MDB / B205,89,90,"JEO_LS, JEO_YD, JEOE_LS",21687,2024 - 2025 Bahar Dönemi
JEO 262E,Stratigraphy,Borıs Natalın,Thursday,08:30/10:29,MDB / A201,54,73,"JEO_LS, JEO_YD, JEOE_LS",21690,2024 - 2025 Bahar Dönemi
JEO 262E,Stratigraphy,"Cengiz Zabcı , / Gülsen Uçarkuş",Thursday,08:30/10:29,MDB / A202,35,35,"JEO_LS, JEO_YD, JEOE_LS",25296,2024 - 2025 Bahar Dönemi
JEO 263,Ölçme Bilgisi,Adil Enis Arslan,Monday,13:30/16:29,INB / A204,79,80,JEO_LS,21391,2024 - 2025 Bahar Dönemi
JEO 311,Şev Stabilitesi Analizleri,Erkan Bozkurtoğlu,Thursday,13:30/16:29,MDB / B206,8,20,JEO_LS,21691,2024 - 2025 Bahar Dönemi
JEO 312,Saha Jeoloji,Cengiz Zabcı,Monday,13:30/17:29,MDB / A204,7,60,"JEO_LS, JEO_YD",21692,2024 - 2025 Bahar Dönemi
JEO 315,Jeolojide Arz. ve Hrta Tekn.,"Hüsnü Serdar Akyüz , / Ufuk Tarı",Wednesday,12:30/15:29,MDB / A301,46,50,JEF_LS,21563,2024 - 2025 Bahar Dönemi
JEO 322,Hidrojeoloji,Erkan Bozkurtoğlu,Tuesday,08:30/12:29,MDB / A203,21,60,"JEO_LS, JEO_YD",21694,2024 - 2025 Bahar Dönemi
JEO 330,Maden Yatakları,"Emin Çiftçi , / Mustafa Kaya",Monday,08:30/12:29,MDB / B208,50,60,JEO_LS,21696,2024 - 2025 Bahar Dönemi
JEO 331,Petrografi,Mehmet Keskin,Thursday,13:30/16:29,MDB / --,1,5,"MAD_LS, MADE_LS",25185,2024 - 2025 Bahar Dönemi
JEO 335,Uygulamalı Zemin Mekaniği,Erkan Bozkurtoğlu,Thursday,08:30/11:29,MDB / A301,21,25,JEO_LS,21697,2024 - 2025 Bahar Dönemi
JEO 348,Sedimenter Kayaç Petrografisi,"Hüsnü Serdar Akyüz , / Ümmühan Sadet Sancar",Friday,08:30/11:29,MDB / B206,14,30,"JEO_LS, JEO_YD",21698,2024 - 2025 Bahar Dönemi
JEO 348,Sedimenter Kayaç Petrografisi,"Kürşad Kadir Eriş , / Nurettin Yakupoğlu",Wednesday,08:30/11:29,MDB / A302,35,35,"JEO_LS, JEO_YD",21699,2024 - 2025 Bahar Dönemi
JEO 355E,Sedimentology,Gülsen Uçarkuş,Wednesday,09:30/11:29,MDB / B204,66,70,"JEO_LS, JEO_YD, JEOE_LS",21700,2024 - 2025 Bahar Dönemi
JEO 357E,Experimental Rock Mechanics,-,Friday,14:30/17:29,MDB / --,0,0,"JEO_LS, JEOE_LS",21701,2024 - 2025 Bahar Dönemi
JEO 359,Saha Jeolojisi,Gürsel Sunal,Monday,13:30/16:29,MDB / A205,33,60,"JEO_LS, JEO_YD",21693,2024 - 2025 Bahar Dönemi
JEO 362,Hidrojeoloji,İrfan Yolcubal,Tuesday,08:30/12:29,MDB / A204,45,60,"JEO_LS, JEO_YD",21695,2024 - 2025 Bahar Dönemi
JEO 386E,Applied Geophysics,Ahmet Murat Akoğlu,Tuesday,14:30/17:29,MDB / B207,10,20,"JEO_LS, JEOE_LS",21702,2024 - 2025 Bahar Dönemi
JEO 391,Zemin Mekaniğine Giriş,Erkan Bozkurtoğlu,Tuesday,14:30/17:29,MDB / A202,18,25,JEO_LS,21703,2024 - 2025 Bahar Dönemi
JEO 398E,Well Logging,Sedat İnan,Friday,14:30/17:29,MDB / A301,38,40,"JEO_LS, JEOE_LS",21770,2024 - 2025 Bahar Dönemi
JEO 406E,Fossil Fuels Geology,"Sedat İnan , / Zeynep Döner",Thursday,11:30/14:29,MDB / A202,15,60,"JEO_LS, JEOE_LS",21654,2024 - 2025 Bahar Dönemi
JEO 408,Jeoloji Mühendisliğinde Seçmeli Konular,Şenel Özdamar,Monday,11:30/17:29,MDB / A103,8,100,JEO_LS,21657,2024 - 2025 Bahar Dönemi
