Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMP 102,Kompozisyon II,Eray Altınbüken,Monday,10:30/12:29,TMB / --,4,10,"BST_LS, KMP_LS",21225,2024 - 2025 Bahar Dönemi
KMP 114,Klasik Armoni II,Mehmet Özkan,Tuesday,10:30/12:29,TMB / --,6,10,"BST_LS, KMP_LS",21243,2024 - 2025 Bahar Dönemi
KMP 116,Müzik Formları II,Şirin Karadeniz,Thursday,10:30/12:29,TMB / --,4,10,"BST_LS, KMP_LS",21245,2024 - 2025 Bahar Dönemi
KMP 196,Form Bilgisi II,Şirin Karadeniz,Wednesday,13:30/15:29,TMB / --,16,30,"CAB_LS, CEB_LS, MTR_LS, SES_LS",21223,2024 - 2025 Bahar Dönemi
KMP 198,Konturpuan-Füg II,Ayhan Gunca,Monday,13:30/15:29,TMB / --,17,30,"CAB_LS, CEB_LS, MTR_LS",21221,2024 - 2025 Bahar Dönemi
KMP 202,Kompozisyon IV,Eray Altınbüken,Monday / Friday,13:30/15:29 / 10:30/12:29,TMB / TMB / -- / --,3,10,"BST_LS, KMP_LS",21227,2024 - 2025 Bahar Dönemi
KMP 204,Türk Müziği Literatürü II,Neşe Yeşim Altınel Çoban,Monday,10:30/12:29,TMB / --,4,10,"BST_LS, KMP_LS",21246,2024 - 2025 Bahar Dönemi
KMP 206,Kontrpuan-Füg II,Eray Altınbüken,Monday,15:30/17:29,TMB / --,4,10,"BST_LS, KMP_LS",21248,2024 - 2025 Bahar Dönemi
KMP 294,Armoni II,Recep Gül,Monday,15:30/17:29,TMB / --,25,30,"CAB_LS, CEB_LS, MTR_LS",21219,2024 - 2025 Bahar Dönemi
KMP 302,Kompozisyon VI,Oğuzhan Balcı,Tuesday / Friday,08:30/10:29 / 14:00/15:59,TMB / TMB / -- / --,1,10,"BST_LS, KMP_LS",21230,2024 - 2025 Bahar Dönemi
KMP 304,Kompozisyon Çözümleme II,Ayhan Gunca,Wednesday,10:30/12:29,TMB / --,3,10,"BST_LS, KMP_LS",21250,2024 - 2025 Bahar Dönemi
KMP 306,Koro Şefliği II,Ayhan Gunca,Monday,10:30/12:29,TMB / --,3,10,"BST_LS, KMP_LS",21254,2024 - 2025 Bahar Dönemi
KMP 310,Orkestrasyon I,Ayhan Gunca,Wednesday,13:30/15:29,TMB / --,3,10,"BST_LS, KMP_LS",21252,2024 - 2025 Bahar Dönemi
KMP 312,Türk Makam Müzğnde Kompzsyn,Neşe Yeşim Altınel Çoban,Thursday,13:30/15:29,TMB / --,2,10,"BST_LS, KMP_LS",21253,2024 - 2025 Bahar Dönemi
KMP 322,Batı Müziği Literatürü II,Mehmet Özkan,Monday,13:30/15:29,TMB / --,2,10,"BST_LS, KMP_LS",21255,2024 - 2025 Bahar Dönemi
KMP 332,Ölçü ve Vuruş Tekniği II,Ayhan Gunca,Thursday,10:30/12:29,TMB / --,2,10,"BST_LS, KMP_LS",21270,2024 - 2025 Bahar Dönemi
KMP 361,Türk MzğndeFrmBilg.ve Çzmlme I,"Gözde Çolakoğlu Sarı , / Orkun Zafer Özgelen",Thursday / Friday,15:30/17:29 / 17:00/17:59,TMB / TMB / -- / --,3,10,MUZ_LS,25157,2024 - 2025 Bahar Dönemi
KMP 362,Türk MzğndeFrmBlg.ve Çzmlme II,Eray Cömert,Wednesday / Wednesday,10:30/12:29 / 13:30/14:29,TMB / TMB / -- / --,8,20,MUZ_LS,21215,2024 - 2025 Bahar Dönemi
KMP 364,Batı Mzğnde Frm Bilg.ve Çzmlme,Ozan Baysal,Friday,09:30/12:29,TMB / --,8,20,MUZ_LS,21217,2024 - 2025 Bahar Dönemi
KMP 402,Kompozisyon VIII,Oğuzhan Balcı,Monday / Wednesday,15:30/17:29 / 10:30/12:29,TMB / TMB / -- / --,3,10,"BST_LS, KMP_LS",21240,2024 - 2025 Bahar Dönemi
KMP 404,Kompozisyon Çözümleme IV,"Oğuzhan Balcı , / Tayfun Demirbaş",Tuesday,13:30/15:29,TMB / --,4,10,"BST_LS, KMP_LS",21271,2024 - 2025 Bahar Dönemi
KMP 422,Batı Müziği Literatürü IV,Mehmet Özkan,Friday,14:00/15:59,TMB / --,2,10,"BST_LS, KMP_LS",21277,2024 - 2025 Bahar Dönemi
KMP 424,Türk Müziğinde Polifoni IV,Oğuzhan Balcı,Tuesday,15:30/17:29,TMB / --,2,10,"BST_LS, KMP_LS",21273,2024 - 2025 Bahar Dönemi
KMP 434,Partisyon Okuma II,Recep Gül,Monday,10:30/12:29,TMB / --,1,20,"BST_LS, KMP_LS",21279,2024 - 2025 Bahar Dönemi
KMP 492,Bitirme Çalışması,Oğuzhan Balcı,-,-/-,- / -,5,100,"BST_LS, KMP_LS",21214,2024 - 2025 Bahar Dönemi
