Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MTO 102,Bilgisayarlı Teknik Resim,Hüsnü Barbaros Soyer,Thursday,13:30/16:29,INB / D104,50,80,"IBM_LS, MTO_LS",21441,2024 - 2025 Bahar Dönemi
MTO 112,Meteoroloji Alet & Gözlem Usul,"Levent Şaylan , / Barış Çaldağ",Tuesday / Thursday,09:30/11:29 / 09:30/11:29,MEDC / MEDC / ZA4 / ZA2,73,90,"IBM_LS, MTO_LS",21557,2024 - 2025 Bahar Dönemi
MTO 214,Atmosfer Termodinamiği,Kasım Koçak,Monday / Tuesday,11:30/13:29 / 12:30/14:29,MEDC / MEDC / ZD2 / 2D11,60,60,"IBM_LS, MTO_LS",21444,2024 - 2025 Bahar Dönemi
MTO 214E,Atmospheric Thermodynamics,Ahmet Duran Şahin,Monday / Tuesday,11:30/13:29 / 12:30/14:29,MEDC / MEDC / 1D10 / 2D12,26,50,"IBM_LS, MTO_LS, MTOE_LS",21447,2024 - 2025 Bahar Dönemi
MTO 222,Hidroloji,Barış Çaldağ,Thursday / Friday,14:30/16:29 / 08:30/10:29,MEDC / MEDC / ZD1 / ZD1,95,100,"IBM_LS, MTO_LS",21443,2024 - 2025 Bahar Dönemi
MTO 223,Bilgisayar Grafiğine Giriş,Barış Önol,Friday,14:30/17:29,MEDC / 3D20,42,70,"IBM_LS, MTO_LS",21467,2024 - 2025 Bahar Dönemi
MTO 229E,Physics ofClouds&Precipitation,Sevinç Asilhan,Thursday,11:30/14:29,MEDC / ZA1,14,15,"IBM_LS, MTO_LS, MTOE_LS",21461,2024 - 2025 Bahar Dönemi
MTO 254,İklim Bilimi,Yurdanur Ünal,Tuesday,14:30/17:29,MEDC / 1D3,48,45,"IBM_LS, MTO_LS, MTO_YD",21457,2024 - 2025 Bahar Dönemi
MTO 254E,Climatology,Barış Önol,Tuesday,14:30/17:29,MEDC / 1D4,46,45,"IBM_LS, MTO_LS, MTO_YD, MTOE_LS",21458,2024 - 2025 Bahar Dönemi
MTO 302,Hava Analizi ve Öngörü I,Şükran Sibel Menteş,Tuesday / Thursday,09:30/11:29 / 08:30/10:29,MEDC / MEDC / ZD1 / ZD1,43,60,"IBM_LS, MTO_LS",21462,2024 - 2025 Bahar Dönemi
MTO 304,Havacılık Meteorolojisi,Emrah Tuncay Özdemir,Monday,11:30/13:29,MEDC / ZA1,30,75,"IBM_LS, MTO_LS",21460,2024 - 2025 Bahar Dönemi
MTO 317E,Comput.Fluid Dyn.in Meteo.Eng.,Elçin Tan,-,-/-,- / -,0,0,-,25510,2024 - 2025 Bahar Dönemi
MTO 337E,Atmospheric Dynamics I,Elçin Tan,Monday / Wednesday,15:30/17:29 / 11:30/13:29,MEDC / MEDC / ZD2 / 2D11,29,40,"IBM_LS, MTO_LS, MTOE_LS",21463,2024 - 2025 Bahar Dönemi
MTO 340,Atmosfer Dinamiği II,"Ali Deniz , / Bahtiyar Efe",Monday / Wednesday,15:30/17:29 / 11:30/13:29,MEDC / MEDC / 1D3 / 2D12,43,50,"IBM_LS, MTO_LS",21464,2024 - 2025 Bahar Dönemi
MTO 340E,Atmospheric Dynamics II,-,Monday / Wednesday,15:30/17:29 / 11:30/13:29,MEDC / MEDC / -- / --,0,0,"IBM_LS, MTO_LS, MTOE_LS",21465,2024 - 2025 Bahar Dönemi
MTO 351E,Hydrometeorology,"Sevinç Asilhan , / Elçin Tan",Thursday,14:30/17:29,MEDC / 2D16,1,10,"IBM_LS, MTO_LS, MTOE_LS",25009,2024 - 2025 Bahar Dönemi
MTO 354,Tarım & Orman Meteorolojisi II,Levent Şaylan,Monday,08:30/11:29,MEDC / 2D15,10,15,"IBM_LS, MTO_LS",21520,2024 - 2025 Bahar Dönemi
MTO 361,Hava Kirliliği Modellemesi,Hüseyin Toros,Thursday,08:30/11:29,MEDC / 1D6,25,25,"IBM_LS, MTO_LS",21521,2024 - 2025 Bahar Dönemi
MTO 362,İnsans.Hava Sis.ile Meteo.Uyg.,"Emrah Tuncay Özdemir , / Orkan Özcan",Tuesday,11:30/14:29,MEDC / 1D5,16,15,"IBM_LS, MTO_LS",21517,2024 - 2025 Bahar Dönemi
MTO 388,Coğrafi Bilgi Bilimi,Filiz Türk Katırcıoğlu,Friday,09:30/12:29,INB / D101,38,35,"IBM_LS, MTO_LS",21508,2024 - 2025 Bahar Dönemi
MTO 406E,Wheather Analysis and Prediction II,Emrah Tuncay Özdemir,Tuesday / Wednesday,09:30/11:29 / 09:30/11:29,MEDC / MEDC / 1D4 / 1D3,42,45,"IBM_LS, MTO_LS, MTOE_LS",21512,2024 - 2025 Bahar Dönemi
MTO 426E,Micrometeorology,Ceyhan Kahya,Thursday,11:30/14:29,MEDC / ZA4,80,105,"IBM_LS, MTO_LS, MTOE_LS",21519,2024 - 2025 Bahar Dönemi
MTO 445,Hava Analizi ve Öngörü II,Şükran Sibel Menteş,-,-/-,- / -,0,0,-,25511,2024 - 2025 Bahar Dönemi
MTO 451E,Oceanography,Elçin Tan,-,-/-,- / -,0,0,-,25513,2024 - 2025 Bahar Dönemi
MTO 456,Hava Kirliliği Kontrolü,Ceyhan Kahya,Monday,11:30/14:29,MEDC / 2D11,9,15,"IBM_LS, MTO_LS",21466,2024 - 2025 Bahar Dönemi
MTO 459E,Intro.Gen.Circ.Earth's.Atm.,Deniz Demirhan,Tuesday,11:30/14:29,MEDC / 1D3,18,22,"IBM_LS, MTO_LS, MTOE_LS",21469,2024 - 2025 Bahar Dönemi
MTO 460,Enerji Meteorolojisine Giriş,"Şükran Sibel Menteş , / Bahtiyar Efe",Wednesday,08:30/11:29,MEDC / ZD2,15,15,"IBM_LS, MTO_LS",21474,2024 - 2025 Bahar Dönemi
MTO 460E,Intr. to Energy Meteorology,Ahmet Duran Şahin,Thursday,14:30/17:29,MEDC / 1D6,22,15,"IBM_LS, MTO_LS, MTOE_LS",21477,2024 - 2025 Bahar Dönemi
MTO 461E,Intr. to Planetary Atmospheres,Zerefşan Kaymaz,Thursday,14:30/17:29,MEDC / 1D5,20,20,"FIZ_LS, FIZE_LS, IBM_LS, MTO_LS, MTOE_LS, UZBE_LS",21470,2024 - 2025 Bahar Dönemi
MTO 462E,Severe and Hazardous Weather,Filiz Türk Katırcıoğlu,Tuesday,14:30/17:29,MEDC / 1D5,30,30,"IBM_LS, MTO_LS, MTOE_LS",21472,2024 - 2025 Bahar Dönemi
MTO 463E,Numerical Weather Prediction,Sevinç Asilhan,Tuesday,14:30/17:29,MEDC / 2D13,14,14,"IBM_LS, MTO_LS, MTOE_LS",21468,2024 - 2025 Bahar Dönemi
MTO 4901,Meteoroloji Müh. Tasarımı I,Mikdat Kadıoğlu,-,-/-,- / -,0,0,-,25512,2024 - 2025 Bahar Dönemi
MTO 4902,Meteoroloji Müh. Tasarımı II,Mikdat Kadıoğlu,-,-/-,- / -,68,500,"IBM_LS, MTO_LS",21524,2024 - 2025 Bahar Dönemi
MTO 492,Bitirme Çalışması,Mikdat Kadıoğlu,-,-/-,- / -,1,500,MTO_LS,21522,2024 - 2025 Bahar Dönemi
MTO 492E,Graduation Project,-,-,-/-,- / -,0,0,"MTO_LS, MTOE_LS",21523,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Mikdat Kadıoğlu,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21525,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Levent Şaylan,-,-/-,- / -,1,3,"IBM_LS, MTO_LS",21526,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Kasım Koçak,-,-/-,- / -,2,3,"IBM_LS, MTO_LS",21527,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Zerefşan Kaymaz,-,-/-,- / -,2,3,"IBM_LS, MTO_LS",21528,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Ahmet Duran Şahin,-,-/-,- / -,4,4,"IBM_LS, MTO_LS",21529,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Yurdanur Ünal,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21530,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Şükran Sibel Menteş,-,-/-,- / -,2,3,"IBM_LS, MTO_LS",21531,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Sevinç Asilhan,-,-/-,- / -,4,3,"IBM_LS, MTO_LS",21532,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,-,-,-/-,- / -,0,0,"IBM_LS, MTO_LS",21533,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Hüseyin Toros,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21534,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Barış Önol,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21535,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Elçin Tan,-,-/-,- / -,4,4,"IBM_LS, MTO_LS",21536,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Ahmet Öztopal,-,-/-,- / -,1,3,"IBM_LS, MTO_LS",21537,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,-,-,-/-,- / -,0,0,"IBM_LS, MTO_LS",21538,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Emrah Tuncay Özdemir,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21539,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Bahtiyar Efe,-,-/-,- / -,4,4,"IBM_LS, MTO_LS",21540,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Ceyhan Kahya,-,-/-,- / -,4,4,"IBM_LS, MTO_LS",21541,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Deniz Demirhan,-,-/-,- / -,1,3,"IBM_LS, MTO_LS",21542,2024 - 2025 Bahar Dönemi
MTO 494,Araştırma Projesi,Filiz Türk Katırcıoğlu,-,-/-,- / -,3,3,"IBM_LS, MTO_LS",21543,2024 - 2025 Bahar Dönemi
