Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MUZ 102,Müzik Tarihi II,Ozan Baysal,Monday,13:30/15:29,TMB / --,8,20,MUZ_LS,21313,2024 - 2025 Bahar Dönemi
MUZ 112,Müzikolojiye Giriş,Serkan Şener,Monday,09:30/12:29,TMB / --,10,20,MUZ_LS,21304,2024 - 2025 Bahar Dönemi
MUZ 122,Müzik Tarihi II,Şeyma Ersoy Çak,Friday,16:00/17:59,TMB / --,21,30,"CAB_LS, CEB_LS, MTR_LS, SES_LS",21330,2024 - 2025 Bahar Dönemi
MUZ 122,Müzik Tarihi II,Yalçın Çetinkaya,Monday,15:30/17:29,TMB / --,30,30,"CAB_LS, CEB_LS, MTR_LS, SES_LS",21332,2024 - 2025 Bahar Dönemi
MUZ 201,Müzik Tarihi III,Şeyma Ersoy Çak,Friday / Friday,08:30/10:29 / 14:00/14:59,TMB / TMB / -- / --,1,10,MUZ_LS,25159,2024 - 2025 Bahar Dönemi
MUZ 202,Müzik Tarihi IV,Günay Koçhan,Friday,14:00/16:59,TMB / --,13,20,MUZ_LS,21306,2024 - 2025 Bahar Dönemi
MUZ 212,Osmanlıca II,Serhan Dilhan Konan,Tuesday / Wednesday,08:30/09:29 / 10:30/12:29,TMB / TMB / -- / --,13,25,MUZ_LS,21321,2024 - 2025 Bahar Dönemi
MUZ 222,Müzik Paleografyası,Serhan Dilhan Konan,Tuesday,09:30/12:29,TMB / --,12,25,MUZ_LS,21302,2024 - 2025 Bahar Dönemi
MUZ 302,Müzik Tarihi VI,Serhan Dilhan Konan,Monday,09:30/12:29,TMB / --,15,20,MUZ_LS,21308,2024 - 2025 Bahar Dönemi
MUZ 312,Dünya Müzik Kültürlerine Giriş,Serkan Şener,Thursday,08:30/10:29,TMB / --,18,20,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",21298,2024 - 2025 Bahar Dönemi
MUZ 316,Halk Müziği Literatürü II,Süleyman Şenel,Monday,08:30/10:29,TMB / --,2,10,"BST_LS, KMP_LS",21339,2024 - 2025 Bahar Dönemi
MUZ 322,Alan Araştırma Metodları,Eray Cömert,Tuesday,13:30/16:29,TMB / --,8,20,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",21285,2024 - 2025 Bahar Dönemi
MUZ 322,Alan Araştırma Metodları,Günay Koçhan,Thursday,13:30/16:29,TMB / --,6,20,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",21288,2024 - 2025 Bahar Dönemi
MUZ 322,Alan Araştırma Metodları,Eray Cömert,Friday,14:00/16:59,TMB / --,17,20,"CAB_LS, CEB_LS, MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",21338,2024 - 2025 Bahar Dönemi
MUZ 332,Transkripsiyon,Serkan Şener,Tuesday,10:30/12:29,TMB / --,9,20,MUZ_LS,21315,2024 - 2025 Bahar Dönemi
MUZ 332,Transkripsiyon,Serkan Şener,Thursday,10:30/12:29,TMB / --,9,10,MUZ_LS,25156,2024 - 2025 Bahar Dönemi
MUZ 342,Seminer II,Süleyman Şenel,Thursday,13:30/15:29,TMB / --,11,20,MUZ_LS,21317,2024 - 2025 Bahar Dönemi
MUZ 342,Seminer II,Serkan Şener,Tuesday,08:30/10:29,TMB / --,7,13,MUZ_LS,24866,2024 - 2025 Bahar Dönemi
MUZ 358,İleri Osmanlıca II,Serhan Dilhan Konan,Monday,13:30/15:29,TMB / --,8,10,MUZ_LS,21319,2024 - 2025 Bahar Dönemi
MUZ 378,18. Yüzyıl Osmanlı Müziği,Serhan Dilhan Konan,Wednesday,08:30/10:29,TMB / --,7,10,MUZ_LS,21323,2024 - 2025 Bahar Dönemi
MUZ 380,Dini Müzik II,İdris Melih Berse,Friday,16:00/17:59,TMB / --,19,30,"BST_LS, KMP_LS, MTR_LS, MUZ_LS, SES_LS",21293,2024 - 2025 Bahar Dönemi
MUZ 380,Dini Müzik II,İdris Melih Berse,Tuesday,10:30/12:29,TMB / --,16,30,"BST_LS, KMP_LS, MTR_LS, MUZ_LS, SES_LS",21296,2024 - 2025 Bahar Dönemi
MUZ 390,Etnografi Yazımı,Zeynep Gonca İncedere,Thursday,10:30/12:29,TMB / --,2,20,MUZ_LS,21324,2024 - 2025 Bahar Dönemi
MUZ 402,Müzik Tarihi VIII,Şeyma Ersoy Çak,Friday,10:30/12:29,TMB / --,3,20,MUZ_LS,21328,2024 - 2025 Bahar Dönemi
