Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
YZV 104E,Int.toPrg.forDataSci.(Python),Ahmet Cüneyd Tantuğ,Thursday / Thursday,09:30/12:29 / 13:30/15:29,BBB / BBB / Z-17 / Z-17,73,85,YZVE_LS,22675,2024 - 2025 Bahar Dönemi
YZV 202E,Optimization for Data Science,Faik Boray Tek,Tuesday,13:30/16:29,BBB / Z-17,69,70,YZVE_LS,22676,2024 - 2025 Bahar Dönemi
YZV 212E,Fund.ofArtificial Intelligence,Sanem Sarıel Uzer,Wednesday,12:30/15:29,BBB / Z-19,85,85,YZVE_LS,22677,2024 - 2025 Bahar Dönemi
YZV 321E,Fund.ofArtificial Intelligence,Cihan Topal,Wednesday,12:30/15:29,BBB / --,2,5,YZVE_LS,22678,2024 - 2025 Bahar Dönemi
YZV 322E,Applied Data Engineering,"Ahmet Cüneyd Tantuğ , / Tacettin Ayar",Monday,12:30/16:29,BBB / Z-18,77,85,YZVE_LS,22680,2024 - 2025 Bahar Dönemi
YZV 405E,Natural Language Processing,Gülşen Eryiğit,Wednesday,08:30/11:29,BBB / 104,45,55,YZVE_LS,22681,2024 - 2025 Bahar Dönemi
YZV 416E,Computer Vision,Cihan Topal,Thursday,14:30/17:29,BBB / 104,49,55,"CEN_LS, YZVE_LS",22682,2024 - 2025 Bahar Dönemi
YZV 445E,Artificial Intelligence Project,"Gülşen Eryiğit , / Tacettin Ayar",Thursday,09:30/12:29,BBB / Z-23,26,30,YZVE_LS,22686,2024 - 2025 Bahar Dönemi
YZV 447E,Cognitive Neuroscience,Murat Okatan,Wednesday / Friday,13:30/15:29 / 14:30/16:29,BBB / BBB / Z-23 / Z-23,8,25,YZVE_LS,22685,2024 - 2025 Bahar Dönemi
YZV 4901E,AI &Data Engineering Design I,Faik Boray Tek,-,-/-,- / -,10,45,YZVE_LS,22683,2024 - 2025 Bahar Dönemi
YZV 4902E,AI& Data Engineering Design II,Tuğçe Bilen,-,-/-,- / -,29,45,YZVE_LS,22684,2024 - 2025 Bahar Dönemi
YZV 495E,Speech and Audio Processing,Cenk Demiroğlu,Friday,09:00/11:59,BBB / 102,9,20,YZVE_LS,25036,2024 - 2025 Bahar Dönemi
