Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DUI 101E,Seamanship,--,Salı Çarşamba,0830/1329 0830/1329,DZB DZB,0,0,DUI DUIE DUIK MTM,30426,2016 - 2017 Yaz Dönemi
DUI 201E,Terrestrial Navigation,Tuba Keçeci,Cuma Cuma,0830/1229 1330/1729,DZB DZB,36,40,DUI DUIE DUIK MTM,30454,2016 - 2017 Yaz Dönemi
DUI 202E,Electronic Navigation,Elif Bal Beşikçi,Çarşamba Çarşamba,0830/1229 1330/1529,DZB DZB,38,40,DUI DUIE DUIK MTM,30403,2016 - 2017 Yaz Dönemi
DUI 211E,Ship Construction & Stability,Sevilay Can,Cuma Cuma,0830/1229 1330/1729,DZB DZB,20,30,DUI DUIE DUIK GMI GMIE GMIK MEN MTM,30734,2016 - 2017 Yaz Dönemi
DUI 211E,Ship Construction & Stability,Sevilay Can,Pazartesi Pazartesi,0830/1229 1330/1729,DZB DZB,46,40,DUI DUIE DUIK GMIK MEN MTM,30439,2016 - 2017 Yaz Dönemi
DUI 231E,Marine Communication,Alaaddin Yıldıray Ertaş,Çarşamba,0830/1229,DZB,28,40,DUI DUIE DUIK MTM,30683,2016 - 2017 Yaz Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Salı,1330/1729,DZB,29,30,DUI DUIE DUIK MTM,30376,2016 - 2017 Yaz Dönemi
DUI 232E,Marine Electronics,Mehmet Metin Erenoğlu,Salı,0830/1229,DZB,26,30,DUI DUIE DUIK MTM,30421,2016 - 2017 Yaz Dönemi
DUI 251E,Meteorology,Ayşe Yılmaz,Cuma Cuma,0830/1229 1330/1529,DZB DZB,16,30,DUI DUIE DUIK MTM,30398,2016 - 2017 Yaz Dönemi
DUI 301E,E-Navigation Systems,Elif Bal Beşikçi,Salı Salı,0830/1229 1330/1529,DZB DZB,6,30,DUI DUIE DUIK MTM,30405,2016 - 2017 Yaz Dönemi
DUI 311E,Celestial Navigation,Orhan Gönel,Pazartesi Pazartesi,0830/1229 1330/1529,DZB DZB,18,30,DUI DUIE DUIK MTM,30436,2016 - 2017 Yaz Dönemi
DUI 321E,Maritime Law I,Mehmet Metin Erenoğlu,Salı,1330/1729,DZB,45,40,DUI DUIE DUIK GMIK MEN MTM,30424,2016 - 2017 Yaz Dönemi
DUI 331E,Watchkeeping II,Ali Ordukaya,Salı,0830/1229,DZB,33,40,DUI DUIE DUIK MTM,30390,2016 - 2017 Yaz Dönemi
DUI 341E,Maritime Practical Studies,--,Cuma Cuma,0830/1229 1330/1729,DZB DZB,0,0,DUI DUIE,30735,2016 - 2017 Yaz Dönemi
DUI 341E,Maritime Practical Studies,"Elif Bal Beşikçi, Orhan Gönel",Perşembe Perşembe,0830/1229 1330/1729,DZB DZB,22,15,DUI DUIE DUIK MTM,30410,2016 - 2017 Yaz Dönemi
DUI 351E,Onboard Training II,Elif Bal Beşikçi,----,/,DZB,12,30,DUI DUIE DUIK MTM,30409,2016 - 2017 Yaz Dönemi
DUI 361E,Technical Ship Management,Ali Ordukaya,Salı,1330/1729,DZB,10,30,DUI DUIE DUIK MTM,30393,2016 - 2017 Yaz Dönemi
DUI 401E,Ship Handling and Manouevring,--,Pazartesi Pazartesi,0830/1229 1330/1529,DZB DZB,0,0,DUI DUIE DUIK MTM,30383,2016 - 2017 Yaz Dönemi
DUI 411E,Cargo Handling Stowage II,Sevilay Can,Salı Salı,0830/1229 1330/1529,DZB DZB,9,30,DUI DUIE DUIK MTM,30441,2016 - 2017 Yaz Dönemi
DUI 432E,Ship Management and Leadership,--,Salı Salı,0830/1229 1330/1529,DZB DZB,0,0,DUI DUIE DUIK MTM,30384,2016 - 2017 Yaz Dönemi
DUI 442E,Meteorology and Oceanography,Ayşe Yılmaz,Perşembe Cuma,1530/1729 1530/1729,DZB DZB,10,30,DUI DUIE DUIK MTM,30459,2016 - 2017 Yaz Dönemi
DUI 451E,Cargo Handling Simulator,"Elif Bal Beşikçi, Orhan Gönel",Salı Çarşamba,1530/1729 1530/1729,DZB DZB,9,30,DUI DUIE DUIK MTM,30413,2016 - 2017 Yaz Dönemi
