Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EHB 211,Elektrik Devre Temelleri,Metin Yazgı,Pazartesi Pazartesi,0930/1229 1330/1629,EEB EEB,35,35,EHB ELE ELK KOM TEL,30513,2016 - 2017 Yaz Dönemi
EHB 211E,Basic of Electrical Circuits,Mustafa Berke Yelten,Cuma Cuma,0930/1229 1400/1659,EEB EEB,35,35,EHB EHBE ELE ELK ELKE KOM KOME TEL,30514,2016 - 2017 Yaz Dönemi
EHB 212E,Intr.to Electromagnetic Fields,İbrahim Akduman,Salı Salı,0930/1229 1330/1629,EEB EEB,35,35,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,30680,2016 - 2017 Yaz Dönemi
EHB 212E,Intr.to Electromagnetic Fields,İbrahim Akduman,Pazartesi Pazartesi,0930/1229 1330/1629,EEB EEB,0,10,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,30723,2016 - 2017 Yaz Dönemi
EHB 222E,Introduction to Electronics,Bora Döken,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,0,10,ELE ELH ELK ELKE KOM KOME MKN TEL,30724,2016 - 2017 Yaz Dönemi
EHB 222E,Introduction to Electronics,İbrahim Çatalkaya,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,35,35,ELE ELH ELK ELKE KOM KOME MKN TEL,30681,2016 - 2017 Yaz Dönemi
EHB 231,Elektronik I,Metin Yazgı,Çarşamba Çarşamba,0930/1229 1330/1629,EEB EEB,35,35,EHB ELE,30516,2016 - 2017 Yaz Dönemi
EHB 232E,Circuit and System Analysis,İsmail Serdar Özoğuz,Pazartesi Pazartesi,0930/1229 1330/1629,EEB EEB,35,35,EHB EHBE ELE ELK ELKE TEL,30517,2016 - 2017 Yaz Dönemi
EHB 252E,Signals and Systems,Şahin Serhat Şeker,Pazartesi Salı,0930/1229 0930/1229,EEB EEB,20,20,EHB EHBE ELE ELK ELKE KOM KOME MKN TEL,30518,2016 - 2017 Yaz Dönemi
EHB 262E,Electronics II,Metin Yazgı,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,35,35,EHB EHBE ELE,30519,2016 - 2017 Yaz Dönemi
EHB 332E,Network Synthesis,İsmail Serdar Özoğuz,Cuma Cuma,0930/1229 1330/1629,EEB EEB,20,20,EHB EHBE ELE ELH,30677,2016 - 2017 Yaz Dönemi
EHB 362E,Microwave Engineering,Mesut Kartal,Pazartesi Salı,1330/1629 1330/1629,EEB EEB,16,35,EHB EHBE ELE TEL,30520,2016 - 2017 Yaz Dönemi
EHB 437,Biyomedikal Düzenler,Zümray Ölmez,Salı Salı,0930/1229 1330/1629,EEB EEB,8,35,EHB ELE,30521,2016 - 2017 Yaz Dönemi
