Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CEV 102,Yer Bilimi,Erkan Bozkurtoğlu,Pazartesi,0830/1129,INB,79,60,CEV,25258,2017 - 2018 Bahar Dönemi
CEV 102E,Earth Science,"Ercan Özcan, Erkan Bozkurtoğlu",Çarşamba,0830/1129,INB,63,60,CEV CEVE,25259,2017 - 2018 Bahar Dönemi
CEV 212,Çevre Kimyası II,"Nuray Işık Kabdaşlı, Tuğba Ölmez Hancı",Çarşamba Çarşamba,1030/1229 1330/1529,INB INB,32,33,BIO CEV,20508,2017 - 2018 Bahar Dönemi
CEV 212,Çevre Kimyası II,"İsmail Toröz, Serdar Doğruel",Salı Salı,0830/1029 1030/1229,INB INB,18,30,BIO CEV,20506,2017 - 2018 Bahar Dönemi
CEV 212E,Enviromental Chemistry II,"Tuğba Ölmez Hancı, Serdar Doğruel",Cuma Cuma,0830/1029 1030/1229,INB INB,26,25,BIOE CEV CEVE,20511,2017 - 2018 Bahar Dönemi
CEV 212E,Enviromental Chemistry II,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Salı Salı,1230/1429 1430/1629,INB INB,19,25,BIOE CEV CEVE,20512,2017 - 2018 Bahar Dönemi
CEV 243E,Environmental Chemistry,Umut Kıvanç Şahin,Pazartesi,0930/1229,MKB,40,35,ISLE TEK TEKE,24380,2017 - 2018 Bahar Dönemi
CEV 244,Hava Kirlenmesi Kimyası,İsmail Toröz,Cuma,1530/1729,INB,3,30,CEV,20520,2017 - 2018 Bahar Dönemi
CEV 246E,Marine and Lake Sciences,"Melike Gürel, Elif Pehlivanoğlu Mantaş",Perşembe,0830/1029,INB,16,25,CEV CEVE,20522,2017 - 2018 Bahar Dönemi
CEV 248,Ölçme Bilgisi,Turan Erden,Salı,1030/1229,INB,25,25,CEV,20523,2017 - 2018 Bahar Dönemi
CEV 250,Halk ve İşyeri Sağlığı,"Fatma Gülen İskender, Naciye Esra Genceli",Cuma,1330/1529,INB,31,30,CEV GID,20524,2017 - 2018 Bahar Dönemi
CEV 250E,Public and Occupational Health,"Elif Pehlivanoğlu Mantaş, Burçak Kaynak Tezel",Salı,0830/1029,INB,20,30,CEV CEVE GID GIDE,20527,2017 - 2018 Bahar Dönemi
CEV 310E,Marine Pollution and its Cont,"Ayşe Gül Tanık, Süleyman Övez",Salı,1030/1229,INB,34,35,CEV CEVE,20531,2017 - 2018 Bahar Dönemi
CEV 314E,Treatment Plant Hydraulics,"Mustafa Evren Erşahin, Hale Özgün",Salı,1530/1729,INB,11,35,CEV CEVE,20532,2017 - 2018 Bahar Dönemi
CEV 318E,Comp Appl of Infrastr Planning,Ali Fuat Aydın,Salı,1530/1729,INB,35,35,CEV CEVE,20533,2017 - 2018 Bahar Dönemi
CEV 320,Biyolojik Prosesler,"Seval Sözen, Nazik Artan",Cuma,0930/1229,INB,24,45,CEV,20538,2017 - 2018 Bahar Dönemi
CEV 320E,Biological Processes,"Rüya Taşlı, Emine Çokgör",Cuma,0930/1229,INB,61,50,CEV CEVE,20540,2017 - 2018 Bahar Dönemi
CEV 324,Temel İşlemler&Prosesler; Lab.,"Seval Sözen, Serdar Doğruel, Tuğba Ölmez Hancı",Perşembe,0830/1229,INB,27,27,CEV,20554,2017 - 2018 Bahar Dönemi
CEV 324,Temel İşlemler&Prosesler; Lab.,"Çiğdem Gömeç, Ebru Dülekgürgen",Perşembe,0830/1229,INB,10,25,CEV,20552,2017 - 2018 Bahar Dönemi
CEV 324E,Unit Operations&Proc..,"İdil Arslan Alaton, Ayşe Erbil",Çarşamba,0830/1229,INB,17,25,CEV CEVE,20550,2017 - 2018 Bahar Dönemi
CEV 324E,Unit Operations&Proc..,"Ayşe Bilsen Baykal, Derya Yüksel İmer",Çarşamba,0830/1229,INB,11,25,CEV CEVE,20545,2017 - 2018 Bahar Dönemi
CEV 326,Hava Kirlenmesi,Kadir Alp,Salı Perşembe,1330/1529 1330/1529,INB INB,47,50,CEV,20557,2017 - 2018 Bahar Dönemi
CEV 326E,Air Pollution,"Olcay Tünay, Burçak Kaynak Tezel",Salı Perşembe,1330/1529 1530/1729,INB INB,30,50,CEV CEVE,20559,2017 - 2018 Bahar Dönemi
CEV 328,Su Temini&At;ıksuların Uzakl.,İbrahim Demir,Salı Cuma,0830/1029 1430/1729,INB INB,22,55,CEV,20562,2017 - 2018 Bahar Dönemi
CEV 328E,Water Supply&Wastewa..,Mahmut Ekrem Karpuzcu,Salı Cuma,0830/1029 1430/1729,INB INB,33,55,CEV CEVE,20564,2017 - 2018 Bahar Dönemi
CEV 330,Su Arıtma Tesisi Tasarımı,"İsmail Koyuncu, Mustafa Evren Erşahin, Naciye Esra Genceli",Pazartesi,1330/1729,INB,32,45,CEV,20587,2017 - 2018 Bahar Dönemi
CEV 330E,Water Treatment Plant Design,"Derya Yüksel İmer, Hale Özgün, Mustafa Evren Erşahin",Pazartesi,0830/1229,INB,29,45,CEVE,20588,2017 - 2018 Bahar Dönemi
CEV 416E,Marine Disposal Systems,Ali Fuat Aydın,Pazartesi,1530/1729,INB,36,40,CEV CEVE,20590,2017 - 2018 Bahar Dönemi
CEV 424E,Wastewtr Mngmnt in Smll Cmmnts,"Ayşe Bilsen Baykal, Mahmut Altınbaş",Perşembe,1330/1529,INB,12,30,CEV CEVE,20593,2017 - 2018 Bahar Dönemi
CEV 426,Çevre Müh Bilgisayar Uygula,"Ali Ertürk, Alpaslan Ekdal",Perşembe,0830/1029,INB,14,30,CEV,20594,2017 - 2018 Bahar Dönemi
CEV 428E,Envirn.Plan.of Catchment Areas,"Melike Gürel, Alpaslan Ekdal",Cuma,0830/1029,INB,18,30,CEV CEVE,20596,2017 - 2018 Bahar Dönemi
