Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
FRA 101,Fransızca I(Kredisiz),Ebru Yücetin Er,Cuma,0830/1229,DIB,23,25,Tüm Lisans ve Lisansüstü Programlar,20472,2017 - 2018 Bahar Dönemi
FRA 101,Fransızca I(Kredisiz),Ferhan Işık,Perşembe,1330/1729,DIB,24,25,Tüm Lisans ve Lisansüstü Programlar,20503,2017 - 2018 Bahar Dönemi
FRA 101,Fransızca I(Kredisiz),Yelda Tavukçuoğlu,Salı,1330/1729,DIB,24,25,Tüm Lisans ve Lisansüstü Programlar,20500,2017 - 2018 Bahar Dönemi
FRA 101,Fransızca I(Kredisiz),Ebru Yücetin Er,Salı,0830/1229,DIB,24,25,Tüm Lisans ve Lisansüstü Programlar,20487,2017 - 2018 Bahar Dönemi
FRA 101,Fransızca I(Kredisiz),Ferhan Işık,Pazartesi,1330/1729,DIB,25,25,Tüm Lisans ve Lisansüstü Programlar,20498,2017 - 2018 Bahar Dönemi
FRA 101,Fransızca I(Kredisiz),Ebru Yücetin Er,Pazartesi,0830/1229,DIB,19,25,Tüm Lisans ve Lisansüstü Programlar,20468,2017 - 2018 Bahar Dönemi
FRA 102,Fransızca II (Kredisiz),Hilal Küçük,Cuma,0830/1229,DIB,21,25,Tüm Lisans ve Lisansüstü Programlar,25116,2017 - 2018 Bahar Dönemi
FRA 102,Fransızca II (Kredisiz),Hilal Küçük,Salı,1330/1729,DIB,15,20,Tüm Lisans ve Lisansüstü Programlar,20495,2017 - 2018 Bahar Dönemi
FRA 102,Fransızca II (Kredisiz),Hilal Küçük,Salı,0830/1229,DIB,16,20,Tüm Lisans ve Lisansüstü Programlar,20474,2017 - 2018 Bahar Dönemi
FRA 201,Fransızca III (Kredisiz),Hilal Küçük,Perşembe,0830/1229,DIB,9,20,Tüm Lisans ve Lisansüstü Programlar,20490,2017 - 2018 Bahar Dönemi
FRA 201,Fransızca III (Kredisiz),Hilal Küçük,Çarşamba,0830/1229,DIB,9,20,Tüm Lisans ve Lisansüstü Programlar,20479,2017 - 2018 Bahar Dönemi
FRA 202,Fransızca IV (Kredisiz),Ebru Yücetin Er,Perşembe,0830/1229,DIB,13,30,Tüm Lisans ve Lisansüstü Programlar,25112,2017 - 2018 Bahar Dönemi
FRA 301,Fransızca V (Kredisiz),Yelda Tavukçuoğlu,Cuma,1330/1729,DIB,12,20,Tüm Lisans ve Lisansüstü Programlar,20481,2017 - 2018 Bahar Dönemi
FRA 302,Fransızca VI (Kredisiz),Yelda Tavukçuoğlu,Perşembe,1330/1729,DIB,2,20,Tüm Lisans ve Lisansüstü Programlar,20499,2017 - 2018 Bahar Dönemi
