Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PET 311E,Fluid Properties,Şenol Yamanlar,Pazartesi,0830/1129,MDB,61,80,PET PETE PETM,22043,2017 - 2018 Bahar Dönemi
PET 322E,Drilling Laboratory,Yıldıray Palabıyık,Perşembe,1130/1329,MDB,13,15,PET PETE,22664,2017 - 2018 Bahar Dönemi
PET 322E,Drilling Laboratory,Yıldıray Palabıyık,Çarşamba,1130/1329,MDB,13,15,PET PETE,22663,2017 - 2018 Bahar Dönemi
PET 322E,Drilling Laboratory,Yıldıray Palabıyık,Salı,1130/1329,MEDB,14,15,PET PETE,22662,2017 - 2018 Bahar Dönemi
PET 322E,Drilling Laboratory,Yıldıray Palabıyık,Pazartesi,1130/1329,MDB,15,15,PET PETE,22661,2017 - 2018 Bahar Dönemi
PET 332E,Prod. Eng.&Surface; Facilities,İhsan Murat Gök,Perşembe,0830/1129,MDB,61,80,PET PETE PETM,22044,2017 - 2018 Bahar Dönemi
PET 336E,Well Completions,Mustafa Hakan Özyurtkan,Salı,1430/1729,MDB,21,40,PET PETE PETM,22686,2017 - 2018 Bahar Dönemi
PET 342E,Reservoir Engineering I,Ömer İnanç Türeyen,Salı,0830/1129,MDB,55,80,PET PETE PETM,22046,2017 - 2018 Bahar Dönemi
PET 346E,Safety & Envirnmntl Protection,İbrahim Metin Mıhçakan,Cuma,0830/1129,MDB,16,40,PET PETE,22665,2017 - 2018 Bahar Dönemi
PET 412E,Petroluem& Natural Gas Eco.,Gürşat Altun,Pazartesi,1430/1729,MDB,41,80,PET PETE,22099,2017 - 2018 Bahar Dönemi
PET 416E,Well Logging II,--,Çarşamba,0830/1129,MDB,0,0,PET PETE PETM,22667,2017 - 2018 Bahar Dönemi
PET 437E,Drilling Engineering II,Gürşat Altun,Perşembe,1430/1729,MDB,8,20,PET PETE PETM,22668,2017 - 2018 Bahar Dönemi
PET 458E,Pipe-Line Design,Mustafa Hakan Özyurtkan,Pazartesi,0830/1129,MDB,20,40,PET PETE,22670,2017 - 2018 Bahar Dönemi
PET 467E,Anly. of Well Pressure Tests,Murat Çınar,Çarşamba,0830/1129,MDB,8,40,PET PETE PETM,22671,2017 - 2018 Bahar Dönemi
PET 492,Bitirme Tasarım Projesi,--,----,/,MDB,0,0,PET,22691,2017 - 2018 Bahar Dönemi
PET 492E,Graduation Project,Gürşat Altun,----,/,MDB,33,500,PET PETE,22690,2017 - 2018 Bahar Dönemi
