Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
AKM 204,Akışkanlar Mekaniği,Birgül Benli,Cuma,0930/1229,MDB,51,50,CEV CHZ IML INS KMM PET,12873,2017 - 2018 Güz Dönemi
AKM 204,Akışkanlar Mekaniği,Necati Erdem Ünal,Çarşamba,0930/1229,INB,49,40,CEV CHZ IML INS KMM PET,15454,2017 - 2018 Güz Dönemi
AKM 204,Akışkanlar Mekaniği,Sertaç Çadırcı,Salı Çarşamba,1330/1529 1430/1529,MKB MKB,12,40,CEV CHZ IML INS KMM PET,13054,2017 - 2018 Güz Dönemi
AKM 204E,Fluid Mechanics,Birgül Benli,Pazartesi,0830/1129,MDB,6,5,CHZ CHZE,15842,2017 - 2018 Güz Dönemi
AKM 204E,Fluid Mechanics,Hakan Öksüzoğlu,Pazartesi Çarşamba,0830/1029 0830/0929,MKB MKB,30,40,CEV CEVE CHZ CHZE FIZ FIZE GID GIDE IML IMLE INS INSE KMM KMME MTO MTOE PET PETE TEK TEKE UCK UZB,13055,2017 - 2018 Güz Dönemi
AKM 205,Akışkanlar Mekaniği,Şafak Nur Ertürk Bozkurtoğlu,Pazartesi Perşembe,1030/1229 0930/1229,GDB GDB,30,40,DEN GEM MAK UCK UZB,11948,2017 - 2018 Güz Dönemi
AKM 205E,Fluid Mechanics,Burcu Ünal,Pazartesi Cuma,1030/1229 1330/1629,GDB GDB,45,40,DEN DENE GEM GEME GEMK MAK MAKE UCK UCKE UZB UZBE,11951,2017 - 2018 Güz Dönemi
AKM 207E,Fluid Mechanics,Melek Mümine Erol Taygun,Perşembe,1330/1629,KMB,24,35,KMM KMME,12453,2017 - 2018 Güz Dönemi
AKM 208,Akışkanlar Mekaniği I,Hakan Öksüzoğlu,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,71,70,MAK MAKM UCK,13057,2017 - 2018 Güz Dönemi
AKM 208,Akışkanlar Mekaniği I,Murat Çakan,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,70,70,MAK MAKM UCK,13056,2017 - 2018 Güz Dönemi
AKM 209,Akışkanlar Mekaniği II,Kadir Kırkköprü,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,69,70,MAK MAKM UCK,13062,2017 - 2018 Güz Dönemi
AKM 209,Akışkanlar Mekaniği II,Erkan Ayder,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,70,70,MAK MAKM UCK,13061,2017 - 2018 Güz Dönemi
AKM 209,Akışkanlar Mekaniği II,Levent Ali Kavurmacıoğlu,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,18,70,MAK MAKM UCK,13060,2017 - 2018 Güz Dönemi
AKM 209E,Fluid Mechanics II,Levent Ali Kavurmacıoğlu,Pazartesi Çarşamba,0830/1029 1030/1129,MKB MKB,3,5,MAKE MAKM UZBE,14796,2017 - 2018 Güz Dönemi
