Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
END 111,Endüstri Mühendisliğine Giriş,Seçkin Polat,Çarşamba,1130/1229,ISB,29,60,END,11977,2017 - 2018 Güz Dönemi
END 111,Endüstri Mühendisliğine Giriş,Seçkin Polat,Çarşamba,1030/1129,ISB,28,60,END,11976,2017 - 2018 Güz Dönemi
END 111E,Intr.to Industrial Engineering,Seda Yanık,Cuma,0930/1029,ISB,47,55,END ENDE,15744,2017 - 2018 Güz Dönemi
END 111E,Intr.to Industrial Engineering,Emine Yaylalı,Salı,1330/1429,ISB,32,55,END ENDE,12086,2017 - 2018 Güz Dönemi
END 111E,Intr.to Industrial Engineering,Esra Baş,Salı,0930/1029,ISB,59,60,END ENDE,15851,2017 - 2018 Güz Dönemi
END 211,Sistem Analizine Giriş,Cafer Erhan Bozdağ,Salı,1330/1629,ISB,88,75,END,11979,2017 - 2018 Güz Dönemi
END 211,Sistem Analizine Giriş,Cafer Erhan Bozdağ,Salı,0930/1229,ISB,55,70,END,11978,2017 - 2018 Güz Dönemi
END 211E,Introductn to System Analysis,Murat Engin Ünal,Pazartesi,1330/1629,ISB,112,65,END ENDE,12087,2017 - 2018 Güz Dönemi
END 213E,Data Processing in Indus. Sys.,Ufuk Cebeci,Salı,1430/1729,ISB,128,100,END ENDE,11985,2017 - 2018 Güz Dönemi
END 213E,Data Processing in Indus. Sys.,Başar Öztayşi,Salı,1030/1329,ISB,93,100,END ENDE,11986,2017 - 2018 Güz Dönemi
END 252E,Theory of Probability,Erkan Işıklı,Salı,0930/1229,ISB,68,50,END ENDE,12016,2017 - 2018 Güz Dönemi
END 311,İstatistik,Cengiz Kahraman,Cuma,0830/1129,ISB,47,50,END,12019,2017 - 2018 Güz Dönemi
END 311,İstatistik,Cengiz Kahraman,Pazartesi,0830/1129,ISB,39,50,END,12017,2017 - 2018 Güz Dönemi
END 311E,Statistics,Seda Yanık,Çarşamba,1030/1329,ISB,49,55,END ENDE,12088,2017 - 2018 Güz Dönemi
END 312E,Engineering Economics,İrem Uçal Sarı,Cuma,0900/1159,ISB,73,55,END ENDE,12090,2017 - 2018 Güz Dönemi
