Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ETK 101,Mühendislik Etiği,--,Cuma,1130/1229,MKB,0,0,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,13078,2017 - 2018 Güz Dönemi
ETK 101,Mühendislik Etiği,İsmail Murat Ereke,Cuma,1130/1229,MKB,39,100,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,13077,2017 - 2018 Güz Dönemi
ETK 101,Mühendislik Etiği,Alper Tolga Çalık,Cuma,1130/1229,MKB,73,100,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,13076,2017 - 2018 Güz Dönemi
ETK 101,Mühendislik Etiği,Ahmet Duran Şahin,Perşembe,1530/1629,UUB,37,35,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,11706,2017 - 2018 Güz Dönemi
ETK 101,Mühendislik Etiği,Bora Döken,Perşembe,1230/1329,EEB,75,60,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,12236,2017 - 2018 Güz Dönemi
ETK 101,Mühendislik Etiği,Yüksel Örgün Tutay,Pazartesi,1330/1429,MDB,32,40,CHZ EHB IML JEF JEO KOM KON MAD MAK MTO PET TEK,12922,2017 - 2018 Güz Dönemi
ETK 101E,Engineering Ethics,Yeşim Beceren,Cuma,1030/1129,MKB,24,60,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,13695,2017 - 2018 Güz Dönemi
ETK 101E,Engineering Ethics,Ceyhan Kahya,Perşembe,1430/1529,UUB,26,35,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,11702,2017 - 2018 Güz Dönemi
ETK 101E,Engineering Ethics,Macid Fikret Suner,Pazartesi,1330/1429,MDB,56,40,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,12923,2017 - 2018 Güz Dönemi
ETK 101E,Engineering Ethics,Tayfun Bulca,Pazartesi,1230/1329,EEB,61,60,CHZ CHZE EHB EHBE EHN IML IMLE JEF JEFE JEO JEOE KOM KOME KON KONE MAD MADE MAK MAKE MTO MTOE PET PETE SEH TEK TEKE,12237,2017 - 2018 Güz Dönemi
