Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JDF 211E,Surveying II,Himmet Karaman,Salı,0830/1129,INB,32,50,GEO GEOE JDF,12650,2017 - 2018 Güz Dönemi
JDF 231,Davranış Bilimlerine Giriş,Mehmet Ufuk Özerman,Salı,1330/1629,INB,3,20,GEO JDF,15460,2017 - 2018 Güz Dönemi
JDF 241,Davranış Bilimlerine Giriş,Çiğdem Göksel,Pazartesi,1530/1629,INB,15,50,GEO,12651,2017 - 2018 Güz Dönemi
JDF 241E,Intr. to Behavioural Sciences,Hakan Yavaşoğlu,Perşembe,0830/0929,INB,16,50,GEO GEOE JDF,12652,2017 - 2018 Güz Dönemi
JDF 271,Coğrafi Bilgi Bilimi,Cengizhan İpbüker,Çarşamba,0930/1229,INB,48,55,MTO,12653,2017 - 2018 Güz Dönemi
JDF 271E,Geographic Information Science,Hande Demirel,Salı,0830/1129,INB,21,40,MTO MTOE,12654,2017 - 2018 Güz Dönemi
JDF 311,Mühendislikte Veri Tabanları,Elif Sertel,Cuma,0930/1229,INB,44,50,GEO JDF,12655,2017 - 2018 Güz Dönemi
JDF 311E,Databases in Engineering,"Filiz Bektaş Balçık, Elif Sertel",Çarşamba,0930/1229,INB,48,50,GEO GEOE JDF,12656,2017 - 2018 Güz Dönemi
JDF 313,Jeodezik Astronomi,Ersoy Arslan,Pazartesi,1530/1729,INB,31,35,GEO JDF,12657,2017 - 2018 Güz Dönemi
JDF 313E,Geodetic Astronomy,Caner Güney,Pazartesi,1230/1429,INB,31,30,GEO GEOE JDF,12658,2017 - 2018 Güz Dönemi
JDF 315E,Coordinate Systems in Geodesy,"Bihter Erol, Serdar Erol",Pazartesi,1530/1729,INB,34,60,GEO GEOE JDF,12659,2017 - 2018 Güz Dönemi
JDF 321,Uzaktan Algılama I,Nebiye Musaoğlu,Salı,1330/1629,INB,45,45,GEO JDF MTO,12661,2017 - 2018 Güz Dönemi
JDF 321,Uzaktan Algılama I,Şinasi Kaya,Salı,1330/1629,INB,36,40,GEO JDF MTO,12660,2017 - 2018 Güz Dönemi
JDF 321E,Remote Sensing I,Ayşe Filiz Sunar,Cuma,0930/1229,INB,53,55,GEO GEOE JDF MTOE UCK UCKE UZB UZBE,12662,2017 - 2018 Güz Dönemi
JDF 321E,Remote Sensing I,Mithat Derya Maktav,Pazartesi,1430/1729,INB,33,55,GEO GEOE JDF MTOE UCK UCKE UZB UZBE,12663,2017 - 2018 Güz Dönemi
JDF 331,Fotogrametri I,"Zaide Duran, Fatma Gönül Toz",Salı,0830/1129,INB,41,41,GEO JDF,12664,2017 - 2018 Güz Dönemi
JDF 331E,Photogrammetry I,Zaide Duran,Perşembe,1330/1629,INB,43,40,GEO GEOE JDF,12665,2017 - 2018 Güz Dönemi
JDF 341,Jeodezi I,Ersoy Arslan,Pazartesi,0930/1229,INB,45,45,GEO JDF,12666,2017 - 2018 Güz Dönemi
JDF 341E,Geodesy I,Bihter Erol,Cuma,1330/1629,INB,55,55,GEO GEOE JDF,12667,2017 - 2018 Güz Dönemi
JDF 342,Jeodezi II,Serdar Erol,Cuma,1430/1629,INB,12,30,GEO JDF,15510,2017 - 2018 Güz Dönemi
JDF 351,Dengeleme Hesabı,Orhan Akyılmaz,Perşembe,0930/1229,INB,38,45,GEO JDF,12668,2017 - 2018 Güz Dönemi
JDF 351E,Adjustment,Mustafa Tevfik Özlüdemir,Salı,1330/1629,INB,45,45,GEO GEOE JDF,12704,2017 - 2018 Güz Dönemi
JDF 361,Kadastro Bilgisi,Mustafa Yanalak,Perşembe,0930/1129,INB,11,40,GEO GEOE JDF,15443,2017 - 2018 Güz Dönemi
JDF 361,Kadastro Bilgisi,Mustafa Yanalak,Çarşamba,0830/1029,INB,40,50,GEO GEOE JDF,12705,2017 - 2018 Güz Dönemi
JDF 361,Kadastro Bilgisi,Tahsin Yomralıoğlu,Pazartesi,1130/1329,INB,29,50,GEO GEOE JDF,12706,2017 - 2018 Güz Dönemi
JDF 411E,Geographical Informatn Systms,"Nesibe Necla Uluğtekin, Hande Demirel",Perşembe,1430/1729,INB,14,35,GEO GEOE JDF,12709,2017 - 2018 Güz Dönemi
JDF 411E,Geographical Informatn Systms,Dursun Zafer Şeker,Salı,0830/1129,INB,46,50,GEO GEOE JDF,12708,2017 - 2018 Güz Dönemi
JDF 411E,Geographical Informatn Systms,--,Pazartesi,1330/1629,INB,0,0,GEO GEOE JDF,12707,2017 - 2018 Güz Dönemi
JDF 417E,City Planning,Elif Alkay,Perşembe,1330/1629,INB,10,30,GEO GEOE JDF,12713,2017 - 2018 Güz Dönemi
JDF 419,Yol Planlaması ve İnşaatı,"Murat Ergün, Adem Faik İyinam",Perşembe,0930/1229,INB,36,40,GEO JDF,12714,2017 - 2018 Güz Dönemi
JDF 419E,Road Design and Construction,"Murat Ergün, Adem Faik İyinam",Salı,1430/1729,INB,21,30,GEO GEOE JDF,12715,2017 - 2018 Güz Dönemi
JDF 421,Fiziksel Jeodezi,"Bihter Erol, Serdar Erol",Pazartesi,1330/1529,INB,21,40,GEO JDF,12716,2017 - 2018 Güz Dönemi
JDF 421E,Physical Geodesy,Bihter Erol,Pazartesi,0930/1129,INB,34,40,GEO GEOE JDF,12717,2017 - 2018 Güz Dönemi
JDF 423E,Terrestrial & Num. Photo.,Dursun Zafer Şeker,Salı,1130/1329,INB,54,55,GEO GEOE JDF,12718,2017 - 2018 Güz Dönemi
JDF 427,Sayısal Arazi Modeli,Zaide Duran,Salı,1130/1329,INB,29,30,GEO JDF,12719,2017 - 2018 Güz Dönemi
JDF 431E,GPS Technique,"Hakan Yavaşoğlu, Himmet Karaman",Cuma,1330/1529,INB,50,50,GEO GEOE JDF,12721,2017 - 2018 Güz Dönemi
JDF 431E,GPS Technique,Rahmi Nurhan Çelik,Salı,1330/1529,INB,19,40,GEO GEOE JDF,12720,2017 - 2018 Güz Dönemi
JDF 433,Kartografik Projeksiyonlar,Cengizhan İpbüker,Cuma,0830/1129,INB,19,30,GEO JDF,12722,2017 - 2018 Güz Dönemi
JDF 435E,Computer Aided Cartography,Ahmet Özgür Doğru,Cuma,0830/1129,INB,29,30,GEO GEOE JDF,12723,2017 - 2018 Güz Dönemi
JDF 437E,Cartogrphc Prsnt of Spatl Data,Nesibe Necla Uluğtekin,Cuma,0830/1129,INB,24,30,GEO GEOE JDF,12724,2017 - 2018 Güz Dönemi
JDF 492,Tasarım Projesi,Mustafa Yanalak,----,/,INB,18,500,GEO JDF,12725,2017 - 2018 Güz Dönemi
JDF 492E,Design Project,Mustafa Yanalak,----,/,INB,8,500,GEO GEOE JDF,12726,2017 - 2018 Güz Dönemi
