Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Cuma Cuma,0930/1229 1330/1629,MED MED,36,35,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30648,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,0930/1229 1330/1629,MED MED,35,35,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30647,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Çarşamba Çarşamba,0930/1229 1330/1629,MED MED,18,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30646,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Çarşamba Çarşamba,0930/1229 1330/1629,MED MED,29,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30642,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Salı Salı,0930/1229 1330/1629,MED MED,16,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30645,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Salı Salı,0930/1229 1330/1629,MED MED,22,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30641,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Evren Dağlarlı,Pazartesi Pazartesi,0930/1229 1330/1629,MED MED,29,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30644,2017 - 2018 Yaz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Ömer Özyıldırım,Pazartesi Pazartesi,0930/1229 1330/1629,MED MED,26,30,BIO BIOE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH END ENDE EUT EUTE FIZ FIZE FIZM GEM GEME GEMK GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KIM KIME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEN TEK TEKE TEL UCK UCKE UZB UZBE,30640,2017 - 2018 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Moiz Elnekave,Cuma Cuma,0930/1229 1330/1629,KMB KMB,42,50,CEV CEVE DUIK ELH FIZ FIZE JEF JEFE MTO MTOE PET PETE UCK UCKE,30329,2017 - 2018 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Ahmet Öztopal,Perşembe Cuma,0930/1229 1330/1629,UUB UUB,17,20,MTO MTOE,30521,2017 - 2018 Yaz Dönemi
BIL 112E,Intr.to Prog.Language(FORTRAN),Doğa Doğan,Perşembe Perşembe,0930/1229 1330/1629,MDB MDB,30,30,DUIK ELH FIZ FIZE JEF JEFE MTO MTOE PET UCKE,30416,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Cüneyt Hüseyin Ünlü,Perşembe Perşembe,0930/1229 1330/1629,FEB FEB,21,20,BIOE CHZ DEN ECNE GEM GID GIDE INS INSE ISL ISLE JEO KIM KIME MET METE TEKE UCK UZBE,30334,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Ata Bilgili,Perşembe Perşembe,0830/1129 1330/1629,DZB DZB,28,35,DUI GMI,30678,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Erdem Üçer,Çarşamba,1030/1629,GDB,41,40,BIOE CHZ DEN ECNE GEM GID GIDE INS INSE ISL ISLE JEO KIM KIME MET METE TEKE UCK UZBE,30441,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Cüneyt Hüseyin Ünlü,Çarşamba Çarşamba,0930/1229 1330/1629,FEB FEB,20,20,BIOE CHZ DEN ECNE GEM GID GIDE INS INSE ISL ISLE JEO KIM KIME MET METE TEK TEKE UCK UZBE,30333,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Bilge Tutak,Salı Salı,0930/1229 1330/1629,EEB EEB,39,40,BIOE CHZ DEN ECNE GEM GID GIDE INS INSE ISL ISLE JEO KIM KIME MET METE TEKE UCK UZBE,30602,2017 - 2018 Yaz Dönemi
BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Bilge Tutak,Pazartesi Pazartesi,0930/1229 1330/1629,EEB EEB,43,40,BIOE CHZ DEN ECNE GEM GID GIDE INS INSE ISL ISLE JEO KIM KIME MET METE TEKE UCK UZBE,30598,2017 - 2018 Yaz Dönemi
