Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CHZ 104,Mineraloji ve Petrografi,Şenel Özdamar,Çarşamba,0830/1229,MDB,57,60,CHZ CHZM,22255,2018 - 2019 Bahar Dönemi
CHZ 211E,Particle Technology,Gülay Bulut,Cuma,0830/1229,MDB,2,40,CHZ CHZE,23758,2018 - 2019 Bahar Dönemi
CHZ 212,Tanecik Teknolojisi,"Gülay Bulut, Abdullah Ekrem Yüce",Salı,0830/1229,MDB,41,50,CHZ CHZM,22089,2018 - 2019 Bahar Dönemi
CHZ 224E,Surface and Colloid Chemistry,Ayhan Ali Sirkeci,Pazartesi,1030/1329,MDB,13,40,CHZ CHZE CHZM,22091,2018 - 2019 Bahar Dönemi
CHZ 232,Zenginlstirme Önc.Haz. İşlml.,Ali Güney,Perşembe Cuma,1330/1529 1030/1229,MDB MDB,11,40,CHZ CHZM,22096,2018 - 2019 Bahar Dönemi
CHZ 232E,Processes Prior to Concentrtn,--,Salı,1330/1729,MDB,0,0,CHZE CHZM,22289,2018 - 2019 Bahar Dönemi
CHZ 242,Proses Mineralojisi,"Recep Fahri Esenli, Ali Haydar Gültekin, Alim Gül",Salı,1330/1629,MDB,45,50,CHZ CHZM,22146,2018 - 2019 Bahar Dönemi
CHZ 242E,Process Mineralogy,--,Salı,0830/1129,MDB,0,0,CHZE CHZM,22204,2018 - 2019 Bahar Dönemi
CHZ 311,Fiziksel Zeng. Yöntemleri,"Neset Acarkan, Alim Gül",Çarşamba Cuma,1330/1529 1430/1629,MDB MDB,31,40,CHZ CHZM,22140,2018 - 2019 Bahar Dönemi
CHZ 312E,Metallurgy I,Fatma Arslan,Cuma,1430/1629,MDB,18,40,CHZ CHZE,22205,2018 - 2019 Bahar Dönemi
CHZ 318,Endüstriyel Hammaddeler,Hayrünnisa Ateşok,Pazartesi,0830/1129,MDB,30,30,CHZ CHZM MAD,22258,2018 - 2019 Bahar Dönemi
CHZ 318E,Industrial Raw Materials,Ayhan Ali Sirkeci,Pazartesi,1330/1629,MDB,4,20,CHZ CHZE CHZM,22268,2018 - 2019 Bahar Dönemi
CHZ 332E,Flotation and Flocculation,"Mehmet Sabri Çelik, Gülay Bulut",Perşembe,1330/1729,MDB,36,40,CHZ CHZE CHZM MAD MADE,22213,2018 - 2019 Bahar Dönemi
CHZ 342E,Comp. Appl. in Mineral Proces.,Ayhan Ali Sirkeci,Çarşamba,0830/1229,MDB,27,50,CHZ CHZE,22033,2018 - 2019 Bahar Dönemi
CHZ 352,Kömür Teknolojisi,Feridun Boylu,Perşembe,1130/1329,MDB,52,60,CHZ CHZM,22220,2018 - 2019 Bahar Dönemi
CHZ 352E,Coal Technology,--,Salı,1130/1329,MDB,0,0,CHZE CHZM,22223,2018 - 2019 Bahar Dönemi
CHZ 354,Susuzlandırma ve Kurutma,--,Perşembe,0830/1129,MDB,0,0,CHZ,22277,2018 - 2019 Bahar Dönemi
CHZ 354E,Dewatering and Drying,--,Çarşamba,1230/1529,MDB,0,0,CHZE,22278,2018 - 2019 Bahar Dönemi
CHZ 422,Cev.Haz.Tesis Yönetimi ve Ekon,Kudret Tahsin Perek,Pazartesi,1430/1729,MDB,18,30,CHZ,22270,2018 - 2019 Bahar Dönemi
CHZ 422E,Mng.&Eco.inMineral; ..,Fatma Arslan,Salı,1330/1629,MDB,2,20,CHZE,22279,2018 - 2019 Bahar Dönemi
CHZ 432,Cevher Haz. Tesis Tasarımı,Ali Güney,Salı,0830/1229,MDB,19,25,CHZ CHZM,22280,2018 - 2019 Bahar Dönemi
CHZ 432E,Mineral Processing Plant Dsgn,Feridun Boylu,Pazartesi,0830/1229,MDB,6,25,CHZE CHZM,22281,2018 - 2019 Bahar Dönemi
CHZ 434,Çimento Hammad. ve Tekn.,Hayrünnisa Ateşok,Perşembe,0830/1129,MDB,21,30,CHZ,22271,2018 - 2019 Bahar Dönemi
CHZ 434E,Cement Raw Materials & Tech.,Fırat Burat,Cuma,0830/1129,MDB,6,30,CHZ CHZE,22272,2018 - 2019 Bahar Dönemi
CHZ 436,İleri Teknoloji Hammaddeleri,Neset Acarkan,Cuma,0830/1129,MDB,8,30,CHZ,22273,2018 - 2019 Bahar Dönemi
CHZ 436E,High Technology Raw Materials,Fırat Burat,Perşembe,0830/1129,MDB,13,20,CHZE,22274,2018 - 2019 Bahar Dönemi
CHZ 442E,Remdtn of Indus.&Min..,Gülay Bulut,Cuma,1430/1729,MDB,31,30,CHZ CHZE,22276,2018 - 2019 Bahar Dönemi
CHZ 492,Bitirme Çalışması,Gülay Bulut,----,/,MDB,17,500,CHZ,22131,2018 - 2019 Bahar Dönemi
CHZ 492E,Graduation Thesis,Gülay Bulut,----,/,MDB,7,500,CHZ CHZE,22127,2018 - 2019 Bahar Dönemi
